Updated best error: 7226.328397133984. was found in iteration 0, time 7.065228246145125
Epochs 0, rate 7226.328397133984, time 7.077864667146059
Updated best error: 5066.14328420399. was found in iteration 1, time 6.8942282928328495
Epochs 1, rate 5066.14328420399, time 6.906676733509812
Epochs 2, rate 5185.957045266311, time 6.914585820282809
Epochs 3, rate 5066.823940976895, time 6.864752482775657
Epochs 4, rate 5074.213071851842, time 6.87342894977337
Updated best error: 4930.660479409498. was found in iteration 5, time 6.841878554201685
Epochs 5, rate 4930.660479409498, time 6.8543180287088035
Epochs 6, rate 5131.961491590222, time 6.910660494228068
Epochs 7, rate 4980.502995088751, time 7.183875678216282
Epochs 8, rate 4971.623920480673, time 7.38747785124724
Updated best error: 4929.625529577826. was found in iteration 9, time 6.932824549730867
Epochs 9, rate 4929.625529577826, time 6.972005153380451
Updated best error: 4916.969128929366. was found in iteration 10, time 7.067639526700077
Epochs 10, rate 4916.969128929366, time 7.080601821493474
Epochs 11, rate 4945.013350681831, time 7.12389975082624
Epochs 12, rate 5008.519605761043, time 7.125540250199265
Epochs 13, rate 4925.08241724962, time 7.187671149440575
Epochs 14, rate 4918.422469122655, time 7.112801491224673
Epochs 15, rate 4935.1633471953355, time 7.004525440876023
Epochs 16, rate 4926.6903327491045, time 7.028750787241734
Epochs 17, rate 4923.585350351534, time 7.014330717378471
Epochs 18, rate 4927.673767131621, time 7.0580417087548994
Epochs 19, rate 4937.270268485333, time 7.1150597285814
Updated best error: 4913.021769953957. was found in iteration 20, time 7.012272209118237
Epochs 20, rate 4913.021769953957, time 7.025394658208825
Epochs 21, rate 4942.686406990979, time 6.996178866989794
Epochs 22, rate 4953.3893918375725, time 7.030722725619853
Epochs 23, rate 4980.43893436782, time 6.930583626359294
Epochs 24, rate 4927.353811645797, time 6.9333510801589
Epochs 25, rate 4924.966472416584, time 7.075061967036163
Epochs 26, rate 4929.421234296002, time 6.991432672897645
Epochs 27, rate 4923.383717302666, time 7.024833190647769
Epochs 28, rate 4927.842410411915, time 6.916525604130584
Epochs 29, rate 4957.158454894586, time 6.882243928594107
Epochs 30, rate 4954.388934411789, time 6.888823240056809
Epochs 31, rate 4926.344935612623, time 6.905847208472551
Epochs 32, rate 4930.895050840293, time 7.183415621104359
Epochs 33, rate 4935.204440107278, time 6.981938738819736
Epochs 34, rate 4934.908907942572, time 6.922301670703746
Epochs 35, rate 5008.365117420642, time 7.034227260177431
Epochs 36, rate 5004.869978973517, time 7.015051411690365
Epochs 37, rate 4928.748641691061, time 6.965323194766825
Epochs 38, rate 4929.810046727535, time 6.9152811619933345
Epochs 39, rate 4929.76233782667, time 6.885348077419621
Epochs 40, rate 4929.70258396392, time 7.122076217980066
Epochs 41, rate 4929.623337766825, time 7.075951163453283
Epochs 42, rate 4929.508070735144, time 7.223548802692676
Epochs 43, rate 4929.308666294984, time 7.0711375685204985
Epochs 44, rate 4928.77835409835, time 7.119684724835679
Epochs 45, rate 4914.741558477708, time 7.0655921488505555
