Updated best error: 24274.929660091893. was found in iteration 0, time 5.822318088059546
Epochs 0, rate 24274.929660091893, time 5.834722007086384
Epochs 1, rate 24492.42652533521, time 5.907773079306935
Epochs 2, rate 24466.265061688024, time 5.7129141557525145
Epochs 3, rate 24486.681968133867, time 5.934871309218579
Epochs 4, rate 24619.344154690567, time 5.705240971932653
Epochs 5, rate 24630.0013681507, time 5.886475031846203
Epochs 6, rate 24650.20100644354, time 5.85824366392626
Epochs 7, rate 24761.544816777376, time 5.806022234231932
Epochs 8, rate 24775.125443541358, time 5.867030507550226
Epochs 9, rate 24808.711184093067, time 5.9456038110511145
Epochs 10, rate 24799.940404110035, time 5.896776539302664
Epochs 11, rate 24856.402783564703, time 5.802302202486317
Epochs 12, rate 24856.404999406295, time 6.035770986782154
Epochs 13, rate 24855.524794874214, time 5.875026164212613
Epochs 14, rate 24885.51604165859, time 5.900964975982788
Epochs 15, rate 24863.613616465576, time 5.7974589264485985
Epochs 16, rate 24874.539678918336, time 5.900008378725033
Epochs 17, rate 24869.159470322054, time 5.8972013501188485
Epochs 18, rate 24836.367468215245, time 5.955205339123495
Epochs 19, rate 24846.67677090378, time 5.730807224012096
Epochs 20, rate 24882.791554242704, time 5.924760873866035
Epochs 21, rate 24853.82900573941, time 5.8828836182219675
Epochs 22, rate 24831.50481162058, time 5.8510732038121205
Epochs 23, rate 24872.50126384139, time 5.852357529918663
Epochs 24, rate 24864.6226680764, time 5.787958190456266
Epochs 25, rate 24721.017548773623, time 5.900421131591429
Epochs 26, rate 24773.165928913608, time 5.833416656852933
Epochs 27, rate 24718.95950399142, time 6.059255233078147
Epochs 28, rate 24789.350181114343, time 6.104314859621809
Epochs 29, rate 24801.99069863962, time 6.498312350959168
Epochs 30, rate 24776.4433917974, time 6.068504298047628
Epochs 31, rate 24733.748659107256, time 5.925955847502337
Epochs 32, rate 24800.507772700013, time 5.801880174287362
Epochs 33, rate 24771.446937909368, time 5.852708447142504
Epochs 34, rate 24759.751800260652, time 5.833599999503349
Epochs 35, rate 24819.54116050832, time 5.722359239691286
Epochs 36, rate 24838.351380215707, time 5.937665661534993
Epochs 37, rate 24839.311773889494, time 5.681478774451534
