Updated best error: 25899.85214340689. was found in iteration 0, time 3.3654127327608876
Epochs 0, rate 25899.85214340689, time 3.375215845009734
Updated best error: 24842.996458813635. was found in iteration 1, time 3.382784217443259
Epochs 1, rate 24842.996458813635, time 3.392164064776807
Updated best error: 24814.602133294517. was found in iteration 2, time 3.3678487475644943
Epochs 2, rate 24814.602133294517, time 3.3772316866816254
Epochs 3, rate 24888.67466594708, time 3.3686804368444427
Epochs 4, rate 24922.46261233695, time 3.37260792714369
Epochs 5, rate 24961.157465947224, time 3.3659386448289297
Epochs 6, rate 24950.447215644654, time 3.387256479680218
Epochs 7, rate 24973.451607454324, time 3.378069250346016
Epochs 8, rate 24976.59075800058, time 3.371353900483882
Epochs 9, rate 24991.083929058714, time 3.3838493362400186
Epochs 10, rate 24968.378424711853, time 3.370080395599871
Epochs 11, rate 24992.74938081075, time 3.373318727755759
Epochs 12, rate 25001.369674475194, time 3.4217570533583057
Epochs 13, rate 24997.0173502528, time 3.3665560736353655
Epochs 14, rate 25010.461856499405, time 3.4507202460081317
Epochs 15, rate 25007.104259053296, time 3.4607125752954744
Epochs 16, rate 25007.22503016275, time 3.452496474596046
Epochs 17, rate 25012.340569139295, time 3.4590114770035143
Epochs 18, rate 24998.52514153326, time 3.4588200957150548
Epochs 19, rate 24994.91886849586, time 3.445457106010508
Epochs 20, rate 25024.415046892507, time 3.4433747910334205
Epochs 21, rate 25005.888330535756, time 3.4459706509533135
Epochs 22, rate 24997.819364353683, time 3.4935661568633805
Epochs 23, rate 24991.71417217573, time 3.493389306950121
Epochs 24, rate 24981.9593383907, time 3.45212793421706
Epochs 25, rate 24952.581711746236, time 3.482211279377225
Epochs 26, rate 24917.991559150443, time 3.463391294964822
Epochs 27, rate 24947.152370569467, time 3.4479784539907996
Epochs 28, rate 24980.693132254153, time 3.4455733570030134
Epochs 29, rate 24988.779828243678, time 3.4091886515543592
Epochs 30, rate 25011.853880576804, time 3.3807736318012758
Epochs 31, rate 25015.86008960823, time 3.3816390214997227
Epochs 32, rate 24986.98215460992, time 3.3801014784585277
Epochs 33, rate 24992.836954461054, time 3.384192833187626
Epochs 34, rate 24997.558534767715, time 3.39515474521977
Epochs 35, rate 24998.156892943643, time 3.373827635025009
Epochs 36, rate 25001.284281950037, time 3.3907226761475613
Epochs 37, rate 25005.070825424256, time 3.3781666414688516
Epochs 38, rate 25006.19694447428, time 3.403372700988257
Epochs 39, rate 25014.56711692455, time 3.375788752158769
Epochs 40, rate 24977.574613619534, time 3.395534725190373
Epochs 41, rate 24981.457412750144, time 3.392605880382689
Epochs 42, rate 24993.246576184567, time 3.381796393188779
Epochs 43, rate 25012.00827996872, time 3.4194988160015782
Epochs 44, rate 24980.399543610343, time 3.3837061867488956
Epochs 45, rate 25015.447264952803, time 3.38673365939394
Epochs 46, rate 25022.822024310288, time 3.401375719187854
Epochs 47, rate 25001.52060387211, time 3.3704940759907913
Epochs 48, rate 25014.36638212953, time 3.384126050703344
Epochs 49, rate 25007.33894142612, time 3.3843282532270678
Epochs 50, rate 24997.78023065352, time 3.396695998400901
Epochs 51, rate 25008.49331666807, time 3.4248448157468374
Epochs 52, rate 25009.023838273344, time 3.3838143991069956
Epochs 53, rate 24992.15221117654, time 3.3923477166117664
Epochs 54, rate 25001.900946397895, time 3.3985881688022346
Epochs 55, rate 25016.664854228602, time 3.3943759254088945
Epochs 56, rate 25025.916119387686, time 3.3917367805461254
Epochs 57, rate 25016.262506370975, time 3.3961502989295695
Epochs 58, rate 25016.8315806643, time 3.3716797742745257
Epochs 59, rate 25032.647126801996, time 3.3831595597439446
Epochs 60, rate 25022.7550024148, time 3.4327134001832746
Epochs 61, rate 25015.29405579538, time 3.4537115448056284
Epochs 62, rate 25022.931477679995, time 3.3886202645880985
Epochs 63, rate 25039.788548440156, time 3.40034708341409
Epochs 64, rate 25014.266948592263, time 3.4241751358295005
Epochs 65, rate 25025.781841246087, time 3.377206024893894
Epochs 66, rate 25022.464054763914, time 3.4107954505052476
Epochs 67, rate 25037.981473192198, time 3.3733589209186903
Epochs 68, rate 25024.87698643322, time 3.4014650716781034
Epochs 69, rate 25021.12662168702, time 3.374611401688526
Epochs 70, rate 25029.092990687845, time 3.3765706637532276
Epochs 71, rate 25025.563622557922, time 3.383372274323847
Epochs 72, rate 25018.768601882806, time 3.38416933564622
Epochs 73, rate 25033.38101781813, time 3.387762295165885
