Updated best error: 2187.7364502374144. was found in iteration 0, time 6.6563271302729845
Epochs 0, rate 2187.7364502374144, time 6.672558984224452
Updated best error: 2097.431676118232. was found in iteration 1, time 6.616345136833843
Epochs 1, rate 2097.431676118232, time 6.634255519078579
Updated best error: 2094.4873107183776. was found in iteration 2, time 6.7746752779057715
Epochs 2, rate 2094.4873107183776, time 6.7881161805125885
Updated best error: 2090.846429457667. was found in iteration 3, time 6.708918337099021
Epochs 3, rate 2090.846429457667, time 6.722850523801753
Epochs 4, rate 2174.6308351761622, time 6.638192593876738
Epochs 5, rate 2188.1283004032607, time 6.6070444391225465
Epochs 6, rate 2189.1120502966805, time 6.829255427874159
Epochs 7, rate 2190.678513952773, time 6.8053398780175485
Epochs 8, rate 2189.8306268274, time 6.764522175944876
Epochs 9, rate 2176.6896676723172, time 6.547849804977886
Epochs 10, rate 2242.9289364546567, time 6.719171303557232
Epochs 11, rate 2272.9919593521313, time 6.66591041686479
Epochs 12, rate 2174.7307311543145, time 7.119049054512288
Epochs 13, rate 2273.5322635961365, time 7.141911543498281
Epochs 14, rate 2265.5186455434, time 7.107291627064114
Epochs 15, rate 2250.9298073389023, time 7.1713038754533045
Epochs 16, rate 2250.189053580857, time 7.154335559112951
Epochs 17, rate 2246.6708862519313, time 7.126629794074688
Epochs 18, rate 2210.865564405463, time 7.122867404919816
Epochs 19, rate 2254.040735233527, time 7.164079927519197
Epochs 20, rate 2214.2593903730585, time 7.061255615844857
Epochs 21, rate 2239.320436359589, time 7.083869834750658
Epochs 22, rate 2251.621376642531, time 7.232470757153351
Epochs 23, rate 2271.8274300419966, time 7.123147211183095
Epochs 24, rate 2283.90802320388, time 7.055294042365858
Epochs 25, rate 2331.0963108971937, time 7.344596694078064
Epochs 26, rate 2306.1884125283764, time 7.16901750289253
Epochs 27, rate 2317.958448377794, time 7.08260313179926
Epochs 28, rate 2290.470590907159, time 7.0597313674516045
Epochs 29, rate 2201.1979366587957, time 7.160197268036427
Epochs 30, rate 2242.8661296788223, time 7.190482506557601
Epochs 31, rate 2271.8256683598147, time 7.122257396404166
Epochs 32, rate 2266.812981485891, time 7.28156577720074
Epochs 33, rate 2244.233665114739, time 7.217811692564283
Epochs 34, rate 2182.189447800245, time 7.173864798241993
Epochs 35, rate 2282.93205896231, time 7.22092882686411
Epochs 36, rate 2315.8124853719673, time 7.1618034486309625
Epochs 37, rate 2309.0806906183775, time 7.030695827124873
Epochs 38, rate 2285.016705728745, time 7.210807879455388
Epochs 39, rate 2284.2761644335756, time 7.184229687205516
Epochs 40, rate 2286.235427599015, time 6.966998012911063
Epochs 41, rate 2265.605421362628, time 7.0192478869867045
Epochs 42, rate 2181.352999056553, time 7.105803243350238
Epochs 43, rate 2148.135870081975, time 7.1565443279687315
Epochs 44, rate 2148.8488886518016, time 6.990391360828653
Epochs 45, rate 2191.418867756589, time 7.098941961361561
Epochs 46, rate 2211.0436355178736, time 7.053790508914972
Epochs 47, rate 2197.4626139270395, time 6.568575563607737
Epochs 48, rate 2160.901986079165, time 6.509899421245791
Epochs 49, rate 2186.233317274366, time 6.595136751042446
Epochs 50, rate 2264.159482881014, time 6.598543276137207
Epochs 51, rate 2227.2007452670036, time 6.75910908455262
Epochs 52, rate 2257.5506903404007, time 6.8031474956078455
Epochs 53, rate 2173.243293729337, time 6.809519657690544
Epochs 54, rate 2237.0557846135757, time 6.85749699868029
Epochs 55, rate 2357.8131440666366, time 6.752781753282761
Epochs 56, rate 2315.0950602013227, time 6.69422897300683
Epochs 57, rate 2378.7509669078413, time 6.593078242789488
Epochs 58, rate 2412.016996611344, time 6.634525740810204
Epochs 59, rate 2394.484561511047, time 6.5256950247858185
Epochs 60, rate 2387.515640603435, time 6.457593895087484
Epochs 61, rate 2387.477842303873, time 6.518128198280465
Epochs 62, rate 2387.3950121759353, time 6.5062817274883855
