Updated best error: 6459.127850565429. was found in iteration 0, time 6.403920873886818
Epochs 0, rate 6459.127850565429, time 6.416181334232533
Updated best error: 4417.709825203927. was found in iteration 1, time 6.328265593943797
Epochs 1, rate 4417.709825203927, time 6.340310557105113
Epochs 2, rate 4460.283533263272, time 6.313493679317617
Epochs 3, rate 4444.223253448027, time 6.339227815155027
Updated best error: 4393.562592689454. was found in iteration 4, time 6.417595515184075
Epochs 4, rate 4393.562592689454, time 6.4294280729445745
Updated best error: 4372.110229059169. was found in iteration 5, time 6.3075920863993815
Epochs 5, rate 4372.110229059169, time 6.319584489272529
Epochs 6, rate 4407.896671899072, time 6.3417995591735234
Epochs 7, rate 4429.120798012372, time 6.312139788107743
Epochs 8, rate 4427.825167361168, time 6.3159729790640995
Epochs 9, rate 4372.769531889501, time 6.312428560519038
Epochs 10, rate 4507.959100055673, time 6.358659663164872
Epochs 11, rate 4436.460057161214, time 6.330358420975244
Epochs 12, rate 4456.997759280388, time 6.302866298065055
Epochs 13, rate 4372.191543616587, time 6.342933933879976
Epochs 14, rate 4406.215217183218, time 6.351849704780761
Epochs 15, rate 4501.9607995051165, time 6.315916090279643
Epochs 16, rate 4399.510824306282, time 6.32926702203622
Epochs 17, rate 4411.046140146897, time 6.346981385308027
Epochs 18, rate 4398.208429453608, time 6.316621634865442
Epochs 19, rate 4380.926835583686, time 6.339223795836006
Epochs 20, rate 4380.300774355879, time 6.335671957011073
Epochs 21, rate 4372.529675108161, time 6.329928663322789
Epochs 22, rate 4389.657707981816, time 6.343406976480765
Epochs 23, rate 4381.883597381291, time 6.3538457590511825
Epochs 24, rate 4392.37766425214, time 6.322891768162663
Epochs 25, rate 4400.873181345432, time 6.3424163696217875
Epochs 26, rate 4476.23423061471, time 6.3286771100865735
Epochs 27, rate 4380.772866062324, time 6.348815739394922
Epochs 28, rate 4389.659923307404, time 7.211411086078442
Epochs 29, rate 4380.376619989246, time 7.549711057541572
Epochs 30, rate 4379.732809276582, time 7.642607039801078
Epochs 31, rate 4378.294247575344, time 6.711121540720342
Epochs 32, rate 4373.766195689485, time 6.416233585343434
Epochs 33, rate 4396.705763286475, time 6.344056559817545
Epochs 34, rate 4427.113435268047, time 6.370469341738499
Epochs 35, rate 4372.404695196528, time 6.384274456224375
Epochs 36, rate 4422.79976994948, time 6.33373835673774
Epochs 37, rate 4377.208624256158, time 6.317288841357367
