Updated best error: 25423.498259031872. was found in iteration 0, time 6.78753925402998
Epochs 0, rate 25423.498259031872, time 6.801285933848703
Updated best error: 24972.538676938348. was found in iteration 1, time 6.6061703924206086
Epochs 1, rate 24972.538676938348, time 6.618468881672015
Epochs 2, rate 25001.973402085274, time 6.172844819462625
Epochs 3, rate 24988.910657431145, time 6.179524923005374
Epochs 4, rate 25005.475146278877, time 6.362505530414637
Updated best error: 24972.368308398836. was found in iteration 5, time 6.3362250767531805
Epochs 5, rate 24972.368308398836, time 6.336247337574605
Epochs 6, rate 25013.97608304149, time 6.943590751994634
Epochs 7, rate 25026.58074754455, time 6.085240112413885
Epochs 8, rate 25036.362253567593, time 6.154705027031014
Epochs 9, rate 25023.229038547994, time 6.303895243006991
Epochs 10, rate 25036.621029180234, time 6.502480691066012
Epochs 11, rate 25016.763468942936, time 6.730210510140751
Epochs 12, rate 25026.9637427116, time 6.90920612012269
Epochs 13, rate 25013.10842693342, time 7.011152056598803
Epochs 14, rate 25024.317895977973, time 7.153928680636454
Epochs 15, rate 25023.661995778737, time 7.727070805820404
Epochs 16, rate 25037.80866557054, time 7.7167726993211545
Epochs 17, rate 25031.10725742119, time 7.4554036769259255
Epochs 18, rate 25021.0325481317, time 7.47685043909587
Epochs 19, rate 25034.494787412223, time 7.501057853107341
Epochs 20, rate 25043.047809158, time 7.552287748403614
Epochs 21, rate 25041.672588139616, time 7.3715258035226725
Epochs 22, rate 25014.894227820332, time 7.417503689270234
Epochs 23, rate 25037.66404666275, time 7.665357297111768
Epochs 24, rate 25045.166966426114, time 7.503500669816276
Epochs 25, rate 25040.236653697535, time 7.510079362924444
Epochs 26, rate 25024.529409827595, time 7.585091861459659
Epochs 27, rate 25024.95001190307, time 7.329154481180012
Epochs 28, rate 25046.873875459372, time 7.545980204566149
Epochs 29, rate 25032.445095100924, time 7.394886996946298
Epochs 30, rate 25025.967212687767, time 7.513903896906413
Epochs 31, rate 25013.869083347512, time 7.672727795521496
Epochs 32, rate 24978.589860965658, time 7.303754257765831
Epochs 33, rate 25042.94815240269, time 7.467507383931661
Epochs 34, rate 25020.058048035655, time 7.541150223172735
Epochs 35, rate 25040.52035574276, time 7.574500035698293
Epochs 36, rate 25043.83965974172, time 7.430979528988246
Epochs 37, rate 25027.7187438105, time 7.330150344059803
Epochs 38, rate 25037.827530169805, time 7.289229685702594
Epochs 39, rate 25029.918561095546, time 7.142225668532774
Epochs 40, rate 25017.08375658904, time 6.412146559101529
Epochs 41, rate 25033.940458221557, time 6.447234262130223
Epochs 42, rate 25007.559191647906, time 6.1872846767364535
Epochs 43, rate 25019.023241684372, time 6.252669985406101
Epochs 44, rate 25017.511356984534, time 6.243303741881391
Epochs 45, rate 25022.266722363278, time 6.299157087574713
Epochs 46, rate 24999.355356571454, time 6.259131190774497
Epochs 47, rate 25022.79453951412, time 6.158727744186763
Epochs 48, rate 25031.135100579442, time 6.241309542703675
Epochs 49, rate 25029.60665249943, time 6.254735604743473
Epochs 50, rate 25046.10206359264, time 6.245138714351924
Epochs 51, rate 25027.707083237357, time 6.367927278828574
Epochs 52, rate 25038.89932846047, time 6.275914927769918
Epochs 53, rate 25029.732391626716, time 6.2148800651484635
Epochs 54, rate 25022.132377264938, time 6.203772839391604
Epochs 55, rate 25044.13058206314, time 6.24180082679959
Epochs 56, rate 25018.84606427819, time 6.195954650989734
Epochs 57, rate 25023.28465806862, time 6.187086184363579
Epochs 58, rate 25043.75374006621, time 6.2424661782279145
Epochs 59, rate 25015.584955925446, time 6.2513148574507795
Epochs 60, rate 25048.846751320812, time 6.246655851602554
Epochs 61, rate 25032.51463477719, time 6.248734147258801
Epochs 62, rate 25062.909712959183, time 6.337660900171613
Epochs 63, rate 25044.145485996974, time 6.118539838062134
Epochs 64, rate 25033.890101407454, time 6.120597418805119
Epochs 65, rate 25027.217577990497, time 6.159351665730355
Epochs 66, rate 25008.276675902358, time 6.296331199089764
Epochs 67, rate 25030.162189056053, time 6.202674947708147
Epochs 68, rate 25023.752074751974, time 6.177154453995172
Epochs 69, rate 25023.981456913203, time 6.200669927260606
