Updated best error: 21310.919369300955. was found in iteration 0, time 4.236182750260923
Epochs 0, rate 21310.919369300955, time 4.248056428725249
Epochs 1, rate 22059.198069631697, time 4.239884849681403
Epochs 2, rate 22334.767233213006, time 4.203229613325675
Epochs 3, rate 22047.109906142596, time 4.2447785217664205
Epochs 4, rate 22334.539063858585, time 4.243697325699031
Epochs 5, rate 22375.716526579672, time 4.240614510170417
Epochs 6, rate 22357.24325013919, time 4.230642277456354
Epochs 7, rate 22107.089227579734, time 4.2447695556038525
Epochs 8, rate 22240.30859572665, time 4.242732380633242
Epochs 9, rate 22407.470564713127, time 4.269972832524218
Epochs 10, rate 22427.9287801093, time 4.253401191759622
Epochs 11, rate 22574.98928190233, time 4.230384422859061
Epochs 12, rate 22453.23204606925, time 4.245779022327042
Epochs 13, rate 22521.781308220954, time 4.217938146437518
Epochs 14, rate 22674.133106650916, time 4.241449909575749
Epochs 15, rate 22730.607241330126, time 4.232139008978265
Epochs 16, rate 22679.799521805893, time 4.232323897522292
Epochs 17, rate 22403.76588945346, time 4.251413176112692
Epochs 18, rate 22471.9014044477, time 4.238673180429032
Epochs 19, rate 22002.182018059488, time 4.340882845892338
Epochs 20, rate 22309.160029930543, time 4.318090540356934
Epochs 21, rate 22321.478829125645, time 4.285867991420673
Epochs 22, rate 22394.923912742604, time 4.2355235824070405
Epochs 23, rate 22429.947689126973, time 4.268488777292077
Epochs 24, rate 22263.12252742098, time 4.280211267629056
Epochs 25, rate 22409.22175211792, time 4.229232734171092
Epochs 26, rate 22260.043542127994, time 4.269086109517957
Epochs 27, rate 22324.300266537382, time 4.244163257200853
Epochs 28, rate 22282.760947398277, time 4.2556204726715805
Epochs 29, rate 22268.74543817698, time 4.264117925500614
Epochs 30, rate 22167.86628030953, time 4.2573509428912075
Epochs 31, rate 22003.526578302844, time 4.251685252922471
Epochs 32, rate 22420.645982528455, time 4.236806671819068
Epochs 33, rate 22932.887543423523, time 4.240479399304604
Epochs 34, rate 22680.96340009996, time 4.2453368975402554
Epochs 35, rate 22749.464802341914, time 4.256630248579313
Epochs 36, rate 22585.72810484271, time 4.223957227062783
Epochs 37, rate 22739.28007023095, time 4.243762562298798
Epochs 38, rate 22696.68380413152, time 4.272998450091109
Epochs 39, rate 22639.830527306698, time 4.364060078252805
Epochs 40, rate 22702.119302721192, time 4.259699151079985
Epochs 41, rate 22726.64597642605, time 4.239546299591893
Epochs 42, rate 22605.62761624014, time 4.244747294767876
Epochs 43, rate 22658.193974664347, time 4.308938866510289
Epochs 44, rate 22562.585926430915, time 4.236274267008412
Epochs 45, rate 22662.03570920859, time 4.239633178658551
Epochs 46, rate 22478.60270815566, time 4.225592470393167
Epochs 47, rate 22564.360735263337, time 4.235816374144633
Epochs 48, rate 22617.37046254559, time 4.265738637477625
Epochs 49, rate 22587.07826720009, time 4.261891842674231
Epochs 50, rate 22653.755529791924, time 4.256466384133091
Epochs 51, rate 22621.26809169954, time 4.2362925085180905
Epochs 52, rate 22726.61445779906, time 4.271631573399645
Epochs 53, rate 22651.417794901306, time 4.230710296658799
Epochs 54, rate 22675.346840346563, time 4.2421709130721865
Epochs 55, rate 22609.697193199605, time 4.250078763143392
Epochs 56, rate 22715.844740624, time 4.251403282411047
Epochs 57, rate 22681.92750797417, time 4.235329727685894
Epochs 58, rate 22657.852918094573, time 4.251517678349046
Epochs 59, rate 22569.523384813416, time 4.2511717079614755
Epochs 60, rate 22616.731781507333, time 4.237175830552587
Epochs 61, rate 22595.527567357916, time 4.226941723929485
Epochs 62, rate 22481.872427610957, time 4.239163846184965
Epochs 63, rate 22483.778143437255, time 4.240747765943524
Epochs 64, rate 22558.655764460826, time 4.246620605306816
Epochs 65, rate 22421.91366109873, time 4.26729905969114
Epochs 66, rate 22575.508393556178, time 4.2352487230236875
Epochs 67, rate 22580.148825541277, time 4.244773574915598
Epochs 68, rate 22512.54053085721, time 4.256288606702583
Epochs 69, rate 22541.30966293325, time 4.259957314861822
Epochs 70, rate 22431.671309141475, time 4.2682927583373385
Epochs 71, rate 22545.30660148571, time 4.277213785273489
Epochs 72, rate 22622.081467094064, time 4.244701845571399
Epochs 73, rate 22429.219586049032, time 4.263208014148404
Epochs 74, rate 22803.2379433927, time 4.250603129316005
Epochs 75, rate 22747.999494440777, time 4.244992163876304
Epochs 76, rate 22543.822326613226, time 4.262015823129332
Epochs 77, rate 22590.037831638263, time 4.230561581949587
Epochs 78, rate 22618.06338404988, time 4.23464118791162
Epochs 79, rate 22642.26846018021, time 4.261659340685583
Epochs 80, rate 22701.826631853855, time 4.274247839071904
Epochs 81, rate 22560.862359046183, time 4.242065174141317
Epochs 82, rate 22594.819517058644, time 4.248296350997407
Epochs 83, rate 22567.600833797038, time 4.267465397540946
Epochs 84, rate 22608.745655277828, time 4.24314235089696
Epochs 85, rate 22713.07643227332, time 4.253171781558194
Epochs 86, rate 22670.12984856561, time 4.253101288937614
Epochs 87, rate 22629.942822142406, time 4.25638012343552
Epochs 88, rate 22829.721237488382, time 4.249083518603584
Epochs 89, rate 22674.402215332568, time 4.275613169884309
Epochs 90, rate 22628.48746391081, time 4.303283070243197
Epochs 91, rate 22603.760712473035, time 4.264186253873049
Epochs 92, rate 22638.240132693965, time 4.244643720085151
Epochs 93, rate 22610.984105858548, time 4.25818634229654
Epochs 94, rate 22535.83600748698, time 4.287306597456336
Epochs 95, rate 22485.075049192175, time 4.329800663559581
Epochs 96, rate 22578.863650853502, time 4.387607706070412
Epochs 97, rate 22680.083607432578, time 4.337138698247145
Epochs 98, rate 22512.23867812211, time 4.256305302318651
Epochs 99, rate 22692.035150176496, time 4.249253257425153
