Updated best error: 2165.4169933407525. was found in iteration 0, time 6.25665003596805
Epochs 0, rate 2165.4169933407525, time 6.269200814625947
Updated best error: 1785.7304246146603. was found in iteration 1, time 6.278924777259817
Epochs 1, rate 1785.7304246146603, time 6.291069604965742
Epochs 2, rate 1808.1186594151025, time 6.254414677794557
Updated best error: 1768.098080057231. was found in iteration 3, time 6.252383068043855
Epochs 3, rate 1768.098080057231, time 6.26822566667397
Epochs 4, rate 1825.8907827376615, time 6.270469681840041
Updated best error: 1746.974035524982. was found in iteration 5, time 6.27204123447882
Epochs 5, rate 1746.974035524982, time 6.2847237230307655
Epochs 6, rate 1856.6886119404587, time 6.297409921724466
Epochs 7, rate 1799.3827350928816, time 6.288201049901545
Epochs 8, rate 1784.7279634681822, time 6.2875709447980626
Epochs 9, rate 1840.0293221373897, time 6.309553821891313
Epochs 10, rate 1812.7068333845966, time 6.256146075553261
Epochs 11, rate 1787.5431878870186, time 6.274425307346974
Epochs 12, rate 1772.789630179351, time 6.451838543449412
Epochs 13, rate 1880.0768018694946, time 6.33243702580512
Epochs 14, rate 1798.091250810389, time 6.279961142485263
Epochs 15, rate 1825.411251779972, time 6.323771380062681
Epochs 16, rate 1822.48996123387, time 6.28743861654948
Updated best error: 1704.3612637013566. was found in iteration 17, time 6.263445153803332
Epochs 17, rate 1704.3612637013566, time 6.275576377665857
Epochs 18, rate 1749.258734007046, time 6.2821689838019665
Epochs 19, rate 1806.4018703862646, time 6.27746391040273
Updated best error: 1664.513234330674. was found in iteration 20, time 6.266717804741347
Epochs 20, rate 1664.513234330674, time 6.278828932030592
Epochs 21, rate 1719.7221309415297, time 6.289830109686591
Updated best error: 1655.0402794072143. was found in iteration 22, time 6.298803696903633
Epochs 22, rate 1655.0402794072143, time 6.310901529534021
Epochs 23, rate 1693.4867192877175, time 6.333825854162569
Epochs 24, rate 1789.6246096969253, time 6.253870833403198
Epochs 25, rate 1724.6333576323404, time 6.277840489419759
Epochs 26, rate 1734.2010171804993, time 6.271808423305629
Epochs 27, rate 1962.3074603707385, time 6.294138816680061
Epochs 28, rate 1731.6528337573416, time 6.292243554475135
Epochs 29, rate 1676.7617442305411, time 6.27082214494294
Updated best error: 1641.0988356789962. was found in iteration 30, time 6.2510662782151485
Epochs 30, rate 1641.0988356789962, time 6.263528631912777
Updated best error: 1573.3882072535453. was found in iteration 31, time 6.308277225223719
Epochs 31, rate 1573.3882072535453, time 6.320567057497101
Epochs 32, rate 1606.1586189780562, time 6.276686018129112
Epochs 33, rate 1577.5363740625196, time 6.277263872121694
Epochs 34, rate 1695.0599978090386, time 6.280674725712743
Epochs 35, rate 1764.3781327768697, time 6.378389558929484
Epochs 36, rate 1669.923462619271, time 6.466194304259261
Epochs 37, rate 1647.776018453017, time 6.280763459843001
Epochs 38, rate 1816.2911282027044, time 6.334421949664829
Epochs 39, rate 1867.194688740195, time 6.314689889666624
Epochs 40, rate 1897.461479724832, time 6.263037656972301
Epochs 41, rate 1870.2923344546996, time 6.307793052212219
Epochs 42, rate 1923.7195688414934, time 6.263075685899821
Epochs 43, rate 1876.9891478600816, time 6.254819082852919
Epochs 44, rate 1901.2830058870293, time 6.260478280077223
Epochs 45, rate 1910.8338646413558, time 6.271324559478671
Epochs 46, rate 1886.624287532094, time 6.261474452141556
Epochs 47, rate 1839.815558936535, time 6.269556060346076
