Updated best error: 4103.87785756149. was found in iteration 0, time 3.549248836177867
Epochs 0, rate 4103.87785756149, time 3.559020721429988
Updated best error: 2823.2139706071625. was found in iteration 1, time 3.5941906658481457
Epochs 1, rate 2823.2139706071625, time 3.6037918847541732
Updated best error: 2822.773701664115. was found in iteration 2, time 4.364498183735122
Epochs 2, rate 2822.773701664115, time 4.364525700591912
Epochs 3, rate 2828.8009268623064, time 4.657921562116826
Updated best error: 2812.315627765157. was found in iteration 4, time 3.902575794254517
Epochs 4, rate 2812.315627765157, time 3.9130918713672145
Updated best error: 2804.766298658499. was found in iteration 5, time 4.483358639568905
Epochs 5, rate 2804.766298658499, time 4.496584354164952
Updated best error: 2794.6215918392563. was found in iteration 6, time 3.948841524856107
Epochs 6, rate 2794.6215918392563, time 3.9587556320693693
Epochs 7, rate 2798.8479355582335, time 3.6398955472468515
Epochs 8, rate 2796.102097250615, time 3.627441232187266
Epochs 9, rate 2808.2056007080464, time 3.573906413621444
Epochs 10, rate 2798.4020864367885, time 3.556986638250237
Epochs 11, rate 2798.218445975672, time 3.562422918017546
Epochs 12, rate 2800.2399407061284, time 3.5786597188125597
Epochs 13, rate 2798.6011667721805, time 3.5694966053779353
Epochs 14, rate 2800.3757766859326, time 3.5578115256066667
Epochs 15, rate 2799.6405946806212, time 3.55775803778306
Epochs 16, rate 2831.75419837691, time 3.5946293896740826
Epochs 17, rate 2800.2283357005153, time 3.575870622538787
Epochs 18, rate 2800.661169419642, time 3.570351792197471
Epochs 19, rate 2800.457740846308, time 3.5803901890358247
Epochs 20, rate 2800.05232315619, time 3.5733406175713753
Epochs 21, rate 2798.7058071535066, time 3.570296140129358
Epochs 22, rate 2841.032462173774, time 3.5884847827146586
Epochs 23, rate 2801.1760159219466, time 3.5873603017098503
Epochs 24, rate 2801.157403617547, time 3.567583410862426
Epochs 25, rate 2801.142985051036, time 3.5560989877194515
Epochs 26, rate 2801.127102359904, time 3.5728400581137976
Epochs 27, rate 2801.109236350783, time 3.565504496844369
Epochs 28, rate 2801.08867076786, time 3.5635891380734392
Epochs 29, rate 2801.0643736369893, time 3.5675404350949975
Epochs 30, rate 2801.034785899161, time 3.581660602136253
Epochs 31, rate 2800.9974189806608, time 3.576154138921993
Epochs 32, rate 2800.9480233114095, time 3.5633637471910333
Epochs 33, rate 2800.878679525299, time 3.608829015505762
Epochs 34, rate 2800.77274222, time 3.5776545805820206
Epochs 35, rate 2800.588324788627, time 3.5837240572473092
Epochs 36, rate 2800.1818375616035, time 3.568489612076519
Epochs 37, rate 2798.518601960239, time 3.5766512974223588
Epochs 38, rate 2823.537450513598, time 3.560286187679594
Epochs 39, rate 2801.411365997192, time 3.585651783138019
Epochs 40, rate 2801.351858250183, time 3.5894698243682797
Epochs 41, rate 2801.31449158843, time 3.580067407023307
Epochs 42, rate 2801.2875552688583, time 3.5756999561890552
Epochs 43, rate 2801.266264138248, time 3.5722263394454785
Epochs 44, rate 2801.2482326408945, time 3.566747393088008
Epochs 45, rate 2801.2320890169804, time 3.5657459649919474
Epochs 46, rate 2801.216939050016, time 3.5711102062523423
Epochs 47, rate 2801.2021194092817, time 3.573826645657391
Epochs 48, rate 2801.187062739276, time 3.576671393999277
Epochs 49, rate 2801.1712046488465, time 3.568181670620106
Epochs 50, rate 2801.1538960447792, time 3.5979913930968905
Epochs 51, rate 2801.134289317065, time 3.5735063370702846
Epochs 52, rate 2801.111150728101, time 3.569461977422179
Epochs 53, rate 2801.082496638335, time 3.579749262687983
Epochs 54, rate 2801.0447855083194, time 3.574762527976418
Epochs 55, rate 2800.990828284426, time 3.5656436270182894
Epochs 56, rate 2800.903128369477, time 3.5689292634378944
Epochs 57, rate 2800.724052046122, time 3.566218080060935
Epochs 58, rate 2800.070117484316, time 3.566439760808862
Epochs 59, rate 2804.375027897781, time 3.577047973012668
Epochs 60, rate 2801.1465301936314, time 3.5767397223789885
Epochs 61, rate 2801.1272046345416, time 3.5849014077211905
Epochs 62, rate 2801.1027167283737, time 3.573348037847609
Epochs 63, rate 2801.0700964761954, time 3.5792069641756825
Epochs 64, rate 2801.0235721427557, time 3.580854574647674
Epochs 65, rate 2800.9501879131763, time 3.6251863957877504
Epochs 66, rate 2800.8134288141327, time 3.574045852976269
Epochs 67, rate 2800.453913275438, time 3.6077518387573946
Epochs 68, rate 2799.8706285361795, time 3.598159895198478
Epochs 69, rate 2796.8700318949104, time 3.578054347955913
Epochs 70, rate 2810.988803855703, time 3.5728249083804258
Epochs 71, rate 2801.195595933538, time 3.5791488386821584
Epochs 72, rate 2801.1838448698345, time 3.5786399314129085
Epochs 73, rate 2801.16922870182, time 3.5846608671054128
Epochs 74, rate 2801.150379950616, time 3.5804517154901987
Epochs 75, rate 2801.124925732615, time 3.5684407619264675
Epochs 76, rate 2801.0883630506937, time 3.578553670704423
Epochs 77, rate 2801.031010016223, time 3.5931734696678177
Epochs 78, rate 2800.9277251670205, time 3.5737119405530393
Epochs 79, rate 2800.687892337768, time 3.570298613551131
Epochs 80, rate 2799.5736952773213, time 3.5668277794102323
Epochs 81, rate 2802.8382830395362, time 3.571686823535856
Epochs 82, rate 2800.5424720186465, time 3.584882857030607
Epochs 83, rate 2800.2203901836338, time 3.5710276556783356
Epochs 84, rate 2808.366765596071, time 3.5738816793673323
Epochs 85, rate 2801.2704252132753, time 3.5840193223993992
Epochs 86, rate 2801.2695426823416, time 4.043149832996278
Epochs 87, rate 2801.2686681449863, time 4.1978959807165666
Epochs 88, rate 2801.267800254646, time 4.261951823242271
Epochs 89, rate 2801.2669376867602, time 4.274740050725086
Epochs 90, rate 2801.266079130227, time 4.007413164992613
Epochs 91, rate 2801.2652232788823, time 4.023047377533658
Epochs 92, rate 2801.2643688230733, time 3.8630816839431645
Epochs 93, rate 2801.2635144409433, time 3.633833800038701
Epochs 94, rate 2801.2626587895984, time 3.6232271337248676
Epochs 95, rate 2801.2618004957835, time 3.5907572422693192
Epochs 96, rate 2801.2609381457714, time 4.081591191636107
Epochs 97, rate 2801.2600702750274, time 3.881798093669204
Epochs 98, rate 2801.259195356396, time 3.6423946343966236
Epochs 99, rate 2801.258311787418, time 3.709112191791064
