Updated best error: 21011.76267667618. was found in iteration 0, time 4.062620637458167
Epochs 0, rate 21011.76267667618, time 4.076056593214162
Epochs 1, rate 21547.84984316785, time 4.08426681952551
Epochs 2, rate 21308.93301078964, time 4.063065544847632
Epochs 3, rate 21718.6995815965, time 4.053030239781947
Epochs 4, rate 21961.009843332045, time 4.099689863374806
Epochs 5, rate 21932.28400878587, time 4.075064440461574
Epochs 6, rate 21987.026805287853, time 4.0968383131112205
Epochs 7, rate 21991.62308689694, time 4.071503635466797
Epochs 8, rate 21919.165171060806, time 4.105647417542059
Epochs 9, rate 22057.88050367523, time 4.075258295168169
Epochs 10, rate 22038.000658103414, time 4.088081768961274
Epochs 11, rate 21969.469227327565, time 4.083074628506438
Epochs 12, rate 21891.213702735327, time 4.078085420362186
Epochs 13, rate 21928.515260414628, time 4.071281336364336
Epochs 14, rate 22008.59891394516, time 4.099652143646381
Epochs 15, rate 21953.51745151773, time 4.107105501781916
Epochs 16, rate 21832.451924509944, time 4.091135212584049
Epochs 17, rate 22009.037579564505, time 4.094000675861025
Epochs 18, rate 22063.99001411069, time 4.116294895371539
Epochs 19, rate 22045.058306080213, time 4.116824517579516
Epochs 20, rate 22051.262613268667, time 4.08023204440542
Epochs 21, rate 21898.174280233136, time 4.103770087691373
Epochs 22, rate 21985.70135756514, time 4.104355052797473
Epochs 23, rate 21933.062891060992, time 4.083802124732756
Epochs 24, rate 22101.402736831027, time 4.096874486960587
Epochs 25, rate 21972.06219382666, time 4.074837503692834
Epochs 26, rate 22001.360111983973, time 4.109529767825734
Epochs 27, rate 22107.889420945558, time 4.109282734469161
Epochs 28, rate 22200.824830284786, time 4.079028722961084
Epochs 29, rate 21968.39815182854, time 4.095054664241616
Epochs 30, rate 21945.603495435716, time 4.096643221681006
Epochs 31, rate 21975.748122399138, time 4.0790828291355865
Epochs 32, rate 21992.460238988053, time 4.0793205871596
Epochs 33, rate 21962.13497743031, time 4.353936966595938
Epochs 34, rate 21940.882886772277, time 4.257715154773905
Epochs 35, rate 21812.44358519196, time 4.076132651040098
Epochs 36, rate 21921.780438210273, time 4.108419509007945
Epochs 37, rate 21882.839931701423, time 4.738281297089998
Epochs 38, rate 21927.141988522464, time 4.0919916361162905
Epochs 39, rate 21804.71058343147, time 4.123458244401263
Epochs 40, rate 21915.537243292903, time 4.095349929397344
Epochs 41, rate 22055.192637047225, time 4.111833145201672
Epochs 42, rate 21915.179106892327, time 4.090979695960414
Epochs 43, rate 21991.201189805786, time 4.0822311904485105
Epochs 44, rate 22123.6312659919, time 4.08766283254954
Epochs 45, rate 22131.000508379566, time 4.0834966567053925
Epochs 46, rate 22055.244364382306, time 4.09626076828863
Epochs 47, rate 22014.54641120192, time 4.1328170676279115
