Updated best error: 2126.5840498463695. was found in iteration 0, time 6.062693603496882
Epochs 0, rate 2126.5840498463695, time 6.078640085994266
Updated best error: 1924.2329264534753. was found in iteration 1, time 6.047504607515293
Epochs 1, rate 1924.2329264534753, time 6.0628676708147395
Epochs 2, rate 1930.729023690188, time 6.089136375696398
Epochs 3, rate 2009.6108771951938, time 6.137208943546284
Epochs 4, rate 1968.52105019503, time 6.072461469448172
Epochs 5, rate 1959.3252593251514, time 5.969070743361954
Epochs 6, rate 1994.4182004169588, time 5.939349445849075
Epochs 7, rate 2037.9590372429436, time 6.065126526533277
Epochs 8, rate 2041.121509434236, time 6.131996508760494
Epochs 9, rate 2051.568176338646, time 6.144171017571352
Epochs 10, rate 2011.4711003250734, time 6.101257705886383
Epochs 11, rate 2010.5438254965982, time 5.945751289051259
Epochs 12, rate 2022.2841051239518, time 6.027150481037097
Epochs 13, rate 2022.1383674714916, time 6.193247177739977
Epochs 14, rate 2021.402356409484, time 5.897735300823115
Epochs 15, rate 2007.7559585416027, time 6.052175362143316
Epochs 16, rate 2006.1537266655484, time 5.8940498970332555
Epochs 17, rate 2012.907194338238, time 5.934247696844977
Updated best error: 1855.4077012927423. was found in iteration 18, time 5.934691058340832
Epochs 18, rate 1855.4077012927423, time 5.947625527100172
Epochs 19, rate 1919.9017057656265, time 5.927479477526504
Epochs 20, rate 1887.4268159816177, time 5.9769374727329705
Epochs 21, rate 2118.341116175387, time 6.1055438428447815
Epochs 22, rate 2187.6784768680145, time 6.03769252912025
Epochs 23, rate 2149.4340986923444, time 5.841726438535261
Epochs 24, rate 2111.7866513080726, time 5.859985264571151
Epochs 25, rate 2095.500077787166, time 5.869351817236748
Epochs 26, rate 2180.1468527190314, time 5.92237494593428
Epochs 27, rate 2180.348245801376, time 5.966494052496273
Epochs 28, rate 2201.7862867361155, time 5.984212744268007
Epochs 29, rate 2229.9930265459216, time 6.040469258252415
Epochs 30, rate 2226.983911052836, time 5.9190580825234065
Epochs 31, rate 2231.4099259916825, time 5.911641516562668
Epochs 32, rate 2199.4192832816634, time 5.931713363388553
Epochs 33, rate 2176.186266164397, time 5.950548188353423
Epochs 34, rate 2158.9229561011016, time 5.927117120707408
Epochs 35, rate 2144.699646451867, time 5.909609597641975
Epochs 36, rate 2131.216529305622, time 6.073398897657171
Epochs 37, rate 2124.2309846159424, time 6.147199726925464
Epochs 38, rate 2118.0355942003407, time 6.097708340486861
Epochs 39, rate 2110.547132967644, time 6.105902180352132
Epochs 40, rate 2107.950727175331, time 6.180677230047877
Epochs 41, rate 2128.3092591080267, time 6.064492092933506
Epochs 42, rate 2122.5097773265197, time 5.961228748245048
Epochs 43, rate 2132.023184343146, time 6.128273385227658
Epochs 44, rate 2120.6542469272704, time 6.1433402558323
Epochs 45, rate 2118.844095863183, time 5.998781528833206
Epochs 46, rate 2117.3679320556653, time 5.929351551356376
Epochs 47, rate 2115.9678584747485, time 6.041095653228695
Epochs 48, rate 2121.290593014285, time 5.972461809535162
Epochs 49, rate 2138.8506806557684, time 6.029556505556684
Epochs 50, rate 2138.0113764771386, time 6.036296589663834
Epochs 51, rate 2136.990212178839, time 6.0785797962598735
Epochs 52, rate 2137.8871256278153, time 6.053283765882952
Epochs 53, rate 2133.0353651025885, time 6.110062481820933
Epochs 54, rate 2136.7471604866814, time 6.030128176003927
Epochs 55, rate 2137.024125304899, time 6.05365848983638
Epochs 56, rate 2135.9525794118613, time 6.081455462423037
Epochs 57, rate 2135.5597140321743, time 6.132441106965416
