Updated best error: 7380.110969291396. was found in iteration 0, time 3.920574292267702
Epochs 0, rate 7380.110969291396, time 3.9309735000279034
Updated best error: 5829.685729356885. was found in iteration 1, time 3.95320804815492
Epochs 1, rate 5829.685729356885, time 3.963238097181602
Updated best error: 5787.654956796362. was found in iteration 2, time 3.924514149690367
Epochs 2, rate 5787.654956796362, time 3.9363748426658276
Epochs 3, rate 5810.766099569528, time 3.937365140347538
Epochs 4, rate 5832.885724100696, time 3.904543094955443
Epochs 5, rate 5853.252632346849, time 3.8949644460553827
Updated best error: 5782.637410964324. was found in iteration 6, time 3.9034071743553795
Epochs 6, rate 5782.637410964324, time 3.9130924897217483
Epochs 7, rate 5859.662238902882, time 3.939667590184399
Updated best error: 5781.689266926678. was found in iteration 8, time 3.9062726376396313
Epochs 8, rate 5781.689266926678, time 3.906297062712838
Epochs 9, rate 5837.046409535749, time 3.8884751054356457
Epochs 10, rate 5782.448513593875, time 3.908712053402269
Epochs 11, rate 5784.247095411792, time 3.900476474478637
Epochs 12, rate 5837.281509421117, time 3.8976069918790017
Epochs 13, rate 5782.5368811237395, time 3.9059452179571963
Epochs 14, rate 5782.696860732878, time 3.9155798281026364
Updated best error: 5781.646886699491. was found in iteration 15, time 3.906519361818937
Epochs 15, rate 5781.646886699491, time 3.9065440960730484
Epochs 16, rate 5787.018470203218, time 3.896179207087698
Epochs 17, rate 5782.614533903102, time 3.9157777021318907
Updated best error: 5781.59575265051. was found in iteration 18, time 3.909777790559019
Epochs 18, rate 5781.59575265051, time 3.909801906454959
Updated best error: 5769.646635741029. was found in iteration 19, time 3.9043421291426057
Epochs 19, rate 5769.646635741029, time 3.914230265389051
Epochs 20, rate 5783.0238633676545, time 3.9065988206057227
Epochs 21, rate 5783.18146442692, time 3.9154910939687397
Epochs 22, rate 5783.092317323156, time 3.904595655243611
Epochs 23, rate 5782.969039395955, time 3.9276983756717527
Epochs 24, rate 5782.782657492284, time 3.9133249917067587
Epochs 25, rate 5782.454073351765, time 3.895446145648748
Epochs 26, rate 5781.632807146386, time 3.9033490488618554
Epochs 27, rate 5785.626855204118, time 3.9117123183677904
Epochs 28, rate 5826.8109026302145, time 3.900299006210844
Epochs 29, rate 5782.125977689889, time 3.900088146696362
Epochs 30, rate 5781.274212611204, time 3.918357484784792
Epochs 31, rate 5791.744164980069, time 3.904253085831442
Epochs 32, rate 5781.725758874011, time 3.910711508629902
Epochs 33, rate 5783.407658225094, time 3.9012117001657316
Epochs 34, rate 5783.355281873225, time 3.916929081638955
Epochs 35, rate 5783.284562750736, time 3.933327582617494
Epochs 36, rate 5783.178072383732, time 3.9167247148652677
Epochs 37, rate 5782.9857909180155, time 3.9124228098044114
Epochs 38, rate 5782.439825204244, time 3.9186629528194317
Epochs 39, rate 5781.732219827784, time 3.912792277718836
Epochs 40, rate 5782.713568961462, time 3.9041492019641737
Epochs 41, rate 5782.782777237748, time 3.9169652554846834
Epochs 42, rate 5782.234855339507, time 3.97768753897617
Epochs 43, rate 5778.474309574438, time 3.9478493721035193
Epochs 44, rate 5817.61263774458, time 3.9276136608532397
Epochs 45, rate 5823.648676211499, time 3.9178807320458873
Epochs 46, rate 5780.949493221107, time 3.9185559771722183
Epochs 47, rate 5781.69753023714, time 3.9250821099922177
Epochs 48, rate 5783.11142904613, time 3.9352061491808854
Epochs 49, rate 5783.01046683568, time 3.921948280058132
Epochs 50, rate 5782.80825388163, time 3.9175060081033735
Epochs 51, rate 5782.265734907619, time 3.925265452646272
Epochs 52, rate 5781.637787023698, time 3.9119049363725935
Epochs 53, rate 5800.561530266731, time 3.921514812260284
Epochs 54, rate 5782.444943652393, time 3.913905628309294
Epochs 55, rate 5782.61997735144, time 3.925151675080997
Epochs 56, rate 5781.848037780243, time 3.9303149505249166
Epochs 57, rate 5814.127953072008, time 3.9087417345072026
Epochs 58, rate 5778.512692765801, time 3.9196656176245597
Epochs 59, rate 5784.744559326932, time 3.9205693454168795
Epochs 60, rate 5780.54062658013, time 3.9094373853913567
Epochs 61, rate 5796.834361858302, time 3.9400052127457457
Epochs 62, rate 5783.553187472382, time 3.9154509008039895
Epochs 63, rate 5783.589760025128, time 3.904636466759257
Epochs 64, rate 5783.556931638523, time 3.9173922305380984
Epochs 65, rate 5783.51401025378, time 3.9259892387453874
Epochs 66, rate 5783.4548438993825, time 4.021319689916709
Epochs 67, rate 5783.366796363832, time 3.9561186514511064
Epochs 68, rate 5783.217839113859, time 3.9112742129000253
Epochs 69, rate 5782.889653093361, time 3.9062509951691027
Epochs 70, rate 5780.744805130998, time 3.9004396822747367
Epochs 71, rate 5796.605192116832, time 3.925744987987855
Epochs 72, rate 5782.9645440256145, time 3.994758502478362
Epochs 73, rate 5781.856772778169, time 3.9262285426484596
Epochs 74, rate 5806.2820778308105, time 3.928401756009407
Epochs 75, rate 5783.593074125749, time 3.9228285103054077
Epochs 76, rate 5783.823837714482, time 3.934721976169385
Epochs 77, rate 5783.8213825424555, time 3.910568049959693
Epochs 78, rate 5783.820181015361, time 3.9305353945601382
Epochs 79, rate 5783.818942367195, time 3.9501790296199033
Epochs 80, rate 5783.817656947935, time 3.9349492221226683
Epochs 81, rate 5783.816320962881, time 3.9361441957516945
Epochs 82, rate 5783.814930236676, time 3.9396088463290653
Epochs 83, rate 5783.813480122093, time 3.914526148899313
Epochs 84, rate 5783.811965426712, time 3.9364836733839184
Epochs 85, rate 5783.810380327557, time 3.9553064403989993
Epochs 86, rate 5783.808718267703, time 3.9427207246153557
Epochs 87, rate 5783.806971832001, time 3.922398134298419
Epochs 88, rate 5783.805132596107, time 3.9340884700977767
Epochs 89, rate 5783.803190943278, time 3.9661471545878157
Epochs 90, rate 5783.801135837502, time 3.924274536613666
Epochs 91, rate 5783.798954543878, time 3.9457389219132892
Epochs 92, rate 5783.7966322787015, time 3.927095478240517
Epochs 93, rate 5783.794151767805, time 3.9267287929287704
Epochs 94, rate 5783.791492685849, time 3.9462212398611882
Epochs 95, rate 5783.788630933508, time 3.91744881014165
Epochs 96, rate 5783.785537698646, time 3.917943495212967
Epochs 97, rate 5783.782178218893, time 3.946210727801372
Epochs 98, rate 5783.778510128594, time 3.9186805759745766
Epochs 99, rate 5783.774481219512, time 3.952304938717134
