Updated best error: 2139.745478396475. was found in iteration 0, time 2.4745062501897337
Epochs 0, rate 2139.745478396475, time 2.483274543104926
Updated best error: 1872.1220580675365. was found in iteration 1, time 2.485967484972207
Epochs 1, rate 1872.1220580675365, time 2.5495861495583085
Updated best error: 1865.1425126698025. was found in iteration 2, time 2.4536122986173723
Epochs 2, rate 1865.1425126698025, time 2.462347509463143
Epochs 3, rate 1880.572032373132, time 2.471573695242114
Epochs 4, rate 1879.8550487477871, time 2.53071855170856
Epochs 5, rate 1888.5102526774226, time 2.4565148632755154
Epochs 6, rate 1895.572989639113, time 2.4353995401252178
Epochs 7, rate 1889.2968306945409, time 2.43348974656692
Epochs 8, rate 1887.994109817809, time 2.4341844699229114
Epochs 9, rate 1897.8964036416455, time 2.4592306843260303
Epochs 10, rate 1897.6491551090473, time 2.5160517576659913
Epochs 11, rate 1905.8497599758105, time 2.4468097605131334
Epochs 12, rate 1930.5351205131178, time 2.5108600378298433
Epochs 13, rate 1912.9155664328819, time 2.437878221520805
Epochs 14, rate 1917.8613352598775, time 2.475416779903753
Epochs 15, rate 1902.2525800253013, time 2.4466285821035854
Epochs 16, rate 1890.7093074756817, time 2.473291798334685
Epochs 17, rate 1894.0194152413, time 2.4469096250541043
Epochs 18, rate 1877.5418320862666, time 2.458209159645776
Updated best error: 1861.5522651408944. was found in iteration 19, time 2.5096669192644185
Epochs 19, rate 1861.5522651408944, time 2.5187811825526296
Updated best error: 1828.398106821202. was found in iteration 20, time 2.4546610309625976
Epochs 20, rate 1828.398106821202, time 2.4632997782246093
Epochs 21, rate 1854.8370812447017, time 2.4987609684831114
Epochs 22, rate 1878.481682483422, time 2.5091839829619857
Updated best error: 1766.4148281549876. was found in iteration 23, time 2.4692925787021522
Epochs 23, rate 1766.4148281549876, time 2.477873200463364
Epochs 24, rate 1902.9572350983278, time 2.4718522647817736
Epochs 25, rate 1822.7004048846645, time 2.512325233175943
Epochs 26, rate 1804.237661972787, time 2.476443560604821
Epochs 27, rate 1798.326501768545, time 2.461319182868465
Updated best error: 1749.3802556846767. was found in iteration 28, time 2.502372478695179
Epochs 28, rate 1749.3802556846767, time 2.5110906847403385
Epochs 29, rate 1921.5213816489807, time 2.4860630210168893
Epochs 30, rate 1792.233555879835, time 2.483587431415799
Epochs 31, rate 1786.8996296948121, time 2.4910809827269986
Epochs 32, rate 1758.397445654244, time 2.4277476895877044
Updated best error: 1728.3677281768976. was found in iteration 33, time 2.4728434899880085
Epochs 33, rate 1728.3677281768976, time 2.4814519377905526
Updated best error: 1626.3338083364217. was found in iteration 34, time 2.472892340141698
Epochs 34, rate 1626.3338083364217, time 2.4821689219679683
Epochs 35, rate 1692.0034773824461, time 2.45823420308443
Epochs 36, rate 1815.4383313318, time 2.4940518757648533
Epochs 37, rate 1649.733704615196, time 2.5495657438004855
Epochs 38, rate 1900.2267026654938, time 2.46321568176063
Epochs 39, rate 1878.4697710459775, time 2.541362010226294
Epochs 40, rate 1893.1918215195185, time 2.469229197180539
Epochs 41, rate 1893.81914729755, time 2.4462708629580447
Epochs 42, rate 1893.8165795043228, time 2.459956325488747
Epochs 43, rate 1893.796265004511, time 2.53174471406237
Epochs 44, rate 1893.7677196332659, time 2.431975701067131
Epochs 45, rate 1893.7240553695408, time 2.443931620917283
Epochs 46, rate 1893.6448060972311, time 2.4935921278229216
Epochs 47, rate 1893.422637648672, time 2.468571266028448
Epochs 48, rate 1895.5509587669608, time 2.4954227717826143
Epochs 49, rate 1892.468860994876, time 2.4441579393460415
Epochs 50, rate 1893.2131484283987, time 2.49634443190007
Epochs 51, rate 1892.0143775545898, time 2.444650769342843
Epochs 52, rate 1892.4036610814492, time 2.478550609834201
Epochs 53, rate 1892.1817862168305, time 2.4523054024830344
Epochs 54, rate 1889.821307930626, time 2.4569477127151913
Epochs 55, rate 1864.1159492178886, time 2.4695229164426564
Epochs 56, rate 1922.7379115590497, time 2.472385287946963
Epochs 57, rate 1889.9869417858883, time 2.458094454552338
Epochs 58, rate 1869.5869549493307, time 2.4907040945399785
Epochs 59, rate 1892.9290307707095, time 2.4728632773985737
Epochs 60, rate 1893.9125843084526, time 2.5461579820039333
Epochs 61, rate 1893.9310188752224, time 2.497534149501007
Epochs 62, rate 1893.9302671282228, time 2.471582661411958
Epochs 63, rate 1893.929137884754, time 2.4704142771079205
Epochs 64, rate 1893.9279139296948, time 2.43604541332752
Epochs 65, rate 1893.9265826410708, time 2.491100770137564
Epochs 66, rate 1893.9251223945819, time 2.4540618436731165
Epochs 67, rate 1893.9235056579082, time 2.5411530057826894
Epochs 68, rate 1893.9216969012355, time 2.480675591403269
Epochs 69, rate 1893.9196493966049, time 2.4735159525152994
Epochs 70, rate 1893.9173003444998, time 2.511419341135479
Epochs 71, rate 1893.9145632107532, time 2.4556046427460387
Epochs 72, rate 1893.9113152053442, time 2.435171366640134
Epochs 73, rate 1893.9073758684913, time 2.4662310964631615
Epochs 74, rate 1893.902468358832, time 2.4407987185186357
Epochs 75, rate 1893.8961444749882, time 2.480030645740044
Epochs 76, rate 1893.8876260043849, time 2.5206167733485927
Epochs 77, rate 1893.8754268904568, time 2.5270312928550993
Epochs 78, rate 1893.8562890898838, time 2.482113888254389
Epochs 79, rate 1893.8212885662633, time 2.623991731343267
Epochs 80, rate 1893.7324790728396, time 2.614912405188079
Epochs 81, rate 1892.9131430932666, time 2.560222496977076
Epochs 82, rate 1893.28156757951, time 2.486663135852723
