Updated best error: 2229.649808650789. was found in iteration 0, time 6.495876645334647
Epochs 0, rate 2229.649808650789, time 6.508826573000988
Updated best error: 1922.5548261678957. was found in iteration 1, time 6.558150384880719
Epochs 1, rate 1922.5548261678957, time 6.570776293825475
Epochs 2, rate 1961.8547124751256, time 6.496605687454576
Epochs 3, rate 1934.7009338806147, time 6.592835228744661
Epochs 4, rate 1984.342647360582, time 6.683327969090897
Epochs 5, rate 2070.844423648176, time 6.558054539636942
Epochs 6, rate 1977.4444543354432, time 6.536138135867077
Updated best error: 1915.5910320605474. was found in iteration 7, time 6.5163055929442635
Epochs 7, rate 1915.5910320605474, time 6.530861082850606
Epochs 8, rate 2026.9653499280614, time 6.536988685009419
Epochs 9, rate 1933.9819228813756, time 6.52404988775379
Updated best error: 1872.1757983574323. was found in iteration 10, time 6.577802058571251
Epochs 10, rate 1872.1757983574323, time 6.590850923254038
Epochs 11, rate 1898.5598525332855, time 6.551786570591503
Epochs 12, rate 1938.255348569868, time 6.523029290619888
Epochs 13, rate 2033.7629974246802, time 6.561605141745531
Epochs 14, rate 2025.6867698685726, time 6.539361009112326
Epochs 15, rate 2007.9947154552362, time 6.552099458902376
Epochs 16, rate 1985.693030787057, time 6.546158909535734
Epochs 17, rate 1947.4379650982057, time 6.551747304969467
Epochs 18, rate 1938.1174733158994, time 6.5281885467411485
Epochs 19, rate 1991.449187629871, time 6.553991938490071
Epochs 20, rate 1931.5111296773316, time 6.551430088162306
Epochs 21, rate 2072.3628187776044, time 6.545828398084268
Epochs 22, rate 2075.53514744968, time 6.561427673485014
Epochs 23, rate 2053.911375112468, time 6.60249148136063
Epochs 24, rate 2101.4164140947873, time 6.555216902401298
Epochs 25, rate 2108.964945211639, time 6.583246376976604
Epochs 26, rate 2094.545982964274, time 6.619520396649023
Epochs 27, rate 2128.026689186878, time 6.618407973583089
Epochs 28, rate 2210.492186798754, time 6.5726622806541855
Epochs 29, rate 2211.009983130763, time 6.557294888887554
Epochs 30, rate 2143.396133908866, time 6.522819976991741
Epochs 31, rate 2063.080327856023, time 6.594059265131364
Epochs 32, rate 2153.784053181088, time 6.564402895019157
Epochs 33, rate 1993.069826743964, time 6.591828853808693
Epochs 34, rate 2150.5515043634728, time 6.578525226315833
Epochs 35, rate 2023.2807498365125, time 6.592450611104141
Epochs 36, rate 2045.1898990006641, time 6.566086370163248
Epochs 37, rate 1949.599793743119, time 6.597263278497849
Epochs 38, rate 2005.6631083819302, time 6.532034414005466
Epochs 39, rate 1900.1041532466045, time 6.550643848080654
Epochs 40, rate 2123.636372578443, time 6.556161750893807
Epochs 41, rate 2155.636527605186, time 6.536078773642657
Epochs 42, rate 2143.351671819578, time 6.5696307886973955
Epochs 43, rate 2147.696204375407, time 6.566910639157868
Epochs 44, rate 2139.549238455458, time 6.591839675049414
Epochs 45, rate 2141.9907207335186, time 6.549925627201446
Epochs 46, rate 2139.6009610984247, time 6.551437508445815
Epochs 47, rate 2138.2580906350586, time 6.579995059335488
Epochs 48, rate 2136.9670819741946, time 6.536386715102708
Epochs 49, rate 2135.674620183015, time 6.549584912849241
Epochs 50, rate 2131.5268809557983, time 6.541868753251038
Epochs 51, rate 2133.3940558806034, time 6.578431236150209
Epochs 52, rate 2133.0061793359837, time 6.558245920939953
Epochs 53, rate 2131.1103124150086, time 6.5854449429461965
Epochs 54, rate 2127.8912502793232, time 6.5766463505715365
Epochs 55, rate 2148.4365526362603, time 6.689683126372984
Epochs 56, rate 2180.149972338143, time 6.686695537719061
Epochs 57, rate 2179.3510315214317, time 6.566728224046528
Epochs 58, rate 2175.047683777944, time 6.583439613328665
Epochs 59, rate 2191.0705847724143, time 6.566905692307046
Epochs 60, rate 2177.167670179255, time 6.561969971997314
Epochs 61, rate 2175.7285472522935, time 6.573610220933915
Epochs 62, rate 2175.7752568250803, time 6.584714045748115
Epochs 63, rate 2173.455100456322, time 6.591212352534058
Epochs 64, rate 2175.0111091240574, time 6.555901732048369
Epochs 65, rate 2172.3980544334263, time 6.543825851054862
Epochs 66, rate 2173.713070544469, time 6.582256697656703
Epochs 67, rate 2176.067407605646, time 6.564733715669718
Epochs 68, rate 2178.0743613014984, time 6.69406789119239
Epochs 69, rate 2171.1690695346347, time 6.552120483014733
Epochs 70, rate 2170.8995171259958, time 6.601645260714577
Epochs 71, rate 2169.2146729217757, time 6.620481322403066
Epochs 72, rate 2171.77744699903, time 6.549927173080505
Epochs 73, rate 2170.7702026236866, time 6.589659350574948
Epochs 74, rate 2164.904401105878, time 6.542703225131845
Epochs 75, rate 2167.4644993988313, time 6.536389497719938
Epochs 76, rate 2170.3247746834854, time 6.560011328285327
Epochs 77, rate 2170.025397229068, time 6.571114225575002
Epochs 78, rate 2169.71572508626, time 6.573112753263558
Epochs 79, rate 2169.4064938906786, time 6.546802309312625
