Updated best error: 2029.5333831250807. was found in iteration 0, time 0.2666073662385884
Epochs 0, rate 2029.5333831250807, time 0.2746218902057933
Updated best error: 1869.4354268969341. was found in iteration 1, time 0.27003893793488487
Epochs 1, rate 1869.4354268969341, time 0.288993432431198
Epochs 2, rate 1872.1822993092828, time 0.27015147889332525
Epochs 3, rate 1872.3901616105816, time 0.2661225744177216
Epochs 4, rate 1872.403593662962, time 0.26518792794163915
Epochs 5, rate 1872.4044578766063, time 0.2812859226719695
Epochs 6, rate 1872.4045125215557, time 0.2720912645337137
Epochs 7, rate 1872.4045147082295, time 0.2695736243568376
Epochs 8, rate 1872.4045134639402, time 0.26569467143295356
Epochs 9, rate 1872.4045119834987, time 0.29818407124955115
Epochs 10, rate 1872.4045104763393, time 0.28746980099418806
Epochs 11, rate 1872.4045089561491, time 0.3163059481606467
Epochs 12, rate 1872.4045074236778, time 0.3432431212430913
Epochs 13, rate 1872.4045058788656, time 0.29122106321526076
Epochs 14, rate 1872.4045043215347, time 0.2670321774387503
Epochs 15, rate 1872.4045027515808, time 0.2754591454678632
Epochs 16, rate 1872.4045011688174, time 0.30636957090356987
Epochs 17, rate 1872.4044995730833, time 0.27978702551155266
Epochs 18, rate 1872.4044979642388, time 0.31414077142497376
Epochs 19, rate 1872.4044963421077, time 0.30434723461513613
Epochs 20, rate 1872.4044947065242, time 0.2788053839099973
Epochs 21, rate 1872.4044930573014, time 0.266293859282996
Epochs 22, rate 1872.4044913943028, time 0.30907364569011975
Epochs 23, rate 1872.4044897173626, time 0.2942336981020901
Epochs 24, rate 1872.4044880262468, time 0.26940357620537725
Epochs 25, rate 1872.4044863208396, time 0.26635353072521184
Epochs 26, rate 1872.4044846009062, time 0.2884542252018889
Epochs 27, rate 1872.404482866309, time 0.2688059342476379
Epochs 28, rate 1872.4044811168235, time 0.2685292195284603
Epochs 29, rate 1872.4044793522817, time 0.269287634283927
Epochs 30, rate 1872.4044775724446, time 0.2799375954202219
Epochs 31, rate 1872.404475777165, time 0.26984106372231054
Epochs 32, rate 1872.4044739661763, time 0.2689277505597545
Epochs 33, rate 1872.4044721393725, time 0.2884152687162782
Epochs 34, rate 1872.4044702964484, time 0.283761205400225
Epochs 35, rate 1872.4044684372275, time 0.2701384933981217
Epochs 36, rate 1872.404466561509, time 0.2786767656718041
Epochs 37, rate 1872.404464669027, time 0.30067048440224653
Epochs 38, rate 1872.4044627595852, time 0.2674560611035588
Epochs 39, rate 1872.404460832967, time 0.2773086509987479
Epochs 40, rate 1872.4044588889167, time 0.29631756090350336
Epochs 41, rate 1872.4044569272203, time 0.2875421487532037
Epochs 42, rate 1872.4044549475989, time 0.275859222391432
Epochs 43, rate 1872.404452949842, time 0.26694808089840194
Epochs 44, rate 1872.4044509336381, time 0.28206010552881366
Epochs 45, rate 1872.4044488988268, time 0.27071109190080733
Epochs 46, rate 1872.4044468450768, time 0.2701001552694322
Epochs 47, rate 1872.4044447721722, time 0.34055141359482377
Epochs 48, rate 1872.404442679776, time 0.2883154040746092
Epochs 49, rate 1872.4044405676605, time 0.26858796343532276
Epochs 50, rate 1872.4044384355282, time 0.2697269768715955
Epochs 51, rate 1872.4044362831223, time 0.30509977497990803
Epochs 52, rate 1872.4044341100982, time 0.2719632646524417
Epochs 53, rate 1872.4044319161917, time 0.2681260508202854
Epochs 54, rate 1872.4044297011149, time 0.27137706229760283
Epochs 55, rate 1872.4044274645591, time 0.31799900939222425
Epochs 56, rate 1872.4044252061533, time 0.29359091608958465
Epochs 57, rate 1872.404422925598, time 0.3024572267063661
Epochs 58, rate 1872.4044206226215, time 0.2908553051003935
Epochs 59, rate 1872.4044182968378, time 0.27360778486621484
Epochs 60, rate 1872.4044159479358, time 0.2689027071047292
Epochs 61, rate 1872.4044135755132, time 0.2707531401709957
Epochs 62, rate 1872.4044111792632, time 0.2943938525429246
Epochs 63, rate 1872.4044087588227, time 0.27642409143271607
Epochs 64, rate 1872.4044063138497, time 0.2759878406296252
Epochs 65, rate 1872.404403843897, time 0.2817704053144041
Epochs 66, rate 1872.4044013486034, time 0.27306424913845717
