Updated best error: 3315.450446607097. was found in iteration 0, time 2.1519752929543756
Epochs 0, rate 3315.450446607097, time 2.160182118310331
Updated best error: 2362.5522994813664. was found in iteration 1, time 2.1045785886071826
Epochs 1, rate 2362.5522994813664, time 2.112806438079133
Updated best error: 2356.424473998469. was found in iteration 2, time 2.1157272442542308
Epochs 2, rate 2356.424473998469, time 2.1239068619306636
Epochs 3, rate 2368.1360817777627, time 2.1180145443595393
Epochs 4, rate 2364.022598860063, time 2.1520018822775455
Epochs 5, rate 2377.5305962624684, time 2.121137553058361
Epochs 6, rate 2362.2027732396537, time 2.127308440161869
Epochs 7, rate 2367.2480149651674, time 2.12594372771855
Epochs 8, rate 2366.3795049489813, time 2.1280019267978787
Epochs 9, rate 2384.3550952143833, time 2.122982110024168
Epochs 10, rate 2367.405603170651, time 2.1174082459674537
Epochs 11, rate 2367.354139385657, time 2.1194398557254317
Epochs 12, rate 2367.2794532695143, time 2.1190669868501573
Epochs 13, rate 2367.142060153222, time 2.215328682674226
Epochs 14, rate 2366.707085394479, time 2.193030753025596
Epochs 15, rate 2366.24432282158, time 2.1625247613064857
Epochs 16, rate 2367.2646363245335, time 2.120508375483041
Epochs 17, rate 2367.1830849413122, time 2.128918949250874
Epochs 18, rate 2367.0475651273828, time 2.1448403883150604
Epochs 19, rate 2366.758961856193, time 2.1223894154700247
Epochs 20, rate 2365.411285515668, time 2.1188793157016335
Epochs 21, rate 2442.191608981526, time 2.1166114938223473
Epochs 22, rate 2361.1127283493424, time 2.112393685220013
Epochs 23, rate 2367.1545403957625, time 2.1236375677453907
Epochs 24, rate 2366.917817972739, time 2.1189903106642305
Epochs 25, rate 2366.4099744781174, time 2.1187881081423257
Epochs 26, rate 2356.961811063541, time 2.1298300973194273
Epochs 27, rate 2375.8172851259947, time 2.1202362986914522
Epochs 28, rate 2362.1442791044587, time 2.1471672632251284
Epochs 29, rate 2370.8533348961887, time 2.1345793831951596
Epochs 30, rate 2367.393921025041, time 2.124820174247361
Epochs 31, rate 2367.3324546212575, time 2.124601276102112
Epochs 32, rate 2367.2099701551992, time 2.1300425027220626
Epochs 33, rate 2366.8362620913254, time 2.1200687241234846
Epochs 34, rate 2362.8233196374827, time 2.128234428782889
Epochs 35, rate 2382.987740722455, time 2.130328183353413
Epochs 36, rate 2367.5571640720473, time 2.130833380482727
Epochs 37, rate 2367.5545162978356, time 2.127735415215284
Epochs 38, rate 2367.5523255401463, time 2.120505592876725
Epochs 39, rate 2367.5501005236492, time 2.1332431151440687
Epochs 40, rate 2367.5478325538743, time 2.1261660268228297
Epochs 41, rate 2367.5455125960652, time 2.137839976181567
Epochs 42, rate 2367.5431311280395, time 2.1219392520561087
Epochs 43, rate 2367.540677978132, time 2.134809720933845
Epochs 44, rate 2367.53814214234, time 2.124031151555755
Epochs 45, rate 2367.5355115730936, time 2.1295629673804797
Epochs 46, rate 2367.532772929032, time 2.150439295803153
Epochs 47, rate 2367.529911275008, time 2.132590749202791
Epochs 48, rate 2367.526909714053, time 2.1341647752706194
Epochs 49, rate 2367.523748931141, time 2.1295920301290607
Epochs 50, rate 2367.5204066180618, time 2.1299785028422775
Epochs 51, rate 2367.5168567383116, time 2.1247982225959277
Epochs 52, rate 2367.5130685736617, time 2.125528501435838
Epochs 53, rate 2367.5090054694065, time 2.122920583567975
Epochs 54, rate 2367.5046231544598, time 2.122625318414066
Epochs 55, rate 2367.499867455337, time 2.150409614700038
Epochs 56, rate 2367.4946711228054, time 2.1427886819765263
Epochs 57, rate 2367.4889493342685, time 2.128457037064436
Epochs 58, rate 2367.482593164161, time 2.132894362166553
Epochs 59, rate 2367.47545984707, time 2.1269649432160804
Epochs 60, rate 2367.467357800912, time 2.1323403148853686
Epochs 61, rate 2367.458022753763, time 2.125338047682817
Epochs 62, rate 2367.4470780554984, time 2.1399433152746496
