Updated best error: 25912.408425436828. was found in iteration 0, time 1.61021753467503
Epochs 0, rate 25912.408425436828, time 1.6291927265119739
Updated best error: 25041.46676971725. was found in iteration 1, time 1.644311539042974
Epochs 1, rate 25041.46676971725, time 1.657319283025572
Updated best error: 25040.68620611766. was found in iteration 2, time 1.6026238096237648
Epochs 2, rate 25040.68620611766, time 1.6026488530624192
Updated best error: 25039.40654193458. was found in iteration 3, time 1.5974339448439423
Epochs 3, rate 25039.40654193458, time 1.6114842376264278
Epochs 4, rate 25043.42041762884, time 1.5719490066112485
Epochs 5, rate 25066.323210563456, time 1.6230233853275422
Epochs 6, rate 25046.351553191373, time 1.593234068597667
Epochs 7, rate 25046.44786949484, time 1.6320025377208367
Epochs 8, rate 25058.857267883886, time 1.7144433509674855
Epochs 9, rate 25045.970023848808, time 1.6241886778443586
Epochs 10, rate 25063.26307525138, time 1.5942722888721619
Epochs 11, rate 25069.196255208237, time 1.6089557785599027
Updated best error: 25027.139844644324. was found in iteration 12, time 1.5934511116647627
Epochs 12, rate 25027.139844644324, time 1.616120055114152
Updated best error: 25004.794456773892. was found in iteration 13, time 1.6803004964604042
Epochs 13, rate 25004.794456773892, time 1.6994862386200111
Epochs 14, rate 25023.84352721159, time 1.6316027703578584
Epochs 15, rate 25033.06129949061, time 1.6315610313031357
Epochs 16, rate 25042.816199140932, time 1.617660689924378
Epochs 17, rate 25036.606849953874, time 1.5583498048072215
Epochs 18, rate 25071.01142800176, time 1.5853623923903797
Epochs 19, rate 25055.39075928734, time 1.6387704478984233
Epochs 20, rate 25063.403912020516, time 1.575928748032311
Epochs 21, rate 25059.673960914606, time 1.6159159975359216
Epochs 22, rate 25056.29640468886, time 1.5694084895949345
Epochs 23, rate 25048.160538878663, time 1.531516540562734
Epochs 24, rate 25039.056182027613, time 1.5673790441069286
Epochs 25, rate 25058.544897702206, time 1.6361139890505
Epochs 26, rate 25053.43475789942, time 1.5556148147152271
Epochs 27, rate 25046.70398509668, time 1.6136794026533607
Epochs 28, rate 25063.006971928386, time 1.5509836348937824
Epochs 29, rate 25066.211234592254, time 1.6343043692177162
Epochs 30, rate 25051.604478539222, time 1.5990194105252158
Epochs 31, rate 25066.096566341643, time 1.6422258231032174
Epochs 32, rate 25053.98210364989, time 1.5963700627617072
Epochs 33, rate 25058.366374843183, time 1.5964272607234307
Epochs 34, rate 25055.04343082414, time 1.576378602272598
Epochs 35, rate 25071.24362121093, time 1.6190077792562079
Epochs 36, rate 25053.299743971544, time 1.652036664832849
Epochs 37, rate 25059.206047646363, time 1.6222309616568964
Epochs 38, rate 25060.68100125651, time 1.6247600390925072
Epochs 39, rate 25067.005664651115, time 1.6643530864093918
Epochs 40, rate 25064.243167634504, time 1.650519836723106
Epochs 41, rate 25058.186345138944, time 1.5910905363271013
Epochs 42, rate 25060.5282519945, time 1.551467189536197
Epochs 43, rate 25060.21548812372, time 1.6154961335705593
Epochs 44, rate 25059.54951947259, time 1.5951602485729381
Epochs 45, rate 25058.211078789693, time 1.5570138459443115
Epochs 46, rate 25059.1836612543, time 1.68335610430222
Epochs 47, rate 25065.913244534215, time 1.6393130555807147
Epochs 48, rate 25055.908057984172, time 1.648032498313114
Epochs 49, rate 25057.205626743922, time 1.6011477930587716
Epochs 50, rate 25059.45745386012, time 1.6509050727181602
Epochs 51, rate 25058.468437019612, time 1.6212548861803953
Epochs 52, rate 25063.105998992363, time 1.617510738549754
Epochs 53, rate 25065.78267718821, time 1.6390032590425108
Epochs 54, rate 25058.649620302334, time 1.58651933708461
Epochs 55, rate 25062.11388470298, time 1.576823509647511
Epochs 56, rate 25059.210308417343, time 1.5816649306216277
Epochs 57, rate 25071.37242233187, time 1.5636985871533398
Epochs 58, rate 25056.918436360746, time 1.5649074738030322
Epochs 59, rate 25058.253636925943, time 1.541466821625363
Epochs 60, rate 25069.02579018022, time 1.5880432762787677
Epochs 61, rate 25080.09777197488, time 1.6395189682370983
Epochs 62, rate 25063.08894886246, time 1.5665730165783316
Epochs 63, rate 25063.606848641484, time 1.6017605841625482
Epochs 64, rate 25061.887291569048, time 1.72753766484675
Epochs 65, rate 25057.928932243507, time 1.6226511347922496
Epochs 66, rate 25065.823518528625, time 1.6617847433662973
Epochs 67, rate 25067.360017000115, time 1.6218299575557467
Epochs 68, rate 25068.827438439905, time 1.5999237566429656
Epochs 69, rate 25061.77892096551, time 1.6025761961645912
Epochs 70, rate 25066.86337474778, time 1.6162050791026559
Epochs 71, rate 25064.357538322365, time 1.652572470571613
Epochs 72, rate 25057.54996497162, time 1.5728249083913397
Epochs 73, rate 25061.310499503084, time 1.5601770477951504
Epochs 74, rate 25068.340997771127, time 1.6593280136294197
Epochs 75, rate 25062.79192535813, time 1.6560133144375868
Epochs 76, rate 25063.60116182993, time 1.6188346394628752
Epochs 77, rate 25069.69873918874, time 1.5800612234743312
Epochs 78, rate 25065.691193933304, time 1.5889330910868011
Epochs 79, rate 25074.05336209683, time 1.5955074556986801
Epochs 80, rate 25070.28757608305, time 1.5956586438114755
Epochs 81, rate 25063.57161076373, time 1.6390415971400216
Epochs 82, rate 25066.941716347526, time 1.5778240102226846
Epochs 83, rate 25072.744777636588, time 1.5952879391843453
Epochs 84, rate 25070.069024426644, time 1.561125915584853
Epochs 85, rate 25060.11488526678, time 1.6242934892361518
Epochs 86, rate 25062.597675406614, time 1.5785208978049923
Epochs 87, rate 25060.806403000366, time 1.625704887585016
Epochs 88, rate 25072.945212799645, time 1.5579747716838028
Epochs 89, rate 25062.740608659584, time 1.6779646553623024
Epochs 90, rate 25071.87936757829, time 1.6254139509110246
Epochs 91, rate 25065.141211752467, time 1.6599101961182896
Epochs 92, rate 25067.622767626108, time 1.742170758487191
