Updated best error: 2232.104414796749. was found in iteration 0, time 0.5865851920389105
Epochs 0, rate 2232.104414796749, time 0.5964572510274593
Updated best error: 1853.7864611817156. was found in iteration 1, time 0.5819125823618378
Epochs 1, rate 1853.7864611817156, time 0.5893696506391279
Updated best error: 1844.1505026639127. was found in iteration 2, time 0.5797851273673587
Epochs 2, rate 1844.1505026639127, time 0.5882046672923025
Epochs 3, rate 1844.5663968025221, time 0.5880061748903245
Epochs 4, rate 1844.8346787087619, time 0.577790309820557
Epochs 5, rate 1848.12608337595, time 0.588632879051147
Epochs 6, rate 1847.6805698190822, time 0.5897094374522567
Epochs 7, rate 1846.0489300540976, time 0.6863693547493313
Epochs 8, rate 1845.3935213363484, time 0.6815226777398493
Epochs 9, rate 1851.2882577925, time 0.587507779680891
Epochs 10, rate 1846.4038781424542, time 0.5819104180845898
Epochs 11, rate 1846.4059761781066, time 0.5865190279146191
Epochs 12, rate 1846.445961832768, time 0.6577864512510132
Epochs 13, rate 1846.4396556657628, time 0.5838288686354645
Epochs 14, rate 1846.3875668200708, time 0.5793476402468514
Epochs 15, rate 1845.9244580733543, time 0.5860184684570413
Epochs 16, rate 1845.9397710316812, time 0.5919583994837012
Epochs 17, rate 1846.2024332474957, time 0.5769536736770533
Epochs 18, rate 1848.7630594686577, time 0.5825862815836444
Epochs 19, rate 1846.4278360722594, time 0.5726378555991687
Epochs 20, rate 1846.4921962564638, time 0.586682892346289
Epochs 21, rate 1846.5119641915085, time 0.596777250408195
Epochs 22, rate 1846.5170973857953, time 0.5841046555724461
Epochs 23, rate 1846.5182769323642, time 0.5901537264871877
Epochs 24, rate 1846.5184224657082, time 0.5877056537137832
Epochs 25, rate 1846.5182921538888, time 0.5884071789914742
Epochs 26, rate 1846.5180799782588, time 0.5767697126429994
Epochs 27, rate 1846.517834573467, time 0.5766738674137741
Epochs 28, rate 1846.517567067755, time 0.5784253617748618
Epochs 29, rate 1846.5172787293532, time 0.5768031039042398
Epochs 30, rate 1846.5169680189379, time 0.5926354996627197
Epochs 31, rate 1846.5166323426852, time 0.575978525710525
Epochs 32, rate 1846.5162684257652, time 0.5848460648267064
Epochs 33, rate 1846.515872307541, time 0.5987708312750328
Epochs 34, rate 1846.5154392073737, time 0.577796802535886
Epochs 35, rate 1846.5149633126478, time 0.579527272755513
Epochs 36, rate 1846.5144374844854, time 0.6074077234661672
Epochs 37, rate 1846.5138528523817, time 0.5821908426878508
Epochs 38, rate 1846.5131982486719, time 0.5774672185943928
Epochs 39, rate 1846.512459404361, time 0.5789160275016911
Epochs 40, rate 1846.5116177797656, time 0.5798642769805156
Epochs 41, rate 1846.5106488206507, time 0.5776932278531604
Epochs 42, rate 1846.5095192791916, time 0.5830073822580744
Epochs 43, rate 1846.5081829578876, time 0.5748976388422307
Epochs 44, rate 1846.5065736711504, time 0.5873225819668733
Epochs 45, rate 1846.5045930392123, time 0.5795278911245987
Epochs 46, rate 1846.5020880610234, time 0.5819969879812561
Epochs 47, rate 1846.498806836502, time 0.5848525575711392
Epochs 48, rate 1846.4943027199197, time 0.5791874859423842
Epochs 49, rate 1846.4876997184397, time 0.5823024560231715
Epochs 50, rate 1846.477009094902, time 0.590120644425042
Epochs 51, rate 1846.4565166982036, time 0.5815366216993425
Epochs 52, rate 1846.3999881216666, time 0.5841590709460434
Epochs 53, rate 1845.3247907681705, time 0.5827495276462287
Epochs 54, rate 1846.8298697451262, time 0.5822084658720996
Epochs 55, rate 1846.486819929529, time 0.5835645213082898
Epochs 56, rate 1846.5099431911865, time 0.5875974413647782
Epochs 57, rate 1846.5175925470141, time 0.5908642178983428
Epochs 58, rate 1846.5195111879366, time 0.5809123909566551
Epochs 59, rate 1846.519834192864, time 0.5822684464219492
Epochs 60, rate 1846.519724836013, time 0.5759089606290217
Epochs 61, rate 1846.5194867558228, time 0.5862546805874445
Epochs 62, rate 1846.5191961825512, time 0.5773293251404539
Epochs 63, rate 1846.5188699689384, time 0.5859958984365221
Epochs 64, rate 1846.5185090513182, time 0.5842790320748463
Epochs 65, rate 1846.5181095047628, time 0.5760848830104806
Epochs 66, rate 1846.5176651757365, time 0.5830488121137023
Epochs 67, rate 1846.5171680590738, time 0.5800442186591681
Epochs 68, rate 1846.5166079706025, time 0.5866080712003168
Epochs 69, rate 1846.51597185474, time 0.5858038988080807
Epochs 70, rate 1846.5152427152163, time 0.5846147995616775
Epochs 71, rate 1846.5143979992436, time 0.5996479697350878
Epochs 72, rate 1846.513407101547, time 0.6140766965691
Epochs 73, rate 1846.5122273774036, time 0.5871030654816423
Epochs 74, rate 1846.5107975042986, time 0.5828234212531243
Epochs 75, rate 1846.5090258654614, time 0.5794110217830166
Epochs 76, rate 1846.506768943781, time 0.5831155946070794
Epochs 77, rate 1846.5037879419222, time 0.5741825097356923
Epochs 78, rate 1846.4996526054956, time 0.5937813139462378
Epochs 79, rate 1846.4934973132501, time 0.6346160208049696
Epochs 80, rate 1846.483269250662, time 0.5758168255269993
Epochs 81, rate 1846.4625431578422, time 0.5827563295606524
Epochs 82, rate 1846.3939125921495, time 0.5780592948140111
Epochs 83, rate 1874.7584805368465, time 0.583114048698917
Epochs 84, rate 1871.6808735830643, time 0.5822087750420906
Epochs 85, rate 1849.111458197383, time 0.5801988077291753
Epochs 86, rate 1846.3457991472135, time 0.5810963519616053
Epochs 87, rate 1846.4297019620676, time 0.5810376081208233
Epochs 88, rate 1846.4980490593866, time 0.5834114781173412
Epochs 89, rate 1846.518234905043, time 0.5834989755530842
Epochs 90, rate 1846.5235075658645, time 0.5830138749734033
Epochs 91, rate 1846.524839017975, time 0.5864420425496064
Epochs 92, rate 1846.525162222109, time 0.579357224778505
Epochs 93, rate 1846.5252288103793, time 0.5874969584692735
Epochs 94, rate 1846.5252296606766, time 0.5801011074509006
Epochs 95, rate 1846.5252131706234, time 0.5854718414484523
Epochs 96, rate 1846.5251915946249, time 0.5863066225138027
Epochs 97, rate 1846.5251680084677, time 0.5832411209412385
Epochs 98, rate 1846.525143151122, time 0.5865357235306874
Epochs 99, rate 1846.5251171625484, time 0.5820143019664101
