Updated best error: 24572.328290791465. was found in iteration 0, time 5.039566148829181
Epochs 0, rate 24572.328290791465, time 5.050751905859215
Epochs 1, rate 24671.716175620437, time 5.0725610248046
Epochs 2, rate 24596.10641086352, time 5.007784797155182
Epochs 3, rate 24668.46749480451, time 5.007012160916929
Epochs 4, rate 24733.355099542932, time 5.022534760137205
Epochs 5, rate 24847.207564252076, time 5.0486581512814155
Epochs 6, rate 24865.66452900103, time 5.047163274837658
Epochs 7, rate 24838.941895597865, time 5.03360302944202
Epochs 8, rate 24831.29157289359, time 5.127096343945595
Epochs 9, rate 24844.76830077388, time 5.058716026338516
Epochs 10, rate 24868.815830411655, time 5.042116559547139
Epochs 11, rate 24854.24967887283, time 5.034257250459632
Epochs 12, rate 24891.023861036076, time 5.037039544826257
Epochs 13, rate 24925.546533454537, time 5.021093989853398
Epochs 14, rate 24905.070090203222, time 5.052392405210412
Epochs 15, rate 24896.737901653996, time 5.029709548762185
Epochs 16, rate 24914.61485934172, time 5.0593510783073725
Epochs 17, rate 24879.961547038132, time 5.02126743880217
Epochs 18, rate 24915.653372469158, time 5.0411893342097756
Epochs 19, rate 24883.16884262452, time 5.052054164305446
Epochs 20, rate 24866.891275134236, time 5.0689362199482275
Epochs 21, rate 24867.140365587577, time 5.062590337998699
Epochs 22, rate 24909.17955753046, time 5.079116838736809
Epochs 23, rate 24909.67055673017, time 5.058278848417103
Epochs 24, rate 24874.50993912922, time 5.036173536762362
Epochs 25, rate 24907.562206271876, time 5.032699920018786
Epochs 26, rate 24919.423151168292, time 5.051872676718631
Epochs 27, rate 24892.559741488523, time 5.068829862662824
Epochs 28, rate 24925.29999196888, time 5.080218749732012
Epochs 29, rate 24935.72121232161, time 5.162844760721782
Epochs 30, rate 24938.75154035762, time 5.065864844000316
Epochs 31, rate 24897.251100934853, time 5.071352756523993
Epochs 32, rate 24906.108357151556, time 5.082219750853255
Epochs 33, rate 24926.282334794738, time 5.06000931863673
Epochs 34, rate 24916.801839383756, time 5.078820646056556
Epochs 35, rate 24927.276887835054, time 5.069394112812006
Epochs 36, rate 24890.793629887572, time 5.126815919342334
Epochs 37, rate 24923.60213473956, time 5.104130280262325
Epochs 38, rate 24912.772508201782, time 5.040451944281813
Epochs 39, rate 24895.95432054358, time 5.063021950729308
Epochs 40, rate 24926.780253809236, time 5.056528899964178
Epochs 41, rate 24923.30038956331, time 5.052933776198188
Epochs 42, rate 24910.58767311918, time 5.06908988149371
Epochs 43, rate 24913.432899977353, time 5.057619989733212
Epochs 44, rate 24896.58301536472, time 5.0681586368591525
Epochs 45, rate 24914.87258476145, time 5.040497393463738
Epochs 46, rate 24902.66388670737, time 5.004632416530512
Epochs 47, rate 24928.17902903228, time 5.066397248810972
Epochs 48, rate 24906.118615797754, time 5.165617779712193
Epochs 49, rate 24894.68774416071, time 5.203925573383458
Epochs 50, rate 24881.953408338373, time 5.085326063926914
Epochs 51, rate 24918.70891238267, time 5.059644179200404
Epochs 52, rate 24969.555435161907, time 5.08228622416209
Epochs 53, rate 24938.838925130698, time 5.028605164334294
Epochs 54, rate 24946.035102902668, time 5.053630663795047
Epochs 55, rate 24924.162863027203, time 5.042963089377736
Epochs 56, rate 24911.146850845784, time 5.038298518324154
Epochs 57, rate 24899.234491488096, time 5.0364885893213795
Epochs 58, rate 24919.721042406483, time 5.077126968026278
Epochs 59, rate 24890.673049549598, time 5.407591437135125
Epochs 60, rate 24891.31902186972, time 5.095398161196499
Epochs 61, rate 24897.01740870401, time 5.082933024896192
Epochs 62, rate 24887.508731059414, time 5.095371571878786
Epochs 63, rate 24883.905622777263, time 5.053097331445315
Epochs 64, rate 24893.900549403104, time 5.130239140038611
Epochs 65, rate 24890.04160372817, time 5.075701656664023
Epochs 66, rate 24872.849311411992, time 5.092373780338676
Epochs 67, rate 24927.96272247613, time 5.073415284088696
Epochs 68, rate 24931.989954670145, time 5.058271737318137
Epochs 69, rate 24952.78460890156, time 6.11604229680961
Epochs 70, rate 24994.376718090472, time 7.165030341187958
Epochs 71, rate 24986.66555221054, time 6.247016971712583
Epochs 72, rate 24967.92461474687, time 5.852017124765553
Epochs 73, rate 24960.70825571156, time 5.347233365522698
Epochs 74, rate 24956.110013153313, time 5.519455190966255
Epochs 75, rate 24985.372471492094, time 5.3610693978116615
Epochs 76, rate 24977.732575572434, time 5.4387912246602355
Epochs 77, rate 24992.659918616493, time 5.504768918690388
Epochs 78, rate 24973.27006315553, time 6.142097668765928
Epochs 79, rate 24974.393600531945, time 5.85191262254375
Epochs 80, rate 24980.443943619972, time 5.537509341040277
Epochs 81, rate 24966.863517253834, time 5.481044750151341
Epochs 82, rate 24981.425472951018, time 5.333635091228643
Epochs 83, rate 24980.458033110976, time 5.4206702920928365
Epochs 84, rate 24962.242218993746, time 5.477934108566842
Epochs 85, rate 24967.565360932098, time 5.489404618681874
Epochs 86, rate 24965.13358723782, time 5.473856357682962
Epochs 87, rate 24977.219824465, time 5.3807801245420706
Epochs 88, rate 24970.37729723683, time 5.43471903896716
Epochs 89, rate 24966.397003295475, time 5.3871324992214795
Epochs 90, rate 24983.02957547171, time 5.408284305405687
Epochs 91, rate 24980.517053974436, time 5.964224684721557
Epochs 92, rate 24984.49296785832, time 5.735042346583214
Epochs 93, rate 24995.481498545592, time 5.732674041806604
Epochs 94, rate 24982.99211926618, time 5.580272701336071
Epochs 95, rate 24992.124115970535, time 5.719477389953681
Epochs 96, rate 24996.349905187435, time 5.558733494908665
Epochs 97, rate 24975.773248840087, time 5.653728796940413
Epochs 98, rate 24984.661422352245, time 5.513149193007848
Epochs 99, rate 24997.247780471123, time 5.460044441264472
