Updated best error: 2173.03364266409. was found in iteration 0, time 5.5692854366934625
Epochs 0, rate 2173.03364266409, time 5.5809024972550105
Updated best error: 1873.1947664090478. was found in iteration 1, time 5.571190592570929
Epochs 1, rate 1873.1947664090478, time 5.583209275602712
Epochs 2, rate 1883.4159217927397, time 5.59148690274742
Epochs 3, rate 1899.9326534337079, time 5.526612974790623
Epochs 4, rate 1880.6999734824153, time 5.611863908430678
Epochs 5, rate 1932.817499837645, time 5.576220303060836
Epochs 6, rate 1948.2571742069651, time 5.5589316781115485
Epochs 7, rate 1978.262593781369, time 5.560492100354168
Epochs 8, rate 1967.7895730115458, time 5.560938553622691
Epochs 9, rate 1982.0279591733931, time 5.597193095061812
Epochs 10, rate 1912.3287037956538, time 5.548132393800188
Epochs 11, rate 1906.7667133890463, time 5.566329384208075
Epochs 12, rate 1919.1617957119277, time 5.529943442044896
Epochs 13, rate 1885.8757982457691, time 5.572029392962577
Updated best error: 1863.6097794786485. was found in iteration 14, time 5.571978996900725
Epochs 14, rate 1863.6097794786485, time 5.583384579615085
Updated best error: 1857.738236084145. was found in iteration 15, time 5.544134101699456
Epochs 15, rate 1857.738236084145, time 5.555536283456604
Epochs 16, rate 1909.6640771230627, time 5.554328015161445
Epochs 17, rate 1939.3754666580269, time 5.599200898097479
Epochs 18, rate 1989.173783540352, time 5.565557984664338
Epochs 19, rate 1965.8327482950244, time 5.593597043771297
Epochs 20, rate 1987.5721705885264, time 5.559071735828184
Epochs 21, rate 1961.6117968956262, time 5.615186955401441
Epochs 22, rate 1983.833882993752, time 5.59028450884216
Updated best error: 1847.3080107724945. was found in iteration 23, time 5.602079656047863
Epochs 23, rate 1847.3080107724945, time 5.613196466336376
Epochs 24, rate 1922.7970611414698, time 5.557818636705633
Epochs 25, rate 1909.719253382935, time 5.575341000338085
Epochs 26, rate 1902.8002864549278, time 5.569313262720243
Updated best error: 1844.675157336218. was found in iteration 27, time 5.556408475065837
Epochs 27, rate 1844.675157336218, time 5.567977613027324
Epochs 28, rate 1922.1048380524871, time 5.584522973644198
Epochs 29, rate 1894.5388295607545, time 5.598037769814255
Updated best error: 1823.9726713796283. was found in iteration 30, time 5.582950802650885
