Updated best error: 23792.15775834499. was found in iteration 0, time 5.223932183624129
Epochs 0, rate 23792.15775834499, time 5.2351844139629975
Epochs 1, rate 24051.59143862422, time 5.279589201149065
Epochs 2, rate 24421.170669690135, time 5.220999319499242
Epochs 3, rate 24441.101040059595, time 5.200364150048699
Epochs 4, rate 24558.478775333882, time 5.253775915698498
Epochs 5, rate 24511.659936040018, time 5.270894183457131
Epochs 6, rate 24465.879050903503, time 5.219156926788855
Epochs 7, rate 24497.15889122182, time 5.243018988796393
Epochs 8, rate 24503.677739025257, time 5.221210488190991
Epochs 9, rate 24399.712574064535, time 5.241542663032305
Epochs 10, rate 24443.49323634712, time 5.232706350914668
Epochs 11, rate 24480.637835537673, time 5.2065254526241915
Epochs 12, rate 24478.26183904393, time 5.22698840983503
Epochs 13, rate 24367.250815231855, time 5.242246661728132
Epochs 14, rate 24504.21080749431, time 5.226316565662273
Epochs 15, rate 24542.76748224754, time 5.221077850743313
Epochs 16, rate 24497.736174156395, time 5.233507122378796
Epochs 17, rate 24386.34319295248, time 5.218854859718704
Epochs 18, rate 24160.83006538225, time 5.244397614253103
Epochs 19, rate 24378.286958079265, time 5.220889561256627
Epochs 20, rate 24463.947278591644, time 5.245320201924187
Epochs 21, rate 24372.53445413042, time 5.233282349843648
Epochs 22, rate 24427.119695441063, time 5.2336060593952425
Epochs 23, rate 24475.38708856024, time 5.248905741158524
Epochs 24, rate 24513.97374337474, time 5.232902369883959
Epochs 25, rate 24538.7938877108, time 5.231686990489834
Epochs 26, rate 24491.70740446477, time 5.197564541711472
Epochs 27, rate 24498.064409941653, time 5.213321188814007
Epochs 28, rate 24506.01583682181, time 5.214199873167672
Epochs 29, rate 24521.981470604973, time 5.251268480729777
Epochs 30, rate 24545.581944091344, time 5.2218928444053745
Epochs 31, rate 24582.964804988096, time 5.237020623113494
Epochs 32, rate 24615.10717184495, time 5.209082665271126
Epochs 33, rate 24562.558170356115, time 5.229261487736949
Epochs 34, rate 24598.489055228834, time 5.232306892721681
Epochs 35, rate 24609.421755824118, time 5.220121871854644
Epochs 36, rate 24588.556890964897, time 5.227129085906199
Epochs 37, rate 24596.95049930561, time 5.233048920330475
Epochs 38, rate 24533.306226364846, time 5.210255068901461
Epochs 39, rate 24521.272413234026, time 5.278999598376686
Epochs 40, rate 24451.06086287565, time 5.227744350471767
Epochs 41, rate 24422.079972329513, time 5.222654659417458
Epochs 42, rate 24471.41727114504, time 5.220515455672285
Epochs 43, rate 24387.611068698174, time 5.214760413204203
Epochs 44, rate 24542.67602314947, time 5.238469741190784
Epochs 45, rate 24469.294948633196, time 5.204500026433379
Epochs 46, rate 24497.270343163076, time 5.206398380410974
Epochs 47, rate 24483.20571802553, time 5.324136828654446
Epochs 48, rate 24556.264040744547, time 5.2459741137427045
Epochs 49, rate 24416.687448417204, time 5.224204569603899
Epochs 50, rate 24473.639644258234, time 5.232066042924998
Epochs 51, rate 24610.504124818224, time 5.211472921713721
Epochs 52, rate 24516.75176700776, time 5.19696844619466
Epochs 53, rate 24296.76537005377, time 5.225743658520514
Epochs 54, rate 24316.26218178483, time 5.213341285401839
Epochs 55, rate 24605.283985741167, time 5.228559962488362
Epochs 56, rate 24585.523919543226, time 5.2137577483808855
Epochs 57, rate 24486.017735353285, time 5.201296631421428
Epochs 58, rate 24419.24469207467, time 5.2165023230190855
Epochs 59, rate 24288.12271719437, time 5.217890532992897
Epochs 60, rate 24331.65581769852, time 5.220281716960017
Epochs 61, rate 24485.306969666453, time 5.214310868133907
Epochs 62, rate 24486.887646198575, time 5.234943254981772
Epochs 63, rate 24529.159784357493, time 5.289667481963988
Epochs 64, rate 24501.23698621592, time 5.209103071043501
Epochs 65, rate 24521.62544156945, time 5.199741156044183
Epochs 66, rate 24429.813148841207, time 5.221459067441174
Epochs 67, rate 24407.043045633505, time 5.225159620953491
Epochs 68, rate 24491.108596541555, time 5.2210184885479975
Epochs 69, rate 24496.292130547907, time 5.21788342189393
Epochs 70, rate 24556.868619163586, time 5.207046108669601
Epochs 71, rate 24447.477209228895, time 5.213388589661918
Epochs 72, rate 24381.22477472699, time 5.2255525864165975
Epochs 73, rate 24518.835234311024, time 5.209450896480121
Epochs 74, rate 24561.526857274715, time 5.254233190222294
Epochs 75, rate 24416.24838996957, time 5.217990088363877
Epochs 76, rate 24335.597159108496, time 5.2161953090835596
Epochs 77, rate 24371.25941517171, time 5.272898276365595
Epochs 78, rate 24345.90208531112, time 5.194840991214733
Epochs 79, rate 24509.641549817836, time 5.277838634356158
Epochs 80, rate 24566.199572643818, time 5.224664008361287
Epochs 81, rate 24618.034956094794, time 5.208668675710214
Epochs 82, rate 24492.458044046314, time 5.238417799264425
Epochs 83, rate 24443.17361118911, time 5.229316521450528
Epochs 84, rate 24475.839933550855, time 5.235072800642229
Epochs 85, rate 24507.221789834137, time 5.245208588603418
Epochs 86, rate 24460.309698759844, time 5.224409245536663
Epochs 87, rate 24569.797985478843, time 5.244023508683313
Epochs 88, rate 24702.654582176685, time 5.261973156535532
Epochs 89, rate 24698.255677021316, time 5.238150978504564
Epochs 90, rate 24692.469301567417, time 5.233412204688648
Epochs 91, rate 24672.234611153828, time 5.246448393067112
Epochs 92, rate 24668.94737080767, time 5.2208286531531485
Epochs 93, rate 24649.027730427802, time 5.214471022423822
Epochs 94, rate 24678.623104214774, time 5.230304345721379
Epochs 95, rate 24597.17477644762, time 5.225092838474666
Epochs 96, rate 24742.442724873537, time 5.210759647670784
Epochs 97, rate 24813.79201607958, time 5.231050392641919
Epochs 98, rate 24861.081569855833, time 5.230586934558232
Epochs 99, rate 24873.947839523255, time 5.213978810788831
