Updated best error: 5671.835030505476. was found in iteration 0, time 2.43561194553331
Epochs 0, rate 5671.835030505476, time 2.4450579569966067
Updated best error: 5003.742929252258. was found in iteration 1, time 2.4633993335955893
Epochs 1, rate 5003.742929252258, time 2.4727176544693066
Updated best error: 4940.407508101749. was found in iteration 2, time 2.473502657849167
Epochs 2, rate 4940.407508101749, time 2.482289501451305
Epochs 3, rate 4974.8656613482035, time 2.3473888821390574
Updated best error: 4928.66122623753. was found in iteration 4, time 2.395480000654061
Epochs 4, rate 4928.66122623753, time 2.405152948893374
Epochs 5, rate 4934.438556211856, time 2.3429184749693377
Updated best error: 4928.079953243864. was found in iteration 6, time 2.396477100250195
Epochs 6, rate 4928.079953243864, time 2.3965005977952387
Epochs 7, rate 4988.278475866858, time 2.405626300671429
Epochs 8, rate 4930.00545951083, time 2.394295539088489
Epochs 9, rate 4929.638885697434, time 2.3614459768286906
Epochs 10, rate 4965.254488392205, time 2.372573608365201
Epochs 11, rate 4929.705152982426, time 2.338172590061731
Epochs 12, rate 4965.9343741555995, time 2.496362364239758
Epochs 13, rate 4930.438355159411, time 2.372005648066988
Epochs 14, rate 4930.438622939255, time 2.409414969974023
Epochs 15, rate 4930.438128700662, time 2.402263678894087
Epochs 16, rate 4930.437619572633, time 2.38535008708277
Epochs 17, rate 4930.437094768158, time 2.376823571496061
Epochs 18, rate 4930.436553438151, time 2.3926754454660113
Epochs 19, rate 4930.435994665463, time 2.339566983609984
Epochs 20, rate 4930.4354174572045, time 2.3775594155449653
Epochs 21, rate 4930.43482073663, time 2.3550701046042377
Epochs 22, rate 4930.434203332916, time 2.390301884661312
Epochs 23, rate 4930.433563970868, time 2.4114382319239667
Epochs 24, rate 4930.432901257857, time 2.390226754359901
Epochs 25, rate 4930.432213669487, time 2.3989743323327275
Epochs 26, rate 4930.431499532257, time 2.3844729486081633
Epochs 27, rate 4930.430757004867, time 2.362266535696108
Epochs 28, rate 4930.429984054255, time 2.3874747594672954
Epochs 29, rate 4930.429178429817, time 2.3468209218408447
