Updated best error: 2984.5341808888006. was found in iteration 0, time 1.308195911366056
Epochs 0, rate 2984.5341808888006, time 1.3168201272515034
Updated best error: 2114.1984430524276. was found in iteration 1, time 1.300583017275585
Epochs 1, rate 2114.1984430524276, time 1.3084757176102357
Epochs 2, rate 2131.435922965855, time 1.3057258869625912
Epochs 3, rate 2116.6143259778623, time 1.3004744957379444
Epochs 4, rate 2120.623017351411, time 1.3074449175901464
Epochs 5, rate 2119.2782280045667, time 1.3022937000928323
Epochs 6, rate 2157.7684437962403, time 1.3018862032640754
Epochs 7, rate 2137.331343171661, time 1.286802637042456
Epochs 8, rate 2126.6941111988485, time 1.2887093388194444
Epochs 9, rate 2132.0908392234523, time 1.3131375060638675
Epochs 10, rate 2131.0531037273086, time 1.318968915536061
Updated best error: 2110.5345753813695. was found in iteration 11, time 1.3171327063814715
Epochs 11, rate 2110.5345753813695, time 1.3269426205506534
Epochs 12, rate 2120.622594352098, time 1.310201859335848
Updated best error: 2099.97563735335. was found in iteration 13, time 1.294542912538418
Epochs 13, rate 2099.97563735335, time 1.303421272880314
Updated best error: 2090.406391348833. was found in iteration 14, time 1.31356942796765
Epochs 14, rate 2090.406391348833, time 1.3235731968493383
Updated best error: 2081.2005846489674. was found in iteration 15, time 1.327874174378394
Epochs 15, rate 2081.2005846489674, time 1.3357557442986945
Epochs 16, rate 2084.263074917731, time 1.2997791540328762
Updated best error: 1911.7970475706086. was found in iteration 17, time 1.2945821781663653
Epochs 17, rate 1911.7970475706086, time 1.3029445201414092
Epochs 18, rate 2133.3590461438835, time 1.3101149802696455
Epochs 19, rate 2132.5911804557923, time 1.3085675435272606
Epochs 20, rate 2132.5910939461946, time 1.2962690542640303
Epochs 21, rate 2132.5910060583305, time 1.3045893480084487
Epochs 22, rate 2132.5909167541636, time 1.310932756530292
Epochs 23, rate 2132.5908259942735, time 1.283077040088756
Epochs 24, rate 2132.590733737681, time 1.2747035676998166
Epochs 25, rate 2132.59063994188, time 1.2775702676958645
Epochs 26, rate 2132.5905445625094, time 1.3037100452916093
Epochs 27, rate 2132.590447553554, time 1.2901337226503529
Epochs 28, rate 2132.59034886711, time 1.2681217828080662
Epochs 29, rate 2132.5902484531566, time 1.2803584364364724
Epochs 30, rate 2132.590146259778, time 1.282462084708186
Epochs 31, rate 2132.590042232745, time 1.2833481893444514
Epochs 32, rate 2132.589936315554, time 1.2864600676293776
Epochs 33, rate 2132.5898284492455, time 1.2772511958237374
