Updated best error: 2098.733205187845. was found in iteration 0, time 3.536050638431334
Epochs 0, rate 2098.733205187845, time 3.546059663349297
Updated best error: 2005.9208866955714. was found in iteration 1, time 3.548222364654066
Epochs 1, rate 2005.9208866955714, time 3.5579086075449595
Epochs 2, rate 2044.5242431338056, time 3.525640609441325
Epochs 3, rate 2099.6119717912297, time 3.530610339352279
Epochs 4, rate 2080.8628437423436, time 3.5233474349515745
Epochs 5, rate 2061.6901725931093, time 3.5231282276217826
Epochs 6, rate 2084.952848733059, time 3.532317621211405
Epochs 7, rate 2102.9297718627154, time 3.545699470778345
Epochs 8, rate 2118.812630877932, time 3.527768373605795
Epochs 9, rate 2120.0191573405477, time 3.5352891326037934
Epochs 10, rate 2119.254605978527, time 3.548161456550588
Epochs 11, rate 2118.428553896655, time 3.5539944119227584
Epochs 12, rate 2124.381133359636, time 3.5558034133864567
Epochs 13, rate 2118.302513514469, time 3.5233032224641647
Epochs 14, rate 2128.0402555438245, time 3.5667306974646635
Epochs 15, rate 2151.72468859844, time 3.552718742794241
Epochs 16, rate 2155.643827104427, time 3.5468734202877386
Epochs 17, rate 2152.6023507307855, time 3.534685307633481
Epochs 18, rate 2152.555936549818, time 3.551689797823201
Epochs 19, rate 2152.4126735881136, time 3.5406097797385883
Epochs 20, rate 2151.510996230801, time 3.520145894988673
Epochs 21, rate 2152.494985156797, time 3.542844210373005
Epochs 22, rate 2152.3072138112534, time 3.537058559275465
Epochs 23, rate 2148.9675503029716, time 3.5310651404433884
Epochs 24, rate 2155.1995402090865, time 3.539111193153076
Epochs 25, rate 2151.778874578683, time 3.5277145766158355
Epochs 26, rate 2151.730060247401, time 3.5343585063237697
Epochs 27, rate 2139.8749945344425, time 3.5392970092216274
Epochs 28, rate 2125.695538938366, time 3.5617581849510316
Epochs 29, rate 2145.7996674728533, time 3.542633660050342
Epochs 30, rate 2121.7713677955157, time 3.558205109424307
Epochs 31, rate 2152.1584487511645, time 3.54493425480905
Epochs 32, rate 2034.7072939983725, time 3.5665108717803378
Epochs 33, rate 2090.2617773185757, time 3.5605338394088903
Epochs 34, rate 2152.0764819911587, time 3.5223453885118943
Epochs 35, rate 2151.5619393368866, time 3.5264194292540196
Epochs 36, rate 2136.5602727590103, time 3.607128226387431
Epochs 37, rate 2120.039224286122, time 3.5990268307796214
Epochs 38, rate 2116.9201948170294, time 3.666170126525685
Epochs 39, rate 2120.025053451896, time 3.636512519704411
Epochs 40, rate 2152.7896633792016, time 3.56852393085137
Epochs 41, rate 2092.4091878131658, time 3.5767523986723972
Epochs 42, rate 2095.740911239369, time 3.5330723251245217
Epochs 43, rate 2120.1378428127196, time 3.5760060425673146
Epochs 44, rate 2120.194404757586, time 3.6029116544959834
Epochs 45, rate 2120.157590477495, time 3.550289529899601
Epochs 46, rate 2120.02765260399, time 3.5404604466748424
Epochs 47, rate 2119.898401911526, time 3.5298806788632646
Epochs 48, rate 2120.2233295079564, time 3.531212000074447
Epochs 49, rate 2120.2103709908693, time 3.552847360901069
Epochs 50, rate 2120.193110717332, time 3.554784671316156
Epochs 51, rate 2120.162636541687, time 3.5422023564897245
Epochs 52, rate 2120.0845068528106, time 3.5422051391069544
Epochs 53, rate 2119.137874176857, time 3.5285536861629225
Epochs 54, rate 2120.305932659888, time 3.5334331360500073
Epochs 55, rate 2120.17035015364, time 3.5520190725801513
Epochs 56, rate 2120.1203083979444, time 3.5374669836310204
Epochs 57, rate 2120.5416529955846, time 3.549321802231134
Epochs 58, rate 2117.719168087194, time 3.5375807611999335
Epochs 59, rate 2139.5385504965275, time 3.550493587492383
Epochs 60, rate 2151.9289787613598, time 3.5392234248283785
Epochs 61, rate 2152.6386631550117, time 3.5718061663064873
Epochs 62, rate 2152.279064041186, time 3.53753871297522
Epochs 63, rate 2152.2208601725397, time 3.530013625480933
Epochs 64, rate 2150.29084701106, time 3.5745068376272684
Epochs 65, rate 2159.6054911664287, time 3.5487652815209003
Epochs 66, rate 2152.6295527508005, time 3.541209894567146
Epochs 67, rate 2152.6162275564025, time 3.5629108011635253
Epochs 68, rate 2152.601506339275, time 3.5451664476131555
Epochs 69, rate 2152.577950126489, time 3.5565383298962843
Epochs 70, rate 2152.5330629828263, time 3.549412082255003
Epochs 71, rate 2152.4099605205433, time 3.581173028156627
Epochs 72, rate 2160.7132797035397, time 3.5527527523809113
Epochs 73, rate 2177.328691602339, time 3.570421048105345
Epochs 74, rate 2185.285940277089, time 3.548120645034942
Epochs 75, rate 2185.2699817996286, time 3.561751383036608
Epochs 76, rate 2185.2592195493767, time 3.5639106833696133
Epochs 77, rate 2185.249814393471, time 3.560014420072548
Epochs 78, rate 2185.2401952777486, time 3.5329211369971745
Epochs 79, rate 2185.22913568617, time 3.552356385975145
Epochs 80, rate 2185.2150169375645, time 3.5200583975820336
Epochs 81, rate 2185.194733259263, time 3.538511078324518
Epochs 82, rate 2185.159751084765, time 3.5319478441233514
Epochs 83, rate 2185.052578633431, time 3.5423306654265616
Epochs 84, rate 2185.0131382296663, time 3.561292562633753
Epochs 85, rate 2184.8805326907104, time 3.570468661549967
Epochs 86, rate 2185.51050231284, time 3.5543360537849367
Epochs 87, rate 2185.14449121987, time 3.548280490154866
Epochs 88, rate 2184.0536425222012, time 3.5510123884596396
Epochs 89, rate 2185.34893901654, time 3.54687805796857
Epochs 90, rate 2185.233912998673, time 3.537652490529581
Epochs 91, rate 2185.223538792751, time 3.5625533912098035
Epochs 92, rate 2185.207555456338, time 3.563128153429716
Epochs 93, rate 2185.1765372945442, time 3.540017703533522
Epochs 94, rate 2184.9797915631693, time 3.5493904397881124
Epochs 95, rate 2159.5204792591085, time 3.5491412421688437
Epochs 96, rate 2152.654680679803, time 3.5489727400708944
Epochs 97, rate 2152.3192124960615, time 3.563159998768242
Epochs 98, rate 2152.639527030833, time 3.5255082811781904
Epochs 99, rate 2152.643410103171, time 3.527979542297544
