Updated best error: 27752.13312478533. was found in iteration 0, time 3.60447114919225
Epochs 0, rate 27752.13312478533, time 3.614503362470714
Updated best error: 25309.447312863198. was found in iteration 1, time 3.556098060187651
Epochs 1, rate 25309.447312863198, time 3.5687771477751085
Updated best error: 25211.45077353272. was found in iteration 2, time 3.485409109198372
Epochs 2, rate 25211.45077353272, time 3.4950189850860625
Updated best error: 25081.58935497284. was found in iteration 3, time 3.4794382603649865
Epochs 3, rate 25081.58935497284, time 3.4891659331406117
Epochs 4, rate 25101.9754196944, time 3.4743606272750185
Epochs 5, rate 25121.09837595586, time 3.4781316734224674
Updated best error: 25078.11803318744. was found in iteration 6, time 3.5125549525546376
Epochs 6, rate 25078.11803318744, time 3.5267239697495825
Updated best error: 25073.422899084057. was found in iteration 7, time 3.493154949894233
Epochs 7, rate 25073.422899084057, time 3.503421829394938
Updated best error: 25069.351784912495. was found in iteration 8, time 3.481263957466581
Epochs 8, rate 25069.351784912495, time 3.493272437604901
Epochs 9, rate 25073.58790882653, time 3.4950474294819287
Epochs 10, rate 25083.469962012212, time 3.489819535796414
Epochs 11, rate 25087.83356709877, time 3.5010136406272068
Epochs 12, rate 25095.25278225038, time 3.507282537218998
Epochs 13, rate 25079.183447338863, time 3.5130607680403045
Epochs 14, rate 25074.525355924834, time 3.503664225085231
Epochs 15, rate 25103.595227710775, time 3.4831249008639134
Epochs 16, rate 25069.52534292887, time 3.479883786116261
Epochs 17, rate 25088.47745775522, time 3.5941526369351777
Updated best error: 25068.099310236485. was found in iteration 18, time 3.498577935009962
Epochs 18, rate 25068.099310236485, time 3.5085331629161374
Epochs 19, rate 25070.77257142855, time 3.49401755699364
Epochs 20, rate 25086.558054105953, time 3.509262514220609
Epochs 21, rate 25086.817910049034, time 3.5114409836023697
Epochs 22, rate 25072.84276336077, time 3.473985284974333
Epochs 23, rate 25089.75400478727, time 3.4797517670303932
Epochs 24, rate 25078.75473549047, time 3.519931634524255
Epochs 25, rate 25077.28229760592, time 3.494619526885799
Epochs 26, rate 25070.240503248875, time 3.4975446615644614
Epochs 27, rate 25069.359101011054, time 3.530031866990612
Epochs 28, rate 25094.44651510449, time 3.5111231484479504
Epochs 29, rate 25085.37577140609, time 3.502232420978544
Epochs 30, rate 25076.393049806484, time 3.499065508978674
Epochs 31, rate 25088.400091173768, time 3.503979586821515
Updated best error: 25067.979770477974. was found in iteration 32, time 3.500653448063531
Epochs 32, rate 25067.979770477974, time 3.500677254778566
Epochs 33, rate 25069.890246190225, time 3.5272205098881386
Epochs 34, rate 25076.695357004155, time 3.5000415844697272
Epochs 35, rate 25076.920675586127, time 3.5508438863544143
Epochs 36, rate 25077.20869139991, time 3.4850619021017337
Epochs 37, rate 25094.396942613857, time 3.4804823550512083
Epochs 38, rate 25080.306446816492, time 3.626137427840149
Epochs 39, rate 25077.86772528705, time 3.5293170470686164
Epochs 40, rate 25106.4085347503, time 4.005258193144982
Epochs 41, rate 25077.017580575826, time 3.989637584440061
Epochs 42, rate 25082.925146653313, time 3.5747541801683838
Epochs 43, rate 25071.665866893443, time 3.625318724050885
Epochs 44, rate 25071.754248155426, time 3.5462222910646233
Epochs 45, rate 25075.241579082318, time 3.556708068710577
Epochs 46, rate 25077.983975764622, time 3.55597531645617
Epochs 47, rate 25068.841026639046, time 3.6041734106111107
Epochs 48, rate 25086.253760125564, time 3.587905382824829
Epochs 49, rate 25103.01267102088, time 3.626040964249114
Epochs 50, rate 25093.052680644716, time 3.5736207329973695
Epochs 51, rate 25100.873949261222, time 3.6419030411125277
Epochs 52, rate 25091.845820614177, time 3.560424390321714
Epochs 53, rate 25076.645617529506, time 3.603594319902186
Epochs 54, rate 25071.536758703103, time 3.573800365506031
Epochs 55, rate 25085.186513174645, time 3.5561141374491854
Epochs 56, rate 25090.622007102087, time 3.598502155437018
Epochs 57, rate 25071.345146739895, time 3.6013561791260145
Epochs 58, rate 25082.235197347753, time 3.5743541036135866
Epochs 59, rate 25074.00958575572, time 3.605216577765532
Epochs 60, rate 25069.885184189243, time 3.5609580318414373
Epochs 61, rate 25074.1093765462, time 3.649813055417326
Epochs 62, rate 25088.20888168222, time 3.6204151582642226
Epochs 63, rate 25071.251308508112, time 3.6044074584933696
Epochs 64, rate 25077.5487752038, time 3.5685517568854266
Epochs 65, rate 25092.66915143379, time 3.6138142043273547
Epochs 66, rate 25071.277057329182, time 3.635374434859841
Epochs 67, rate 25079.321984412454, time 3.5758366129375645
Epochs 68, rate 25077.291547123932, time 3.650729768698511
Epochs 69, rate 25075.991206933464, time 3.5786921825201716
Epochs 70, rate 25070.865076064056, time 3.5847291954778484
Epochs 71, rate 25091.31246057362, time 3.6229587670677574
Epochs 72, rate 25073.668808417984, time 3.5841565975060803
Epochs 73, rate 25072.270016207305, time 3.5773305618567974
Epochs 74, rate 25076.355138754647, time 3.546261247509392
Epochs 75, rate 25073.54575731753, time 3.5801400638956693
Epochs 76, rate 25078.09351358536, time 3.614357430371456
Epochs 77, rate 25079.583441807794, time 3.6140513439822826
Epochs 78, rate 25080.46353263641, time 3.5769125529768644
Epochs 79, rate 25069.0627480358, time 3.5765291720381356
Epochs 80, rate 25082.33946934642, time 3.5578297671163455
Epochs 81, rate 25068.64437138304, time 3.6412379988614703
Epochs 82, rate 25078.71015141103, time 3.5979422337695723
Epochs 83, rate 25078.430933743173, time 3.627867588882509
Epochs 84, rate 25085.222796493003, time 3.6286417710216483
Epochs 85, rate 25071.680858030304, time 3.6676832444936736
Epochs 86, rate 25077.571603702723, time 3.6544058971412596
Epochs 87, rate 25082.56222904483, time 3.5695890496499487
Epochs 88, rate 25081.181393825056, time 3.5834575456683524
Epochs 89, rate 25068.936087084934, time 3.583105391728168
Epochs 90, rate 25069.69723323119, time 3.578425052583043
Epochs 91, rate 25084.60661978517, time 3.5784324728592765
Epochs 92, rate 25072.046003686264, time 3.5644103152953903
Epochs 93, rate 25076.048408321614, time 3.570801028079586
Epochs 94, rate 25070.875609003837, time 3.565744419101975
Epochs 95, rate 25080.830486953044, time 3.57836940051493
Epochs 96, rate 25075.203388767997, time 3.590713957324624
Epochs 97, rate 25082.331055240335, time 3.58145901797252
Epochs 98, rate 25069.062248807822, time 3.629376069176942
Updated best error: 25067.61803198304. was found in iteration 99, time 3.591982824531442
Epochs 99, rate 25067.61803198304, time 3.592006322076486
