Updated best error: 3335.597489145661. was found in iteration 0, time 0.8237375250464538
Epochs 0, rate 3335.597489145661, time 0.834050162913627
Updated best error: 3069.6946703176823. was found in iteration 1, time 0.814461561589269
Epochs 1, rate 3069.6946703176823, time 0.8226077880244702
Updated best error: 3069.6486900449695. was found in iteration 2, time 0.83136062201811
Epochs 2, rate 3069.6486900449695, time 0.8313853562722215
Updated best error: 3069.3348712220336. was found in iteration 3, time 0.8207335499464534
Epochs 3, rate 3069.3348712220336, time 0.8207604484487092
Epochs 4, rate 3142.3542481368745, time 0.8380351603555027
Epochs 5, rate 3069.7563923712996, time 0.8385595265426673
Epochs 6, rate 3069.7563916920535, time 0.8326579336135183
Epochs 7, rate 3069.756391009731, time 0.8172274694952648
Epochs 8, rate 3069.7563903243295, time 0.8420952880987898
Epochs 9, rate 3069.7563896357997, time 0.8836748051689938
Epochs 10, rate 3069.756388944186, time 0.9068894480878953
Epochs 11, rate 3069.75638824928, time 0.8930951548391022
Epochs 12, rate 3069.756387551242, time 1.1064769425720442
Epochs 13, rate 3069.7563868499883, time 1.0989373237243854
Epochs 14, rate 3069.756386145528, time 1.1100575349555584
Epochs 15, rate 3069.7563854377663, time 1.0020399575732881
Epochs 16, rate 3069.756384726741, time 0.878239762110752
Epochs 17, rate 3069.7563840124735, time 1.0157523186062463
Epochs 18, rate 3069.756383294821, time 0.9752456497808453
Epochs 19, rate 3069.7563825738393, time 1.0782032172428444
Epochs 20, rate 3069.756381849461, time 1.1149505886860425
Epochs 21, rate 3069.756381121707, time 1.0498218979046214
Epochs 22, rate 3069.756380390503, time 1.222713094088249
Epochs 23, rate 3069.756379655909, time 1.2460696498019388
Epochs 24, rate 3069.7563789178275, time 1.0694275040586945
Epochs 25, rate 3069.75637817622, time 1.1491079746047035
Epochs 26, rate 3069.756377431166, time 1.1715929570491426
Epochs 27, rate 3069.7563766825047, time 1.1366514952969737
Epochs 28, rate 3069.756375930311, time 1.1055725964251906
Epochs 29, rate 3069.7563751744738, time 0.9724166695377789
Epochs 30, rate 3069.7563744150752, time 0.9978496658150107
Epochs 31, rate 3069.756373652005, time 0.9597947798902169
Epochs 32, rate 3069.7563728852415, time 0.9094584095146274
Epochs 33, rate 3069.756372114846, time 0.907381350567448
Epochs 34, rate 3069.7563713406835, time 0.903908352178405
Epochs 35, rate 3069.7563705627776, time 0.8941918097989401
Epochs 36, rate 3069.756369781055, time 1.0102671886852477
Epochs 37, rate 3069.7563689955446, time 0.9209165525098797
Epochs 38, rate 3069.7563682062428, time 0.9852506553725107
Epochs 39, rate 3069.756367413079, time 0.9152771426743129
Epochs 40, rate 3069.7563666159504, time 0.9762755222764099
Epochs 41, rate 3069.7563658149193, time 0.87413573107915
Epochs 42, rate 3069.756365010001, time 0.8545486756192986
Epochs 43, rate 3069.7563642010773, time 0.830621067827451
Epochs 44, rate 3069.756363388122, time 0.853603208772256
Epochs 45, rate 3069.756362571142, time 0.8596102314477321
Epochs 46, rate 3069.7563617500873, time 0.8543248306377791
Epochs 47, rate 3069.756360924946, time 0.8579499446641421
Epochs 48, rate 3069.7563600956546, time 0.8525949787726859
Epochs 49, rate 3069.756359262239, time 0.9092602262971923
Epochs 50, rate 3069.756358424579, time 0.8516219950543018
Epochs 51, rate 3069.7563575827144, time 0.8528182053996716
Epochs 52, rate 3069.756356736622, time 0.8795080109557603
Epochs 53, rate 3069.7563558861975, time 0.8311986126500415
Epochs 54, rate 3069.7563550314926, time 0.8403369918378303
Epochs 55, rate 3069.7563541724307, time 0.8710133407294052
Epochs 56, rate 3069.7563533089697, time 0.851650439450168
Epochs 57, rate 3069.756352441072, time 0.8331288119807141
Epochs 58, rate 3069.756351568758, time 0.8270822144841077
Epochs 59, rate 3069.7563506918896, time 0.8381931504118256
Epochs 60, rate 3069.756349810571, time 0.8502158527408028
Epochs 61, rate 3069.7563489246418, time 0.8200811840069946
Epochs 62, rate 3069.756348034083, time 0.8330536816793028
Epochs 63, rate 3069.756347139004, time 0.8509748851502081
Epochs 64, rate 3069.7563462391718, time 0.8380753535311669
Epochs 65, rate 3069.7563453346847, time 0.8399712340615224
Epochs 66, rate 3069.7563444254133, time 0.8346478043240495
Epochs 67, rate 3069.7563435114184, time 0.8361080528266029
Epochs 68, rate 3069.7563425925473, time 0.8491677387501113
Epochs 69, rate 3069.756341668879, time 0.8449440557596972
Epochs 70, rate 3069.756340740271, time 0.8504842193797231
Epochs 71, rate 3069.756339806755, time 0.8579211911128368
Epochs 72, rate 3069.7563388682656, time 0.8627474623353919
Epochs 73, rate 3069.756337924772, time 0.8385029469354777
Epochs 74, rate 3069.756336976212, time 0.82846114912536
Epochs 75, rate 3069.756336022535, time 0.8521596559003228
Epochs 76, rate 3069.7563350637943, time 0.8439908594591543
Epochs 77, rate 3069.7563340998245, time 0.8642352276947349
Epochs 78, rate 3069.7563331306533, time 0.8597728591703344
Epochs 79, rate 3069.756332156236, time 0.9820497337786946
Epochs 80, rate 3069.756331176482, time 0.8501793697214453
Epochs 81, rate 3069.7563301914424, time 0.8404952910641441
Epochs 82, rate 3069.756329200911, time 0.8559303928632289
Epochs 83, rate 3069.7563282050296, time 0.8504829826706555
Epochs 84, rate 3069.756327203673, time 0.8648829559679143
Epochs 85, rate 3069.7563261967534, time 1.0480846257705707
Epochs 86, rate 3069.75632518427, time 0.8455181996105239
Epochs 87, rate 3069.7563241662046, time 0.8273972670576768
Epochs 88, rate 3069.7563231424165, time 0.8890634714916814
Epochs 89, rate 3069.7563221129913, time 0.8509903440572089
Epochs 90, rate 3069.756321077786, time 0.8397254374140175
Epochs 91, rate 3069.756320036751, time 0.9278922303783474
Epochs 92, rate 3069.7563189898533, time 0.9757400256785331
Epochs 93, rate 3069.7563179370677, time 0.9399204979272326
Epochs 94, rate 3069.7563168783076, time 0.8829970866063377
Epochs 95, rate 3069.7563158135576, time 0.8732035588909639
Epochs 96, rate 3069.7563147427218, time 0.9382119793444872
Epochs 97, rate 3069.75631366583, time 0.9653287599649047
Epochs 98, rate 3069.756312582777, time 0.8842130843695486
Epochs 99, rate 3069.7563114934715, time 0.9104224270413397
