Updated best error: 3220.251201898542. was found in iteration 0, time 2.0415121162286596
Epochs 0, rate 3220.251201898542, time 2.0501085060786863
Updated best error: 2332.522490077987. was found in iteration 1, time 2.036278966516875
Epochs 1, rate 2332.522490077987, time 2.045816185539479
Epochs 2, rate 2334.871419042585, time 2.03153679173829
Epochs 3, rate 2355.133257327923, time 2.0463226193824084
Epochs 4, rate 2363.051140291002, time 2.039560274439282
Updated best error: 2331.600508509872. was found in iteration 5, time 2.037223815004836
Epochs 5, rate 2331.600508509872, time 2.0372466941898892
Epochs 6, rate 2353.095023351255, time 2.0428721910002423
Epochs 7, rate 2342.967625937197, time 2.037273901869412
Epochs 8, rate 2349.723826829587, time 2.049879714232702
Epochs 9, rate 2345.615388060146, time 2.0319634576135286
Epochs 10, rate 2366.5676136611833, time 2.036616898257307
Epochs 11, rate 2361.878280525369, time 2.033017755175024
Epochs 12, rate 2345.894746513718, time 2.0340488643732897
Epochs 13, rate 2345.438285314184, time 2.030055209946113
Epochs 14, rate 2346.465820142349, time 2.039817819854761
Epochs 15, rate 2346.106112003021, time 2.040976310458973
Epochs 16, rate 2346.033357923548, time 2.0272571475034056
Epochs 17, rate 2345.9293343570644, time 2.0379927411149765
Epochs 18, rate 2345.7579961730407, time 2.05270436599767
Epochs 19, rate 2345.3473831699002, time 2.0383622090284916
Epochs 20, rate 2339.8573184549805, time 2.0425441529614545
Epochs 21, rate 2348.5205700549996, time 2.040165026939576
Epochs 22, rate 2344.980944152024, time 2.0417913041164866
Epochs 23, rate 2342.255252342413, time 2.0378069250346016
Epochs 24, rate 2338.4874077500135, time 2.0354945814979146
Epochs 25, rate 2339.2264993310946, time 2.047198521138853
Epochs 26, rate 2346.772875660171, time 2.035801595421617
Epochs 27, rate 2347.83328479845, time 2.0336722853617175
Epochs 28, rate 2344.069407844888, time 2.0365909272895806
Epochs 29, rate 2341.982350370921, time 2.0636845195413116
Epochs 30, rate 2346.3043942097206, time 2.1121976662607267
Epochs 31, rate 2346.2432813181085, time 2.066944494170457
Epochs 32, rate 2346.1435129658817, time 2.0460060209352378
Epochs 33, rate 2345.938395883515, time 2.0423802885316036
Epochs 34, rate 2345.0408513539855, time 2.034313520886826
Epochs 35, rate 2349.0743624112774, time 2.050233104881954
Epochs 36, rate 2345.784999410755, time 2.0406776443469425
Epochs 37, rate 2343.0694074878456, time 2.0484169923083755
Epochs 38, rate 2351.1341720105656, time 2.050964620432751
Epochs 39, rate 2346.451918695144, time 2.053422586887791
Epochs 40, rate 2346.4306487393615, time 2.038318305728353
Epochs 41, rate 2346.4018846261624, time 2.048639600590832
Epochs 42, rate 2346.3593952814563, time 2.041338667274431
Epochs 43, rate 2346.2892092242696, time 2.051957082359877
Epochs 44, rate 2346.1484538020804, time 2.0363067925518408
Epochs 45, rate 2345.7078448914135, time 2.0403663019287706
Epochs 46, rate 2345.358980509089, time 2.0517412759963918
Epochs 47, rate 2346.5021199843654, time 2.0381454751304773
Epochs 48, rate 2346.409066493878, time 2.0481297657879622
Epochs 49, rate 2346.37934993914, time 2.0357848997991823
Epochs 50, rate 2346.3370007068843, time 2.0431353016238063
Epochs 51, rate 2346.270647433374, time 2.040301683691723
Epochs 52, rate 2346.1490604491128, time 2.039219560095262
Epochs 53, rate 2345.8450995696776, time 2.0354469680596594
Epochs 54, rate 2343.33533930802, time 2.041141411602439
Epochs 55, rate 2345.3457770834175, time 2.035471393134685
Epochs 56, rate 2346.366534330593, time 2.034360825146905
Epochs 57, rate 2346.3271020106295, time 2.0329117070623397
Epochs 58, rate 2346.268810830083, time 2.037586790176647
Epochs 59, rate 2346.170712881704, time 2.0349915486149257
Epochs 60, rate 2345.956158282866, time 2.039222033520673
Epochs 61, rate 2344.7719886504774, time 2.049188082664841
Epochs 62, rate 2395.5738490720673, time 2.0369424628697743
Epochs 63, rate 2346.2644209847886, time 2.042224153555253
Epochs 64, rate 2345.8714079000833, time 2.042444906768651
Epochs 65, rate 2339.92679622585, time 2.0457911421071913
Epochs 66, rate 2347.8756796199555, time 2.048727098013842
Epochs 67, rate 2346.559533939762, time 2.0591312526257752
Epochs 68, rate 2346.5432146425837, time 2.069672682347118
Epochs 69, rate 2346.526491216996, time 2.047901901476507
Epochs 70, rate 2346.5085977481876, time 2.0507998284674613
Epochs 71, rate 2346.48860496027, time 2.0364947728794505
Epochs 72, rate 2346.465211337847, time 2.0392987097065998
Epochs 73, rate 2346.436362411556, time 2.044142913280666
Epochs 74, rate 2346.3984163568007, time 2.0366672942982404
Epochs 75, rate 2346.343995939258, time 2.039472158659919
Epochs 76, rate 2346.2551761214254, time 2.040700523531086
Epochs 77, rate 2346.0733665146486, time 2.037903697801994
Epochs 78, rate 2345.4205391536543, time 2.054968786917925
Epochs 79, rate 2356.825164135161, time 2.04312726299122
Epochs 80, rate 2346.4629320904155, time 2.0518201164295533
Epochs 81, rate 2346.431149032266, time 2.047744529787451
Epochs 82, rate 2346.384485121984, time 2.043945348429588
Epochs 83, rate 2346.306889458632, time 2.0569651503637942
Epochs 84, rate 2346.1460579030418, time 2.0620668993542495
Epochs 85, rate 2345.562207416197, time 2.040790494378598
Epochs 86, rate 2337.0153339493336, time 2.063082858821872
Epochs 87, rate 2344.965739300069, time 2.0422269361588405
Epochs 88, rate 2346.5647921153363, time 2.052819689455646
Epochs 89, rate 2346.560399501572, time 2.043617928747153
Epochs 90, rate 2346.555760920019, time 2.047958171902792
Epochs 91, rate 2346.550829485167, time 2.0372837955692376
Epochs 92, rate 2346.545549942534, time 2.050062129354046
Epochs 93, rate 2346.539856101514, time 2.041448116347965
Epochs 94, rate 2346.5336673790425, time 2.0548033765971923
Epochs 95, rate 2346.5268840422436, time 2.0441268360154936
Epochs 96, rate 2346.519380511564, time 2.0403094131452235
Epochs 97, rate 2346.5109957010563, time 2.045098892183887
Epochs 98, rate 2346.501518704091, time 2.042354317563877
Epochs 99, rate 2346.4906669204915, time 2.0520690048579127
