Updated best error: 2068.500673715061. was found in iteration 0, time 2.7692971236247104
Epochs 0, rate 2068.500673715061, time 2.781307149649365
Updated best error: 1986.6275186035577. was found in iteration 1, time 2.7998031153401826
Epochs 1, rate 1986.6275186035577, time 2.8088329729798716
Epochs 2, rate 2002.1881067553493, time 2.751609040511539
Epochs 3, rate 2035.7711198230995, time 2.7657950624998193
Epochs 4, rate 2096.873588630869, time 2.7748366688902024
Epochs 5, rate 2145.090344023671, time 2.8099033478065394
Epochs 6, rate 2169.8627672549806, time 2.7657802219328005
Epochs 7, rate 2164.5357076462165, time 2.7526311835099477
Epochs 8, rate 2195.8539343735124, time 2.795513268210925
Epochs 9, rate 2184.683672937845, time 2.7672859196318313
Epochs 10, rate 2202.142953720913, time 2.7523250971280504
Epochs 11, rate 2184.2636508501287, time 2.7515261807420757
Epochs 12, rate 2194.9724839209425, time 2.75958089044434
Epochs 13, rate 2186.960876054718, time 2.77718271285994
Epochs 14, rate 2184.47800020409, time 2.7490240018232726
Epochs 15, rate 2228.6552094211243, time 2.7885991167859174
Epochs 16, rate 2224.9868537487787, time 2.755497574340552
Epochs 17, rate 2224.582845705831, time 2.7484282154764514
Epochs 18, rate 2224.6661569174507, time 2.7737056951445993
Epochs 19, rate 2265.5821216485483, time 2.772364789416315
Epochs 20, rate 2264.4441177150193, time 2.7642102151876315
Epochs 21, rate 2252.782194636064, time 2.7485679640085436
Epochs 22, rate 2237.351725787721, time 2.7758615945349447
Epochs 23, rate 2264.377967785243, time 2.783878584508784
Epochs 24, rate 2264.309367262311, time 2.760417217388749
Epochs 25, rate 2263.3377775960635, time 2.763645037484821
Epochs 26, rate 2261.9288510618567, time 2.746119891264243
Epochs 27, rate 2264.966645382344, time 2.791155711078318
Epochs 28, rate 2264.3681399690045, time 2.766252336994512
Epochs 29, rate 2264.3068316819954, time 2.770487768750172
Epochs 30, rate 2263.5383673762312, time 2.7642392779525835
Epochs 31, rate 2257.8403742011014, time 2.8109369304438587
Epochs 32, rate 2272.0487287705496, time 2.7694099736690987
Epochs 33, rate 2304.677251982877, time 2.7663450904365163
Epochs 34, rate 2304.4967442724733, time 2.744371797889471
Epochs 35, rate 2274.3176117705207, time 2.803172848216491
Epochs 36, rate 2232.0577829282506, time 2.751293678767979
Epochs 37, rate 2247.213825135648, time 2.804478816804476
Epochs 38, rate 2304.296533828189, time 2.8394221336347982
Epochs 39, rate 2299.0669708897153, time 2.7558317959483247
Epochs 40, rate 2305.9542469787507, time 2.762977521837456
Epochs 41, rate 2304.669518621291, time 2.7621405765239615
Epochs 42, rate 2304.418373985012, time 2.8124135653779376
Epochs 43, rate 2270.931718761108, time 2.7676476580672897
Epochs 44, rate 2243.867240776141, time 2.7621427407721058
Epochs 45, rate 2174.1447695661877, time 2.7673650692449883
Epochs 46, rate 2104.853636792665, time 2.764460340316873
Epochs 47, rate 2230.8205496331493, time 2.7906449487491045
Epochs 48, rate 2302.774367380647, time 2.7536864086287096
Epochs 49, rate 2264.143095606177, time 2.758883075293852
Epochs 50, rate 2264.4667104795103, time 2.7626259862445295
Epochs 51, rate 2264.465021237577, time 2.7526089226885233
Epochs 52, rate 2264.4629558439447, time 2.7871756604872644
Epochs 53, rate 2264.4604352210486, time 2.76896166530787
Epochs 54, rate 2264.4572436173266, time 2.770276600087527
Epochs 55, rate 2264.4530078256876, time 2.767822652909672
Epochs 56, rate 2264.4470218256456, time 2.773701366648311
Epochs 57, rate 2264.4377722111994, time 2.7546454792900477
Epochs 58, rate 2264.421337185765, time 2.764759006415261
Epochs 59, rate 2264.383508134073, time 2.7888622274331283
Epochs 60, rate 2264.194232006793, time 2.75961613675463
Epochs 61, rate 2264.185791197767, time 2.7705390923365485
Epochs 62, rate 2264.47190341907, time 2.757714072649833
Epochs 63, rate 2264.471345442414, time 2.7613045587204397
Epochs 64, rate 2264.47082352147, time 2.7537686500290874
Epochs 65, rate 2264.470277192302, time 2.7703146289859433
Epochs 66, rate 2264.4697018837273, time 2.7671693594602402
