Updated best error: 5522.9057806609835. was found in iteration 0, time 5.597817944144481
Epochs 0, rate 5522.9057806609835, time 5.609123971478766
Updated best error: 3793.4676054859788. was found in iteration 1, time 5.5989560289890505
Epochs 1, rate 3793.4676054859788, time 5.609958443361393
Updated best error: 3784.443799255278. was found in iteration 2, time 5.581051830320575
Epochs 2, rate 3784.443799255278, time 5.59421941941946
Updated best error: 3744.0985706437527. was found in iteration 3, time 5.609441806640461
Epochs 3, rate 3744.0985706437527, time 5.620058985012292
Epochs 4, rate 3881.4634331531743, time 5.60978437605263
Epochs 5, rate 3766.8006009933065, time 5.611434459948214
Epochs 6, rate 3856.9173162704888, time 5.644795402891759
Epochs 7, rate 3761.4996687993353, time 5.703142888856746
Epochs 8, rate 3746.93465958604, time 5.612579965069017
Epochs 9, rate 3765.0756353707743, time 5.613061355479658
Epochs 10, rate 3866.912177842676, time 5.626044983569955
Epochs 11, rate 3762.1436216090347, time 5.610063563941367
Epochs 12, rate 3767.6989051546416, time 5.59699924034976
Epochs 13, rate 3822.325222905461, time 5.62142555252467
Epochs 14, rate 3873.114834625607, time 5.639139297443762
Epochs 15, rate 3776.8596935471573, time 5.60478001818592
Epochs 16, rate 3752.0614759093855, time 5.624432928587339
Epochs 17, rate 3749.9895821063687, time 5.606117522951536
Epochs 18, rate 3882.755570333748, time 5.603882473957128
Epochs 19, rate 3750.087431906981, time 5.6222451838548295
Epochs 20, rate 3752.2058505321875, time 5.592445045898785
Epochs 21, rate 3747.1455429385974, time 5.613286746367521
Epochs 22, rate 3833.640288338222, time 5.602994205073628
Updated best error: 3742.3344827925293. was found in iteration 23, time 5.591643037725589
Epochs 23, rate 3742.3344827925293, time 5.6028652777768
Epochs 24, rate 3754.082070812684, time 5.6005260357396764
Epochs 25, rate 3755.877789173248, time 5.596038314595717
Epochs 26, rate 3932.761986235774, time 5.608614136675897
Epochs 27, rate 3753.5822898823108, time 5.6131862634611025
Epochs 28, rate 3820.034681830568, time 5.616698836654905
Epochs 29, rate 3757.865114607547, time 5.608701634098907
Epochs 30, rate 3752.4774562411562, time 5.609829516064565
Epochs 31, rate 3751.412907730561, time 5.60541599768294
Epochs 32, rate 3758.5581549184576, time 5.598216783984753
Epochs 33, rate 3752.828201345885, time 5.599621689591004
Epochs 34, rate 3752.6334014926806, time 5.597295123858203
Epochs 35, rate 3752.277578533271, time 5.609543217078681
Epochs 36, rate 3751.3991732815603, time 5.630460047841552
Epochs 37, rate 3747.2230421834493, time 5.613046514927191
Epochs 38, rate 3744.1713430608047, time 5.61102541722903
Epochs 39, rate 3757.4531368306466, time 5.616759126398392
Epochs 40, rate 3791.3335149718278, time 5.613993527664206
Epochs 41, rate 3752.4067207502844, time 5.606610352955613
Epochs 42, rate 3751.645354918276, time 5.59769952890565
Epochs 43, rate 3755.9237548833858, time 5.604502685366242
Epochs 44, rate 3752.641870049181, time 5.6094093429310306
Epochs 45, rate 3755.1350534831317, time 5.601047619313249
Epochs 46, rate 3751.351289173935, time 5.619566773364568
Epochs 47, rate 3764.604362216014, time 5.609837245518065
Epochs 48, rate 3752.539585238185, time 5.648225116336107
Epochs 49, rate 3751.0038682027434, time 5.6294706776971
Epochs 50, rate 3756.551889217364, time 5.654959016887005
Epochs 51, rate 3748.4972805394327, time 5.60845243649419
Epochs 52, rate 3752.8823644540234, time 5.59812093875189
Epochs 53, rate 3786.2433643023833, time 5.6133383791220695
Epochs 54, rate 3752.2957227572783, time 5.604873389993372
Epochs 55, rate 3748.8172839767935, time 5.615125738124334
Epochs 56, rate 3748.167049442129, time 5.66501287263236
Epochs 57, rate 3792.52611289917, time 5.648426391324392
Epochs 58, rate 3752.902116538026, time 5.740898490314066
Epochs 59, rate 3753.2500564630946, time 5.605270993120939
Epochs 60, rate 3753.2034582378, time 5.616382238209553
Epochs 61, rate 3753.1358395724383, time 5.612338806096886
Epochs 62, rate 3753.0241642981964, time 5.607932089633323
Epochs 63, rate 3752.7900467610643, time 5.6087931508373
Epochs 64, rate 3751.8868023778246, time 5.608396166067905
Epochs 65, rate 3754.33752766599, time 5.624268754980221
Epochs 66, rate 3753.311582417679, time 5.632896990180598
Epochs 67, rate 3753.2845398512345, time 5.611480527493768
Epochs 68, rate 3753.249612760774, time 5.6089622712970595
Epochs 69, rate 3753.201542028274, time 5.639287084606622
Epochs 70, rate 3753.1288719269355, time 5.632752913154036
Epochs 71, rate 3753.001316306567, time 5.618773113001225
Epochs 72, rate 3752.707763893918, time 5.628314660518299
Epochs 73, rate 3751.370682724896, time 5.64901784916583
Epochs 74, rate 3760.903445928025, time 5.61861481377673
Epochs 75, rate 3753.2940828067126, time 5.649028361222008
Epochs 76, rate 3753.2718855465196, time 5.624483633808268
Epochs 77, rate 3753.24572087371, time 5.610091389975423
Epochs 78, rate 3753.214166152538, time 5.640802366820935
Epochs 79, rate 3753.174975449206, time 5.6384513760131085
Epochs 80, rate 3753.1243590127674, time 5.6444556160822685
Epochs 81, rate 3753.0553269988723, time 5.607808418364584
Epochs 82, rate 3752.953298095169, time 5.622655154107633
Epochs 83, rate 3752.7818466279055, time 5.619708376965718
Epochs 84, rate 3752.420911722232, time 5.634110823679293
Epochs 85, rate 3751.6736531067795, time 5.598775468937674
