Updated best error: 2214.428223097088. was found in iteration 0, time 6.475551272407756
Epochs 0, rate 2214.428223097088, time 6.489918781982851
Updated best error: 1865.2576123728206. was found in iteration 1, time 6.4417933446966344
Epochs 1, rate 1865.2576123728206, time 6.454278886754764
Updated best error: 1852.4393837259818. was found in iteration 2, time 6.436368813694571
Epochs 2, rate 1852.4393837259818, time 6.448954529478215
Epochs 3, rate 1853.659273464176, time 6.438036520732567
Epochs 4, rate 1902.1889372695896, time 6.498615345568396
Epochs 5, rate 1928.273930671369, time 6.4976000044553075
Epochs 6, rate 1931.343958607547, time 6.446091848789365
Epochs 7, rate 1915.587661402608, time 6.454453263242613
Epochs 8, rate 1889.3342961110156, time 6.473740415865905
Epochs 9, rate 1876.8514749427463, time 6.492939761898015
Epochs 10, rate 1913.3095039715474, time 6.448315767382155
Updated best error: 1824.5009853269073. was found in iteration 11, time 6.429237310017925
Epochs 11, rate 1824.5009853269073, time 6.442352957179537
Updated best error: 1803.0150983742456. was found in iteration 12, time 6.456849084890564
Epochs 12, rate 1803.0150983742456, time 6.4725596644420875
Updated best error: 1693.0524220062737. was found in iteration 13, time 6.473023431681213
Epochs 13, rate 1693.0524220062737, time 6.485662326114834
Epochs 14, rate 2015.4387028369172, time 6.456613181930152
Epochs 15, rate 1973.8425212443663, time 6.475940218544565
Epochs 16, rate 1885.2875549355153, time 6.467324968820321
Epochs 17, rate 1820.2886973843147, time 6.427625564203481
Epochs 18, rate 1869.211371529384, time 6.4424713724292815
Epochs 19, rate 1914.5745224855464, time 6.453569632023573
Epochs 20, rate 1716.7831292335418, time 6.466216255910695
Epochs 21, rate 1846.3443302372384, time 6.454736161264009
Epochs 22, rate 1942.0042304906017, time 6.450894931665971
Epochs 23, rate 1856.3876355456157, time 6.487447211693507
Epochs 24, rate 1811.5129594284058, time 6.475995252258144
Epochs 25, rate 1970.178168187027, time 6.464999948977493
Epochs 26, rate 1988.6114706108706, time 6.46470221040363
Epochs 27, rate 2044.0559870551215, time 6.465128876283416
Epochs 28, rate 1974.3748164898723, time 6.489292696191114
Epochs 29, rate 1938.2967828209553, time 6.492923684621928
Epochs 30, rate 1951.0432006700792, time 6.44149869789544
Epochs 31, rate 1997.7108236449847, time 6.452160707092844
Epochs 32, rate 1929.7456962836122, time 6.499458474441781
Epochs 33, rate 1922.611399288238, time 6.491360170621192
Epochs 34, rate 1992.9077872877617, time 6.477820021827938
Epochs 35, rate 2076.8310025332344, time 6.44371055852389
Epochs 36, rate 2115.043621952861, time 6.480103302616044
Epochs 37, rate 2126.678533278071, time 6.478205257822992
Epochs 38, rate 2094.2445634377336, time 6.467045162586146
Epochs 39, rate 2008.94892303875, time 6.4616738102340605
Epochs 40, rate 1914.575569528043, time 6.472946755486191
Epochs 41, rate 1826.277794518194, time 6.455650710282498
Epochs 42, rate 1864.0603030637665, time 6.471817636833293
Epochs 43, rate 1940.1701332681525, time 6.500769080696045
Epochs 44, rate 1977.0649138639246, time 6.4771126221749
Epochs 45, rate 2125.5917538091326, time 6.538171909865923
Epochs 46, rate 2131.8198664643905, time 6.545270949834958
Epochs 47, rate 2158.0804186512246, time 6.4649888185813325
Epochs 48, rate 2088.111221585374, time 6.480043631236185
Epochs 49, rate 2089.424411687213, time 6.47599308801
Epochs 50, rate 1993.569665654864, time 6.476642671346781
Epochs 51, rate 2040.7058887451103, time 6.502878603350837
Epochs 52, rate 1969.7503545417133, time 6.464066849279334
Epochs 53, rate 2134.3775435452644, time 6.493225133337546
Epochs 54, rate 2078.364326197206, time 6.512873406070867
Epochs 55, rate 1985.8699104763177, time 6.454069263942074
Epochs 56, rate 1964.103564747704, time 6.473468957425212
Epochs 57, rate 2145.5184732094963, time 6.47108210195438
Epochs 58, rate 2185.1614495947165, time 6.534385713996016
Epochs 59, rate 2130.4481880156213, time 6.515556145066512
Epochs 60, rate 2134.8652174794374, time 6.47237663094711
Epochs 61, rate 1986.6997336883762, time 6.470739223368582
Epochs 62, rate 2011.2495272657127, time 6.485782596413628
Epochs 63, rate 2161.2042808690558, time 6.479215342900716
Epochs 64, rate 2008.188309062617, time 6.49474227061728
Epochs 65, rate 2159.251314083, time 6.4562746318406425
Epochs 66, rate 2138.8400884705416, time 6.49360542249633
Epochs 67, rate 2034.5447211504143, time 6.487230168611859
Epochs 68, rate 2034.1310127333284, time 6.473641169664916
Epochs 69, rate 2168.27467161197, time 6.484647603356279
Epochs 70, rate 2157.011271648301, time 6.496230345146614
Epochs 71, rate 2151.533130691687, time 6.4872753086237935
Epochs 72, rate 2088.96310862763, time 6.458956134112668
Epochs 73, rate 2172.27948171449, time 6.51832854571694
Epochs 74, rate 2100.535459813015, time 6.496839116967749
Epochs 75, rate 1958.0896407375642, time 6.52694781475293
Epochs 76, rate 1984.0540424313876, time 6.483484784257598
Epochs 77, rate 2023.3192857444292, time 6.4825105638446985
Epochs 78, rate 2048.9584182595627, time 6.5074862856272375
Epochs 79, rate 1983.3105851075043, time 6.473635295289569
Epochs 80, rate 2123.9162768036144, time 6.49058011409943
Epochs 81, rate 2198.066050106474, time 6.476130363123957
Epochs 82, rate 2154.932535747375, time 6.577752899233019
Epochs 83, rate 2105.8529768054764, time 6.474662694352446
Epochs 84, rate 2069.2298210717886, time 6.538368547175196
Epochs 85, rate 2062.962337724039, time 6.472909344942309
Epochs 86, rate 2012.2673668693762, time 6.492030468885787
Epochs 87, rate 2098.837301373966, time 6.508564389907406
Epochs 88, rate 2132.1695711598063, time 6.4921921690693125
Epochs 89, rate 2175.467410899166, time 6.499460329505382
Epochs 90, rate 2148.4737412596073, time 6.479305313754594
Epochs 91, rate 2143.0653321444133, time 6.48510085856833
Epochs 92, rate 2096.7989055060707, time 6.4978897043911275
Epochs 93, rate 2092.943916510005, time 6.4931741189502645
Epochs 94, rate 2112.6979314221653, time 6.53054788535519
Epochs 95, rate 2068.9621435042864, time 6.458647265128093
Epochs 96, rate 2060.497742562034, time 6.510961757434416
Epochs 97, rate 2025.6095179852946, time 6.499285025478457
Epochs 98, rate 2050.640671813297, time 6.5639360359928105
Epochs 99, rate 2024.8956552784039, time 6.574725117417984
