Updated best error: 2127.1652609181097. was found in iteration 0, time 5.5145166880392935
Epochs 0, rate 2127.1652609181097, time 5.526048415442347
Updated best error: 1980.3714013074343. was found in iteration 1, time 5.54763183434261
Epochs 1, rate 1980.3714013074343, time 5.562429719939246
Epochs 2, rate 2003.5551384985085, time 5.554211454989854
Epochs 3, rate 2012.400819683054, time 5.519937818084145
Epochs 4, rate 2027.1723296328828, time 5.520403440401424
Epochs 5, rate 2022.4933273990168, time 5.517127697690739
Epochs 6, rate 2037.3815911829236, time 5.585576034500264
Epochs 7, rate 2020.415970672316, time 5.5987779423594475
Epochs 8, rate 2024.732059453116, time 5.512604730232852
Epochs 9, rate 1984.5842355637235, time 5.531792945854249
Epochs 10, rate 2034.7833989266562, time 5.5328098328609485
Epochs 11, rate 2127.1591811230437, time 5.5343622164509725
Epochs 12, rate 2085.834366616103, time 5.540060988481855
Epochs 13, rate 2089.344790078127, time 5.540448697909596
Epochs 14, rate 2124.6125312000077, time 5.540323171575437
Epochs 15, rate 2050.2869446852815, time 5.52075961366063
Updated best error: 1907.369391008211. was found in iteration 16, time 5.548295639877324
Epochs 16, rate 1907.369391008211, time 5.559745744249085
Epochs 17, rate 2102.7189943060316, time 5.641307254772983
Epochs 18, rate 1917.7837458277286, time 5.603340175439371
Epochs 19, rate 2161.6697274736116, time 5.554542584810406
Epochs 20, rate 2064.2507861858903, time 5.5639743740757694
Epochs 21, rate 2091.228183124482, time 5.568198675420717
Epochs 22, rate 2033.8178594643293, time 5.545000728117884
Epochs 23, rate 2130.3392058344366, time 5.567923197668279
Epochs 24, rate 2152.996827393786, time 5.550959828164196
Epochs 25, rate 2122.4700134767763, time 5.536332918098196
Epochs 26, rate 2150.158204190432, time 5.540922668049461
Epochs 27, rate 2085.3065889040613, time 5.547217535597156
Updated best error: 1899.2540845459446. was found in iteration 28, time 5.547542791027809
Epochs 28, rate 1899.2540845459446, time 5.558588490341208
Epochs 29, rate 2129.6584030600784, time 5.5601300527050626
Epochs 30, rate 2218.3560737503685, time 5.541242049104767
Epochs 31, rate 2240.8428558008545, time 5.58521862453199
Epochs 32, rate 2250.1042905698137, time 5.521945311949821
Epochs 33, rate 2247.284125172472, time 5.560724911512807
Epochs 34, rate 2253.666790819904, time 5.542177622235613
Epochs 35, rate 2280.514430196464, time 5.5286473671440035
Epochs 36, rate 2269.109944107974, time 5.5674585028900765
Epochs 37, rate 2235.0051142571256, time 5.558172645716695
Epochs 38, rate 2224.558700252125, time 5.586299511400284
Epochs 39, rate 2198.085232650982, time 5.670410195947625
Epochs 40, rate 2143.2898246063505, time 5.797141709641437
Epochs 41, rate 2164.005065452576, time 5.585171320257359
Epochs 42, rate 2004.078712615271, time 5.556234098577988
Epochs 43, rate 2124.3263365583944, time 5.560637414091616
Epochs 44, rate 2287.556404106855, time 5.558659292146331
Epochs 45, rate 2281.6445083418084, time 5.536775352069526
Epochs 46, rate 2282.9305958481345, time 5.613710011268267
Epochs 47, rate 2313.1644645051233, time 5.584177003256627
Epochs 48, rate 2318.0749333303283, time 5.567311643244466
Epochs 49, rate 2318.5119428085773, time 5.549511637611431
Epochs 50, rate 2294.931444718611, time 5.547223409972503
Epochs 51, rate 2295.0648214971256, time 5.530659498675959
Epochs 52, rate 2314.6275908059356, time 5.536045382410521
Epochs 53, rate 2341.2737003777293, time 5.576747142651584
Epochs 54, rate 2352.563055253254, time 5.560436139101512
Epochs 55, rate 2352.457403872185, time 5.533524652782944
Epochs 56, rate 2352.1476790296074, time 5.545428321522195
Epochs 57, rate 2352.0694932907422, time 5.540300601554918
Epochs 58, rate 2331.064817650877, time 5.540457354902173
Epochs 59, rate 2315.5911938479376, time 5.576072206706158
Epochs 60, rate 2393.4084582141163, time 5.560170245866175
Epochs 61, rate 2387.2080833776727, time 5.5467247055785265
Epochs 62, rate 2386.5458774718154, time 5.540370785005507
Epochs 63, rate 2385.0908293214984, time 5.556360861621215
Epochs 64, rate 2310.6390805776996, time 5.890083759455592
Epochs 65, rate 2360.4480432641517, time 5.58414206613088
Epochs 66, rate 2380.9019749388967, time 5.550046206670231
Epochs 67, rate 2359.0793140356504, time 5.568071912362939
Epochs 68, rate 2351.566552899324, time 5.525735217961483
Epochs 69, rate 2348.8496919522536, time 5.559516952387639
Epochs 70, rate 2350.58853421751, time 5.531387922441354
Epochs 71, rate 2307.838960731572, time 5.546739236975554
Epochs 72, rate 2288.830228386606, time 5.5501330857368885
Epochs 73, rate 2272.1775024945846, time 5.600458016546327
Epochs 74, rate 2270.325862212188, time 5.572151209140429
Epochs 75, rate 2268.5956280661894, time 5.543749174888944
Epochs 76, rate 2266.9747087252026, time 5.551452348998282
Epochs 77, rate 2265.447944050827, time 5.552130995085463
Epochs 78, rate 2263.9867309084602, time 5.539105318763177
Epochs 79, rate 2262.4564578069967, time 5.546998637451907
Epochs 80, rate 2264.9586430188265, time 5.568463950286969
Epochs 81, rate 2273.451484463461, time 5.548026964053861
Epochs 82, rate 2259.2462905182397, time 5.567766444335575
Epochs 83, rate 2258.1665731271387, time 6.282056752126664
Epochs 84, rate 2246.6274000371554, time 5.557062696083449
Epochs 85, rate 2290.053458439503, time 5.545538698119344
Epochs 86, rate 2289.3269986811774, time 5.560754592603189
Epochs 87, rate 2288.159911205752, time 5.563774026624742
Epochs 88, rate 2286.2075198822427, time 5.546429131252808
Epochs 89, rate 2283.659320350857, time 5.557239855173975
Epochs 90, rate 2292.604703259795, time 5.556501846876927
Epochs 91, rate 2310.070842459924, time 5.585653329020715
Epochs 92, rate 2319.787689067083, time 5.560501066502184
Epochs 93, rate 2296.9443216769555, time 5.565319299115799
Epochs 94, rate 2272.6986130518103, time 5.5344265255116625
Epochs 95, rate 2284.0582488994114, time 5.591690651170211
Epochs 96, rate 2283.5517773549764, time 5.570193492982071
Epochs 97, rate 2282.2996261152966, time 5.5827439624554245
Epochs 98, rate 2285.6588982209128, time 5.563053641482838
Epochs 99, rate 2289.4173629754227, time 5.564791222801432
