Updated best error: 10225.615225351095. was found in iteration 0, time 4.828750230728474
Epochs 0, rate 10225.615225351095, time 4.839448413775244
Updated best error: 8942.793008051862. was found in iteration 1, time 4.948573467379902
Epochs 1, rate 8942.793008051862, time 4.958885486899817
Epochs 2, rate 8964.994264349647, time 4.835516285806079
Epochs 3, rate 9067.397452335763, time 4.8202014543130645
Epochs 4, rate 9041.291437292142, time 4.819755310207256
Epochs 5, rate 9014.594656780117, time 4.859871177824971
Updated best error: 8895.114813130172. was found in iteration 6, time 4.845829232857795
Epochs 6, rate 8895.114813130172, time 4.856724671582924
Epochs 7, rate 8966.175310855207, time 4.808128355936788
Epochs 8, rate 8948.177713883882, time 4.8268778477213345
Epochs 9, rate 8937.589684332434, time 4.829128046447295
Epochs 10, rate 8907.101546831584, time 4.833124174299883
Epochs 11, rate 8914.278283561947, time 4.823076192937151
Epochs 12, rate 8973.666440644303, time 4.852250863455993
Epochs 13, rate 8924.076155044837, time 4.8364691729220795
Epochs 14, rate 9046.617490826493, time 4.8334698354956345
Epochs 15, rate 8946.433759947126, time 4.818385032565857
Epochs 16, rate 9085.653820078083, time 4.825055860761495
Epochs 17, rate 8937.289284628077, time 4.84393056971021
Epochs 18, rate 8897.248645193835, time 4.800938726759341
Epochs 19, rate 8905.397276575826, time 4.850167620948923
Epochs 20, rate 8947.752369338798, time 4.8310904002937605
Epochs 21, rate 8915.8070702584, time 4.871248006966198
Epochs 22, rate 8950.061908576668, time 4.876046761346515
Epochs 23, rate 8931.500189653707, time 4.815361888409825
Epochs 24, rate 8940.184301869534, time 4.845447088642686
Epochs 25, rate 8956.213197493964, time 4.878509674650559
Epochs 26, rate 8938.71447567488, time 4.869810019285069
Epochs 27, rate 8952.550236591567, time 4.835454759355343
Epochs 28, rate 9039.53641436383, time 4.795701248556725
Epochs 29, rate 8963.753858996102, time 4.81658190547023
Updated best error: 8884.510130797682. was found in iteration 30, time 4.8311868638847955
Epochs 30, rate 8884.510130797682, time 4.841736950598715
Epochs 31, rate 8937.984760434025, time 4.904514032205043
Epochs 32, rate 8918.722569683036, time 4.932058715407038
Epochs 33, rate 8941.81124053447, time 4.814046335297462
Epochs 34, rate 8939.12525522793, time 4.8474867370241554
Epochs 35, rate 8939.669282573084, time 4.785748184891418
Epochs 36, rate 8929.174032102459, time 4.870326965196
Epochs 37, rate 8942.09532825746, time 4.828566269716248
Epochs 38, rate 9006.648344875359, time 4.884099925147893
Epochs 39, rate 8968.636871523775, time 4.80583487226977
Epochs 40, rate 8938.919195314878, time 4.828629651237861
Epochs 41, rate 8912.204148407776, time 4.824776672881853
Epochs 42, rate 8940.371269928293, time 4.931915875095001
Epochs 43, rate 8992.119231036228, time 4.86749180136394
Epochs 44, rate 8923.169917527548, time 4.8706379984359955
Epochs 45, rate 8945.006507045104, time 4.8709072926139925
Epochs 46, rate 8911.85995370878, time 4.869279778722557
Epochs 47, rate 8947.584894064486, time 4.849982423220354
Epochs 48, rate 8930.483750639565, time 4.860980818273674
Epochs 49, rate 8921.799958919415, time 4.877605637673696
Epochs 50, rate 8930.622511874817, time 4.897903802921064
Epochs 51, rate 8930.06575309165, time 4.884830822338699
Epochs 52, rate 8942.422653239895, time 4.864553990395507
Epochs 53, rate 8933.688163905083, time 4.869199392407609
Epochs 54, rate 8908.037617760356, time 4.847188998450292
Epochs 55, rate 8941.9583146286, time 4.882303599981242
Epochs 56, rate 8944.945168849285, time 4.861852700712916
Epochs 57, rate 8901.632147895476, time 4.891069419463747
Epochs 58, rate 8926.378558795896, time 4.876973986669327
