Updated best error: 2179.8078243257187. was found in iteration 0, time 0.9932698095872183
Epochs 0, rate 2179.8078243257187, time 1.0013112246197124
Updated best error: 1859.6954228579182. was found in iteration 1, time 1.011327360629366
Epochs 1, rate 1859.6954228579182, time 1.019655383828649
Updated best error: 1856.134199119393. was found in iteration 2, time 1.0357864456927928
Epochs 2, rate 1856.134199119393, time 1.0441085945058148
Updated best error: 1854.322324298941. was found in iteration 3, time 0.9942022909490333
Epochs 3, rate 1854.322324298941, time 1.0022446335169661
Updated best error: 1852.866932648455. was found in iteration 4, time 0.9953159507203964
Epochs 4, rate 1852.866932648455, time 1.0028651541069848
Updated best error: 1847.068588854213. was found in iteration 5, time 0.9973234445787966
Epochs 5, rate 1847.068588854213, time 1.014876107670716
Epochs 6, rate 1866.6578055176233, time 0.995425090612116
Epochs 7, rate 1848.9658577805828, time 0.9978308059544361
Epochs 8, rate 1875.5736653704807, time 1.0020835516916122
Updated best error: 1787.6597733983954. was found in iteration 9, time 1.0038925531662244
Epochs 9, rate 1787.6597733983954, time 1.0157291302421072
Epochs 10, rate 1807.1607393123932, time 1.0038811135746073
Updated best error: 1768.7772318288662. was found in iteration 11, time 1.0009327905427199
Epochs 11, rate 1768.7772318288662, time 1.0084399456973188
Updated best error: 1757.0534670988702. was found in iteration 12, time 0.992487279636407
Epochs 12, rate 1757.0534670988702, time 1.0003775065488298
Epochs 13, rate 1806.929174169528, time 0.9958984423901711
Updated best error: 1724.7616526051643. was found in iteration 14, time 0.9947776715234795
Epochs 14, rate 1724.7616526051643, time 1.0092271133180475
Epochs 15, rate 1773.1940647253948, time 0.994367082912504
Epochs 16, rate 1764.4130182654633, time 1.0010849062018679
Epochs 17, rate 1754.0499132659154, time 0.99650103064414
Epochs 18, rate 1761.3841557926228, time 1.0038279349246295
Epochs 19, rate 1764.8594153955573, time 0.996463001731172
Epochs 20, rate 1848.789712022316, time 1.0056483759944967
Epochs 21, rate 1848.2261106337016, time 0.999953314098093
Epochs 22, rate 1845.9474278744963, time 0.9997239038930275
Epochs 23, rate 1841.6295317888773, time 1.0241755686765828
Epochs 24, rate 1845.726901317288, time 1.003542872655089
Epochs 25, rate 1844.9730066318193, time 1.003280071210611
Epochs 26, rate 1842.8710457359393, time 0.9992446777287114
Epochs 27, rate 1858.8197304744108, time 1.0002321928077436
Epochs 28, rate 1869.4123273825674, time 0.9979461294133216
Epochs 29, rate 1820.6123735455556, time 1.0047202231289702
Epochs 30, rate 1772.4111604507582, time 1.0063604133210902
Epochs 31, rate 1786.7303737576879, time 1.002531550861022
Updated best error: 1684.4442881655007. was found in iteration 32, time 0.9987812196523009
Epochs 32, rate 1684.4442881655007, time 1.0061554281965073
Epochs 33, rate 1869.1299947094806, time 1.000941447528021
Epochs 34, rate 1791.8220136757373, time 1.0024721886511543
Epochs 35, rate 1858.594111168371, time 1.0045965518584126
Epochs 36, rate 1861.1699871680455, time 1.0079857629607432
Epochs 37, rate 1860.1697050679113, time 1.002747975577222
Epochs 38, rate 1860.2515901870738, time 1.0011850799273816
Epochs 39, rate 1860.2623653883165, time 1.0043489001436683
Epochs 40, rate 1860.2633778283284, time 0.9982803510174563
Epochs 41, rate 1860.2631433338431, time 1.007895792114141
Epochs 42, rate 1860.2627489775964, time 0.9991244074190035
Epochs 43, rate 1860.2623310228998, time 1.0004226465571264
Epochs 44, rate 1860.2619050375938, time 0.999494493687962
Epochs 45, rate 1860.2614711644908, time 1.0019710108390427
Epochs 46, rate 1860.2610274472177, time 0.9993872088634816
Epochs 47, rate 1860.2605714789563, time 0.9989308618896757
Epochs 48, rate 1860.2601005560684, time 0.9978008156758733
Epochs 49, rate 1860.2596116282828, time 1.0003994581966253
Epochs 50, rate 1860.2591012044568, time 1.002692014331842
Epochs 51, rate 1860.2585652279556, time 1.0047863872568996
Epochs 52, rate 1860.2579989132942, time 1.004572126781568
Epochs 53, rate 1860.257396528876, time 1.0048432760413561
Epochs 54, rate 1860.2567511031937, time 1.0102668795043428
Epochs 55, rate 1860.2560540186744, time 1.0201021462817152
Epochs 56, rate 1860.2552944405888, time 1.005738346844737
Epochs 57, rate 1860.2544584941545, time 0.9991871705897211
Epochs 58, rate 1860.2535280500135, time 0.9974001207629044
Epochs 59, rate 1860.2524788816002, time 1.0050680485692283
Epochs 60, rate 1860.2512777787276, time 0.9970461117591185
Epochs 61, rate 1860.24987785888, time 1.0001177968806587
Epochs 62, rate 1860.2482106163325, time 1.0004841730151384
Epochs 63, rate 1860.2461717353856, time 0.9982271723711165
Epochs 64, rate 1860.2435941629321, time 1.0028775212304026
Epochs 65, rate 1860.240192928898, time 1.0149951412640803
Epochs 66, rate 1860.2354404571677, time 1.011093312754383
Epochs 67, rate 1860.2282457794486, time 1.0153071020358766
Epochs 68, rate 1860.2159644299159, time 1.0316821054802858
Epochs 69, rate 1860.190352780894, time 1.004700435725681
Epochs 70, rate 1860.109446116227, time 1.0052974587706558
Epochs 71, rate 1855.806361575957, time 1.0022746238028049
Epochs 72, rate 1859.3795369453298, time 1.0039395482453983
Epochs 73, rate 1837.6915128092808, time 1.0011204616894247
Epochs 74, rate 1822.533049613247, time 1.0344640906550921
Epochs 75, rate 1813.5656201540412, time 1.0008925973779697
Epochs 76, rate 1843.4839823478874, time 1.00464478365393
Epochs 77, rate 1844.1398413292316, time 1.0105856421978388
Epochs 78, rate 1843.4638118670223, time 1.0151370540479547
Epochs 79, rate 1842.4428275830462, time 1.0094382820097962
Epochs 80, rate 1841.4023762891968, time 1.0017317069323326
Epochs 81, rate 1840.3854943711494, time 1.0086504960308957
Epochs 82, rate 1839.396932179956, time 0.9993204263810185
Epochs 83, rate 1838.4365567660006, time 0.998564794932463
Epochs 84, rate 1837.5034995936269, time 1.0069654750041082
Epochs 85, rate 1836.5964940131273, time 1.000336385848641
Epochs 86, rate 1835.713423642742, time 1.0033014045038726
Epochs 87, rate 1834.8495199764832, time 1.0125792230428488
Epochs 88, rate 1833.9879770183911, time 1.0040557992397225
Epochs 89, rate 1832.9086258935183, time 1.0052717969847436
Epochs 90, rate 1730.0020082719855, time 1.0023976767115528
Epochs 91, rate 1690.4724442967056, time 1.0092555577102758
Epochs 92, rate 1860.3220747304783, time 1.0223424513060309
Epochs 93, rate 1859.4967280750047, time 1.0084377814491745
Epochs 94, rate 1860.1062045199253, time 1.0153219425919815
Epochs 95, rate 1860.1749497722167, time 1.0070786342112115
Epochs 96, rate 1860.1442143099778, time 1.0120004415075528
Epochs 97, rate 1859.9844055342035, time 1.0048540972748015
Epochs 98, rate 1856.5401909303855, time 1.00590468469818
Epochs 99, rate 1866.328084365171, time 1.0038124760176288
