Updated best error: 23750.138830146727. was found in iteration 0, time 1.2981364904262591
Epochs 0, rate 23750.138830146727, time 1.3141667601885274
Epochs 1, rate 24027.560787195387, time 1.347094853699673
Epochs 2, rate 24126.037541788148, time 1.3316263606538996
Epochs 3, rate 24193.795289312584, time 1.2736242267128546
Epochs 4, rate 24232.715797240293, time 1.2742960708565079
Epochs 5, rate 24293.22154123521, time 1.33080703849555
Epochs 6, rate 24263.98340251488, time 1.268548757856479
Epochs 7, rate 24335.133477420233, time 1.244186445575906
Epochs 8, rate 24339.137022713552, time 1.2621215620602015
Epochs 9, rate 24365.042810998646, time 1.2669663839624263
Epochs 10, rate 24397.623048088804, time 1.2716912447940558
Epochs 11, rate 24375.18645709913, time 1.2833995129331015
Epochs 12, rate 24410.72838503054, time 1.2753386196563952
Epochs 13, rate 24464.877384230564, time 1.2714677089534234
Epochs 14, rate 24412.839096455147, time 1.2732337346824352
Epochs 15, rate 24390.63906817441, time 1.2546190445427783
Epochs 16, rate 24375.80705378194, time 1.2520250397210475
Epochs 17, rate 24409.800690198837, time 1.26480337351677
Epochs 18, rate 24430.75396663566, time 1.2188579514913727
Epochs 19, rate 24417.91463428563, time 1.2229159149865154
Epochs 20, rate 24458.60887998782, time 1.2413815812033135
Epochs 21, rate 24425.115407551595, time 1.2774079491500743
Epochs 22, rate 24413.58590521282, time 1.248560079955496
Epochs 23, rate 24438.76510075325, time 1.2307084415806457
Epochs 24, rate 24410.425619038797, time 1.249126494367374
Epochs 25, rate 24429.304254228126, time 1.2214287679526024
Epochs 26, rate 24444.248659365392, time 1.2606712072447408
Epochs 27, rate 24440.962257306666, time 1.2695928525354248
Epochs 28, rate 24486.256520628493, time 1.275590290693799
Epochs 29, rate 24563.211801780202, time 1.2126202819054015
Epochs 30, rate 24512.092327903476, time 1.2562787129718345
Epochs 31, rate 24457.573364995897, time 1.2584754239069298
Epochs 32, rate 24468.10872731078, time 1.2639194331131876
Epochs 33, rate 24434.468309085503, time 1.2743152399198152
Epochs 34, rate 24430.7702720405, time 1.2672774172096979
Epochs 35, rate 24458.307184344107, time 1.248886881279759
Epochs 36, rate 24369.35813013649, time 1.272372055100277
Epochs 37, rate 24461.10658902276, time 1.255420434375992
Epochs 38, rate 24474.317371777954, time 1.2960807647614274
Epochs 39, rate 24512.5117344995, time 1.2816409074875992
Epochs 40, rate 24430.48756292653, time 1.2342949083540589
Epochs 41, rate 24523.972766648338, time 1.2979237758554518
Epochs 42, rate 24412.755115779004, time 1.2859477594029158
Epochs 43, rate 24425.910219844383, time 1.2445234497718047
Epochs 44, rate 24484.31691982999, time 1.2162191157985944
Epochs 45, rate 24449.15194595962, time 1.2602281549479812
Epochs 46, rate 24414.60651640307, time 1.2412239003460854
Epochs 47, rate 24443.972928132585, time 1.2639494234172162
Epochs 48, rate 24417.910637480363, time 1.2716974283684976
Epochs 49, rate 24420.620731991883, time 1.2379719643504359
Epochs 50, rate 24472.142320813644, time 1.277817919413792
Epochs 51, rate 24513.698713744805, time 1.2718294474470895
Epochs 52, rate 24440.681551451744, time 1.2369015894946642
Epochs 53, rate 24446.180891650558, time 1.3661457941925619
Epochs 54, rate 24500.256954696833, time 1.2926142590877134
Epochs 55, rate 24491.98354253603, time 1.2859595081827138
Epochs 56, rate 24491.580721310973, time 1.2867905790917575
Epochs 57, rate 24393.52293682046, time 1.2957743691804353
Epochs 58, rate 24395.669471967514, time 1.2221374043438118
Epochs 59, rate 24415.498303966833, time 1.307935583346989
Epochs 60, rate 24474.289575369196, time 1.2595473445835523
Epochs 61, rate 24424.187540999355, time 1.2696896253037266
Epochs 62, rate 24502.245494765717, time 1.2705911888624541
Epochs 63, rate 24487.248299590752, time 1.2777455717150588
Epochs 64, rate 24506.293891349418, time 1.2845147185726091
Epochs 65, rate 24463.61107817276, time 1.2508214091067202
Epochs 66, rate 24497.88540724464, time 1.2498880001949146
Epochs 67, rate 24467.787506815243, time 1.238634842360625
Epochs 68, rate 24430.771944940334, time 1.240789505012799
Epochs 69, rate 24442.616819436957, time 1.2622699675848708
Epochs 70, rate 24514.635734618798, time 1.2294834776839707
Epochs 71, rate 24491.938336695737, time 1.2354561815736815
Epochs 72, rate 24440.972753304708, time 1.272982682014117
Epochs 73, rate 24448.004457868785, time 1.3164200507162604
Epochs 74, rate 24406.71177806802, time 1.3094422085559927
Epochs 75, rate 24424.011664444937, time 1.2734411932178773
Epochs 76, rate 24479.909534098082, time 1.3120507448038552
Epochs 77, rate 24515.093379516376, time 1.2762145214364864
Epochs 78, rate 24483.79915073634, time 1.2580935888690874
Epochs 79, rate 24508.99230908921, time 1.2651654211513232
Epochs 80, rate 24439.567225755996, time 1.2432026406459045
Epochs 81, rate 24419.18753957385, time 1.2542953350348398
Epochs 82, rate 24435.213956750555, time 1.2698392675374635
Epochs 83, rate 24464.695450249157, time 1.2624143537832424
Epochs 84, rate 24407.724124219058, time 1.25293866120046
Epochs 85, rate 24439.881190749147, time 1.2602819519524928
Epochs 86, rate 24425.647824370873, time 1.2986732237040997
Epochs 87, rate 24436.033665732473, time 1.2693315969663672
Epochs 88, rate 24456.856872482007, time 1.3053523997077718
Epochs 89, rate 24456.470906826562, time 1.2914421646855772
Epochs 90, rate 24445.929934442513, time 1.2587125635473058
Epochs 91, rate 24467.556860114153, time 1.220990971691208
Epochs 92, rate 24465.88798874458, time 1.2098488087940495
Epochs 93, rate 24432.459978887462, time 1.2962740010989364
Epochs 94, rate 24462.723678968938, time 1.2273819936381187
Epochs 95, rate 24432.621129842915, time 1.2094515148492064
Epochs 96, rate 24406.676626089382, time 1.25880809960654
Epochs 97, rate 24440.736734966024, time 1.2391499331861269
Epochs 98, rate 24396.674184067622, time 1.2409660457342397
Epochs 99, rate 24433.009007406952, time 1.263187299191486
