Updated best error: 6826.851037126887. was found in iteration 0, time 1.709760847617872
Epochs 0, rate 6826.851037126887, time 1.7186466282291804
Updated best error: 6251.207688671026. was found in iteration 1, time 1.6994553208060097
Epochs 1, rate 6251.207688671026, time 1.7081735268584453
Epochs 2, rate 6326.09118303633, time 1.688030569057446
Updated best error: 6250.583191348668. was found in iteration 3, time 1.7019064853375312
Epochs 3, rate 6250.583191348668, time 1.7019284369889647
Epochs 4, rate 6251.305082583792, time 1.6904718398873229
Epochs 5, rate 6251.252028227213, time 1.6777432837989181
Epochs 6, rate 6251.202890912432, time 1.692207256972324
Epochs 7, rate 6251.12741115679, time 1.6957513663510326
Epochs 8, rate 6250.967973478503, time 1.7106250005890615
Updated best error: 6250.135316718844. was found in iteration 9, time 1.6932556801475585
Epochs 9, rate 6250.135316718844, time 1.693277322629001
Epochs 10, rate 6314.6957371185945, time 1.7224158192693722
Epochs 11, rate 6251.330447655229, time 1.6887979492894374
Epochs 12, rate 6251.280240861028, time 1.6997737743367907
Epochs 13, rate 6251.273020351506, time 1.6819610923994333
Epochs 14, rate 6251.263536050023, time 1.680941422790056
Epochs 15, rate 6251.253138897648, time 1.6971401946793776
Epochs 16, rate 6251.2393560082, time 1.6968062822706997
Epochs 17, rate 6251.220325870118, time 1.778889685519971
Epochs 18, rate 6251.189848585874, time 1.6975480006658472
Epochs 19, rate 6251.127134257827, time 1.689366218750365
Epochs 20, rate 6250.8971313295515, time 1.6827720667351969
Epochs 21, rate 6257.381983602276, time 1.7028896719275508
Epochs 22, rate 6251.667522242546, time 1.7003318409260828
Epochs 23, rate 6251.253674618284, time 1.6960741483489983
Epochs 24, rate 6251.228695618444, time 1.6956153279461432
Epochs 25, rate 6251.2018058230215, time 1.721702545240987
Epochs 26, rate 6251.166592440056, time 1.6841973781120032
Epochs 27, rate 6251.10786110033, time 1.713512106332928
Epochs 28, rate 6250.991401558861, time 1.7084258162649348
Epochs 29, rate 6250.574581657783, time 1.729551651456859
Epochs 30, rate 6271.798388209171, time 1.7063697814301122
Updated best error: 6249.730610595673. was found in iteration 31, time 1.696171539457282
Epochs 31, rate 6249.730610595673, time 1.6961947278177831
Epochs 32, rate 6310.2811922182555, time 1.690658274339512
Epochs 33, rate 6252.097100236148, time 1.7899539355421439
Epochs 34, rate 6250.683164318175, time 1.7218509507656563
Epochs 35, rate 6250.557870581107, time 1.702997265936574
Epochs 36, rate 6250.406373134321, time 1.9377952071954496
Epochs 37, rate 6264.550404414049, time 1.7867928979394492
Epochs 38, rate 6250.187895796907, time 1.7121702730946708
Epochs 39, rate 6251.36130382175, time 1.721012768743094
Epochs 40, rate 6251.338818248771, time 1.716347579320427
Epochs 41, rate 6251.34026855749, time 1.7151034463895485
Epochs 42, rate 6251.338839827181, time 1.7036994095542468
Epochs 43, rate 6251.338531428564, time 1.7129426001338288
Epochs 44, rate 6251.3377783445, time 1.7185999422799796
Epochs 45, rate 6251.337155270408, time 1.6959078104700893
Epochs 46, rate 6251.336446228598, time 1.7292832848324906
Epochs 47, rate 6251.335728903693, time 1.706967113626888
Epochs 48, rate 6251.334971779127, time 1.6970607358962297
Epochs 49, rate 6251.334183637977, time 1.7106661212746985
Epochs 50, rate 6251.3333580346925, time 1.7068542636116035
Epochs 51, rate 6251.332493876516, time 1.7037235254538245
Epochs 52, rate 6251.331587747153, time 1.7075879434123635
Epochs 53, rate 6251.330636714648, time 1.706595481489785
Epochs 54, rate 6251.329637240504, time 1.697425256948918
Epochs 55, rate 6251.328585529565, time 1.7002919569495134
Epochs 56, rate 6251.327477335011, time 1.7051726435311139
Epochs 57, rate 6251.3263079560065, time 1.7178600789338816
Epochs 58, rate 6251.325072150592, time 1.7268667482130695
Epochs 59, rate 6251.323764064674, time 1.6858063413237687
Epochs 60, rate 6251.322377136163, time 1.7575944206910208
Epochs 61, rate 6251.32090398692, time 1.6995981611544266
Epochs 62, rate 6251.319336290307, time 1.6939367996528745
Epochs 63, rate 6251.317664614403, time 1.7065534332650714
Epochs 64, rate 6251.31587823235, time 1.7262088170682546
Epochs 65, rate 6251.313964892411, time 1.7013552206626628
Epochs 66, rate 6251.31191053683, time 1.6976268411090132
Epochs 67, rate 6251.30969895708, time 1.7572997739189304
Epochs 68, rate 6251.307311366378, time 1.7142590807925444
Epochs 69, rate 6251.304725865873, time 1.7056450677919202
Epochs 70, rate 6251.301916773786, time 1.7064071919885464
Epochs 71, rate 6251.298853772239, time 1.7147676788736135
Epochs 72, rate 6251.2955008131785, time 1.6993770987319294
Epochs 73, rate 6251.291814698946, time 1.6990165970055386
Epochs 74, rate 6251.28774322018, time 1.7104187787335832
Epochs 75, rate 6251.28322268063, time 1.7053729909821413
Epochs 76, rate 6251.27817455896, time 1.708995631634025
Epochs 77, rate 6251.272500937097, time 1.7289094883890357
Epochs 78, rate 6251.266078129453, time 1.6999197064433247
Epochs 79, rate 6251.258747626945, time 1.7052233487775084
Epochs 80, rate 6251.2503029431, time 1.7177629969955888
Epochs 81, rate 6251.240470021247, time 1.739811729057692
Epochs 82, rate 6251.228877208438, time 1.7006710093992297
Epochs 83, rate 6251.215007697262, time 1.703140415425878
Epochs 84, rate 6251.198121227128, time 1.7079156722757034
Epochs 85, rate 6251.177119124797, time 1.7083176039159298
Epochs 86, rate 6251.150298403703, time 1.6943891273112968
Epochs 87, rate 6251.114871931026, time 1.700070585386129
Epochs 88, rate 6251.065946824978, time 1.6997743926767725
Epochs 89, rate 6250.994083948404, time 1.6939776111685205
Epochs 90, rate 6250.878450796876, time 1.7185127540433314
Epochs 91, rate 6250.662262364296, time 1.6967490843089763
Epochs 92, rate 6250.114587141193, time 1.6961845249752514
Epochs 93, rate 6331.622057312962, time 1.7020279923744965
Epochs 94, rate 6250.575377148101, time 1.699205814045854
Epochs 95, rate 6251.357714112598, time 1.711199762794422
Epochs 96, rate 6251.3683569169025, time 1.7034446467587259
Epochs 97, rate 6251.369944834058, time 1.7024509481270798
Epochs 98, rate 6251.369644820675, time 1.7182029575342312
Epochs 99, rate 6251.36977724547, time 1.7065593076404184
