Updated best error: 26133.6898342792. was found in iteration 0, time 2.4559598884588922
Epochs 0, rate 26133.6898342792, time 2.464855253601854
Updated best error: 24937.04669183402. was found in iteration 1, time 2.43942071141646
Epochs 1, rate 24937.04669183402, time 2.4512152402603533
Epochs 2, rate 24963.884370172418, time 2.444525552185951
Epochs 3, rate 24997.17446936082, time 2.4456658012713888
Epochs 4, rate 25026.73694476612, time 2.468787072393752
Epochs 5, rate 25018.011511576864, time 2.412010829895735
Epochs 6, rate 25018.587639117603, time 2.4674937801100896
Epochs 7, rate 25026.804239452897, time 2.4801509160533897
Epochs 8, rate 25035.541729295317, time 2.4720869310040143
Epochs 9, rate 25052.269008182106, time 2.491059031075565
Epochs 10, rate 25050.006567952976, time 2.4660901112147258
Epochs 11, rate 25040.170208843832, time 2.4434675444863387
Epochs 12, rate 25045.35630673005, time 2.4227192158214166
Epochs 13, rate 25037.439901925973, time 2.4437164329137886
Epochs 14, rate 25041.709559861134, time 2.4166713816302945
Epochs 15, rate 25062.124435047488, time 2.4424565318622626
Epochs 16, rate 25047.988428055854, time 2.425196351323393
Epochs 17, rate 25043.42766880783, time 2.4749913507403107
Epochs 18, rate 25029.293392661155, time 2.454669069600641
Epochs 19, rate 25038.741729274734, time 2.4733078755962197
Epochs 20, rate 25051.170413584357, time 2.444577184935042
Epochs 21, rate 25047.90309034186, time 2.4586927143100183
Epochs 22, rate 25042.389008855032, time 2.44747109261516
Epochs 23, rate 25047.726686206548, time 2.449664402556664
Epochs 24, rate 25053.675687831605, time 2.4878392496102606
Epochs 25, rate 25051.18502097178, time 2.4664762747561326
Epochs 26, rate 25053.657715121728, time 2.4783570642975974
Epochs 27, rate 25052.386441538798, time 2.4255370656683226
Epochs 28, rate 25053.439332301477, time 2.4632438169792295
Epochs 29, rate 25061.07759555233, time 2.4617155492815073
Epochs 30, rate 25049.39883937605, time 2.5093571227407665
Epochs 31, rate 25039.958321299076, time 2.4465024374076165
Epochs 32, rate 25057.546833327968, time 2.460666507751739
Epochs 33, rate 25045.58867278756, time 2.4987402535407455
Epochs 34, rate 25057.03044793322, time 2.4530443383118836
Epochs 35, rate 25055.29555775966, time 2.465276972623542
Epochs 36, rate 25048.092068418682, time 2.457708291010931
Epochs 37, rate 25056.053828748903, time 2.473584280887735
Epochs 38, rate 25048.79053674774, time 2.4647281813740847
Epochs 39, rate 25053.821468364746, time 2.4385132734823856
Epochs 40, rate 25059.346905571052, time 2.459723205152841
Epochs 41, rate 25059.077722650498, time 2.468860347624286
Epochs 42, rate 25053.19824950322, time 2.442694599063543
Epochs 43, rate 25051.592953859552, time 2.5201904166533495
Epochs 44, rate 25062.480719016818, time 2.4372240005104686
Epochs 45, rate 25047.90695015367, time 2.4223046078986954
Epochs 46, rate 25063.395081087325, time 2.446822127632913
Epochs 47, rate 25057.763991287284, time 2.4500799380111857
Epochs 48, rate 25053.48604528958, time 2.451095897486084
Epochs 49, rate 25046.918974012988, time 2.4633257491877885
Epochs 50, rate 25065.50505645845, time 2.4727182728311163
Epochs 51, rate 25056.004086324374, time 2.474076183360012
Epochs 52, rate 25061.263331913495, time 2.466440100906766
Epochs 53, rate 25052.859274831426, time 2.4180973113543587
Epochs 54, rate 25069.305660385427, time 2.452064243509085
Epochs 55, rate 25051.053434390786, time 2.4930043801286956
Epochs 56, rate 25040.92965757427, time 2.4503881886557792
Epochs 57, rate 25045.808034682734, time 2.4574034413381014
Epochs 58, rate 25061.9833647139, time 2.4442547121070675
Epochs 59, rate 25061.44085318136, time 2.4488441528737894
Epochs 60, rate 25059.595500717383, time 2.4578511313302442
Epochs 61, rate 25044.885959354364, time 2.454700914946443
Epochs 62, rate 25056.76361620626, time 2.472885847404541
Epochs 63, rate 25059.23873866043, time 2.4686423770108377
Epochs 64, rate 25050.98752397595, time 2.446559944546607
Epochs 65, rate 25059.831655599522, time 2.5081915210321313
Epochs 66, rate 25061.569174235578, time 2.483044205364422
Epochs 67, rate 25061.91439830854, time 2.4663594053999986
Epochs 68, rate 25059.88772622996, time 2.4399861982819857
Epochs 69, rate 25058.600103804027, time 2.4552194067437085
Epochs 70, rate 25052.816818598345, time 2.4545741518959403
Epochs 71, rate 25053.267724818474, time 2.434536314678553
Epochs 72, rate 25061.55407976411, time 2.4602651944878744
Epochs 73, rate 25065.310187629806, time 2.4398807685283828
Epochs 74, rate 25056.37331038845, time 2.464957900752779
Epochs 75, rate 25056.633473052156, time 2.4230840460659238
Epochs 76, rate 25051.11078620889, time 2.4722974813412293
Epochs 77, rate 25059.022984354655, time 2.42871356219257
Epochs 78, rate 25059.99957360518, time 2.4508924582478357
Epochs 79, rate 25068.78190482817, time 2.460877676443488
Epochs 80, rate 25061.773166898653, time 2.462227857511607
Epochs 81, rate 25068.180037413968, time 2.480679301537748
Epochs 82, rate 25060.60145575685, time 2.470331108175742
Epochs 83, rate 25053.871184453776, time 2.4845041446897085
Epochs 84, rate 25057.374510259597, time 2.4280630513239885
Epochs 85, rate 25060.879226312503, time 2.47543842237792
Epochs 86, rate 25059.79218853851, time 2.4159253347097547
Epochs 87, rate 25069.166155467487, time 2.4877842158966814
Epochs 88, rate 25056.911248645803, time 2.421399952567299
Epochs 89, rate 25057.762333326857, time 2.4224975350807654
Epochs 90, rate 25048.34887421145, time 2.4183056974361534
Epochs 91, rate 25053.728311359166, time 2.433255698691937
Epochs 92, rate 25054.613343701225, time 2.3927805660496233
Epochs 93, rate 25063.28552299457, time 2.3822447015336365
Epochs 94, rate 25049.594191052896, time 2.419885288712976
Epochs 95, rate 25060.820501521306, time 2.37429294816684
Epochs 96, rate 25057.796347498486, time 2.37173171620816
Epochs 97, rate 25061.62259851588, time 2.4637697290454526
Epochs 98, rate 25056.23563680078, time 2.389354871927935
Epochs 99, rate 25055.72140789679, time 2.3643905897333752
