Updated best error: 2151.011844422574. was found in iteration 0, time 0.35845684228115715
Epochs 0, rate 2151.011844422574, time 0.3656529642175883
Updated best error: 1851.8592261822805. was found in iteration 1, time 0.3532496635452844
Epochs 1, rate 1851.8592261822805, time 0.3608084514562506
Epochs 2, rate 1851.8840496285386, time 0.37889228263520636
Epochs 3, rate 1854.7527588924736, time 0.3629272494581528
Epochs 4, rate 1853.4818793193035, time 0.35885197200695984
Epochs 5, rate 1853.5722118523497, time 0.3634794416720979
Epochs 6, rate 1853.6109972446939, time 0.3567758405697532
Epochs 7, rate 1853.6179106243933, time 0.3579850363894366
Epochs 8, rate 1853.618208423121, time 0.35434477261151187
Epochs 9, rate 1853.6170657235018, time 0.3873486147786025
Epochs 10, rate 1853.6153527155993, time 0.3696141549444292
Epochs 11, rate 1853.6130906381513, time 0.35967098496621475
Epochs 12, rate 1853.6100511205698, time 0.3598883372324053
Epochs 13, rate 1853.6057653186276, time 0.36411974966176786
Epochs 14, rate 1853.5992668895926, time 0.35893730516545475
Epochs 15, rate 1853.588227928414, time 0.3595482412201818
Epochs 16, rate 1853.5652258053954, time 0.35828153826878406
Epochs 17, rate 1853.4852571321107, time 0.3588751603383571
Epochs 18, rate 1852.8338012632937, time 0.3641658172127791
Epochs 19, rate 1853.5508812680005, time 0.3593392367765773
Epochs 20, rate 1853.5940003532928, time 0.3596848979941569
Epochs 21, rate 1853.615978858335, time 0.3646465892379638
Epochs 22, rate 1853.6197390539528, time 0.37814252558746375
Epochs 23, rate 1853.6196882167803, time 0.3707510030362755
Epochs 24, rate 1853.618803681108, time 0.365765505033778
Epochs 25, rate 1853.6175884076204, time 0.3608260746113956
Epochs 26, rate 1853.6160700516402, time 0.36876577002112754
Epochs 27, rate 1853.614157945745, time 0.3595977097284049
Epochs 28, rate 1853.6116826871346, time 0.3608467895537615
Epochs 29, rate 1853.608352444503, time 0.3775526136450935
Epochs 30, rate 1853.6036290937216, time 0.3866996497963555
Epochs 31, rate 1853.5964006527965, time 0.3617792708973866
Epochs 32, rate 1853.583934103967, time 0.4018135154910851
Epochs 33, rate 1853.5571759078737, time 0.3580972680647392
Epochs 34, rate 1853.4546979789413, time 0.35948424134403467
Epochs 35, rate 1855.4403632952651, time 0.36631027699331753
Epochs 36, rate 1853.5300912885382, time 0.36377285173512064
Epochs 37, rate 1853.6093353537287, time 0.36504295564373024
Epochs 38, rate 1853.626408909385, time 0.36055307026254013
Epochs 39, rate 1853.6295448182882, time 0.3599124531028792
Epochs 40, rate 1853.6301022556434, time 0.36567738925805315
Epochs 41, rate 1853.6301954324742, time 0.3540334302233532
Epochs 42, rate 1853.630205208115, time 0.3581158187589608
Epochs 43, rate 1853.6301999152604, time 0.3650794386921916
Epochs 44, rate 1853.6301918229435, time 0.35978507171967067
Epochs 45, rate 1853.6301831362825, time 0.3587310833099764
Epochs 46, rate 1853.6301742508617, time 0.3610258037224412
Epochs 47, rate 1853.6301652362654, time 0.3661711468012072
Epochs 48, rate 1853.6301561032017, time 0.37114087672671303
Epochs 49, rate 1853.6301468516351, time 0.38958366378210485
Epochs 50, rate 1853.6301374796674, time 0.36238804273307323
Epochs 51, rate 1853.6301279848099, time 0.37232100978144445
Epochs 52, rate 1853.6301183645764, time 0.37303242876078
Epochs 53, rate 1853.6301086163505, time 0.36965836738818325
Epochs 54, rate 1853.6300987374336, time 0.3746447929297574
Epochs 55, rate 1853.6300887250445, time 0.36791089235339314
Epochs 56, rate 1853.6300785763303, time 0.36799529803101905
Epochs 57, rate 1853.6300682883657, time 0.36642745553399436
Epochs 58, rate 1853.6300578580776, time 0.37778387891012244
Epochs 59, rate 1853.6300472823636, time 0.36384210767573677
Epochs 60, rate 1853.630036558013, time 0.3690662912267726
Epochs 61, rate 1853.6300256817021, time 0.3688770741573535
Epochs 62, rate 1853.6300146500269, time 0.37863040872616693
Epochs 63, rate 1853.630003459479, time 0.3661637265468016
Epochs 64, rate 1853.6299921063512, time 0.3705423077917658
Epochs 65, rate 1853.6299805869442, time 0.3799437975976616
Epochs 66, rate 1853.6299688973743, time 0.37019293644698337
Epochs 67, rate 1853.6299570336755, time 0.36983861826593056
Epochs 68, rate 1853.6299449916608, time 0.35899079297087155
Epochs 69, rate 1853.6299327670902, time 0.36619278928264976
Epochs 70, rate 1853.629920355526, time 0.37007699464447796
Epochs 71, rate 1853.6299077524363, time 0.3575150855758693
Epochs 72, rate 1853.6298949531506, time 0.36226746323518455
Epochs 73, rate 1853.6298819527515, time 0.37232502913684584
Epochs 74, rate 1853.6298687462024, time 0.36532647206331603
Epochs 75, rate 1853.6298553282786, time 0.3722273288294673
Epochs 76, rate 1853.6298416935938, time 0.3858599218947347
Epochs 77, rate 1853.6298278365705, time 0.36443418386625126
Epochs 78, rate 1853.6298137513472, time 0.36639684688998386
Epochs 79, rate 1853.6297994319987, time 0.3645760966464877
Epochs 80, rate 1853.6297848722602, time 0.3725052799854893
Epochs 81, rate 1853.629770065675, time 0.3630691622092854
Epochs 82, rate 1853.6297550055604, time 0.36338854327914305
Epochs 83, rate 1853.62973968495, time 0.3611785377142951
Epochs 84, rate 1853.629724096608, time 0.3617350584245287
Epochs 85, rate 1853.629708233101, time 0.3596249174152035
Epochs 86, rate 1853.6296920865907, time 0.36253057385329157
Epochs 87, rate 1853.6296756489799, time 0.3668012519192416
Epochs 88, rate 1853.6296589118604, time 0.3617118700640276
Epochs 89, rate 1853.6296418665086, time 0.3628978775232099
Epochs 90, rate 1853.6296245037079, time 0.3710085484490264
Epochs 91, rate 1853.6296068140466, time 0.3618741885875352
Epochs 92, rate 1853.6295887875983, time 0.37477464776020497
Epochs 93, rate 1853.6295704140769, time 0.3717150205920916
Epochs 94, rate 1853.6295516827079, time 0.38409853386110626
Epochs 95, rate 1853.629532582315, time 0.3909888785565272
Epochs 96, rate 1853.6295131011232, time 0.37569754460128024
Epochs 97, rate 1853.6294932270068, time 0.3721998119726777
Epochs 98, rate 1853.6294729471254, time 0.3666185276233591
Epochs 99, rate 1853.629452248095, time 0.3672133864311036
