Updated best error: 28060.053664508316. was found in iteration 0, time 3.1903746033640346
Epochs 0, rate 28060.053664508316, time 3.200385174161056
Updated best error: 25674.118882444203. was found in iteration 1, time 3.2772490315837786
Epochs 1, rate 25674.118882444203, time 3.2868898252927465
Updated best error: 25297.33031806986. was found in iteration 2, time 3.20334060829191
Epochs 2, rate 25297.33031806986, time 3.213697458646493
Updated best error: 25252.60572339468. was found in iteration 3, time 3.2044882776681334
Epochs 3, rate 25252.60572339468, time 3.216511907536187
Updated best error: 25225.209928973356. was found in iteration 4, time 3.2230708132410655
Epochs 4, rate 25225.209928973356, time 3.2328433168586344
Epochs 5, rate 25317.76749260321, time 3.2228605720883934
Epochs 6, rate 25293.520642682353, time 3.1995454462594353
Epochs 7, rate 25240.68867313977, time 3.2066828243114287
Updated best error: 25150.694492780232. was found in iteration 8, time 3.2083381642441964
Epochs 8, rate 25150.694492780232, time 3.2184600391919957
Updated best error: 25116.03768342536. was found in iteration 9, time 3.2050871557730716
Epochs 9, rate 25116.03768342536, time 3.2148741907585645
Epochs 10, rate 25145.77347437999, time 3.1947238126886077
Updated best error: 25074.571950618883. was found in iteration 11, time 3.2025995082221925
Epochs 11, rate 25074.571950618883, time 3.2128598949930165
Updated best error: 25069.508906374413. was found in iteration 12, time 3.22075383203628
Epochs 12, rate 25069.508906374413, time 3.2305399394826964
Epochs 13, rate 25145.691650335615, time 3.2167456462193513
Epochs 14, rate 25081.847923686248, time 3.208230570249725
Epochs 15, rate 25099.328210293097, time 3.2121472393046133
Epochs 16, rate 25131.860601583543, time 3.2069644856237574
Epochs 17, rate 25110.648029493856, time 3.1872228410938988
Epochs 18, rate 25118.42889728541, time 3.205106015651836
Epochs 19, rate 25090.10441619688, time 3.200608091618051
Epochs 20, rate 25120.11572022472, time 3.2154872910759877
Epochs 21, rate 25111.325364971293, time 3.1937474280275637
Epochs 22, rate 25265.169891787027, time 3.2133341743028723
Epochs 23, rate 25176.09306916115, time 3.219230820352095
Epochs 24, rate 25157.32581957729, time 3.243648784729885
Epochs 25, rate 25133.353641494607, time 3.2030787343974225
Epochs 26, rate 25106.17966366583, time 3.191502176152426
Epochs 27, rate 25109.902122887674, time 3.207471228655777
Epochs 28, rate 25102.82865900476, time 3.205825473254663
Epochs 29, rate 25156.99764075046, time 3.198894626199035
Epochs 30, rate 25112.756439112036, time 3.2202851179172285
Epochs 31, rate 25119.543063836358, time 3.2154495713475626
Epochs 32, rate 25077.764909018646, time 3.197366049338598
Epochs 33, rate 25076.937092817603, time 3.245992973621469
Epochs 34, rate 25093.10750728329, time 3.2122777124895947
Epochs 35, rate 25121.754478415936, time 3.2198822587670293
Epochs 36, rate 25096.546025894117, time 3.213837207193137
Epochs 37, rate 25086.183441905356, time 3.220438779477263
Epochs 38, rate 25093.946920599905, time 3.1943122965458315
Epochs 39, rate 25083.384364886548, time 3.2188288887555245
Epochs 40, rate 25080.261605817097, time 3.2148472922563087
Epochs 41, rate 25095.522547747947, time 3.2248659017059254
Epochs 42, rate 25073.162072372477, time 3.2281067072763108
Epochs 43, rate 25090.100722514817, time 3.2175192100112326
Epochs 44, rate 25071.657221571073, time 3.2179696826060535
Epochs 45, rate 25122.346610066215, time 3.204016471776413
Epochs 46, rate 25098.37295403046, time 3.2259331847308204
Epochs 47, rate 25073.231394420105, time 3.232075318286661
Epochs 48, rate 25081.84074136382, time 3.3140758618101245
Epochs 49, rate 25113.52549225065, time 3.246425823046593
Epochs 50, rate 25094.958106999566, time 3.229462453557062
Epochs 51, rate 25080.13762245861, time 3.210476131294854
Epochs 52, rate 25143.053752426717, time 3.2293035359907662
Epochs 53, rate 25140.983992903144, time 3.2144568002404412
Epochs 54, rate 25109.350615367643, time 3.2123138863389613
Epochs 55, rate 25119.17443991163, time 3.2134157973341644
Epochs 56, rate 25079.563762928603, time 3.202560860940139
Epochs 57, rate 25136.563598083856, time 3.2399442118912702
Epochs 58, rate 25097.1213201304, time 3.208277565325261
Epochs 59, rate 25079.502915018707, time 3.2119836840574862
Epochs 60, rate 25079.783736790556, time 3.2361165861366317
Epochs 61, rate 25077.188076289123, time 3.1970343011489604
Epochs 62, rate 25077.11093740339, time 3.2162370481382823
Epochs 63, rate 25075.275579799716, time 3.246012761024758
Epochs 64, rate 25078.36921632839, time 3.219851031768485
Epochs 65, rate 25075.5231535362, time 3.25007999985246
Epochs 66, rate 25073.907070197954, time 3.220348190268851
Epochs 67, rate 25086.74663963447, time 3.220581928966567
Epochs 68, rate 25078.402431546077, time 3.220377562203794
Epochs 69, rate 25069.987152159072, time 3.2278738961176714
Epochs 70, rate 25074.282039234746, time 3.255276975716697
Epochs 71, rate 25092.22790692405, time 3.2120674713223707
Epochs 72, rate 25085.284137660285, time 3.222678156962502
Epochs 73, rate 25072.64083310867, time 3.2412613108899677
Epochs 74, rate 25076.561544796554, time 3.2152430403220933
Epochs 75, rate 25070.29754732168, time 3.227664582504076
Epochs 76, rate 25071.64428889372, time 3.2049124701152323
Epochs 77, rate 25070.81291924527, time 3.3030787034658715
Epochs 78, rate 25098.27447387354, time 3.2788109996909043
Epochs 79, rate 25077.183861072095, time 3.234940472379094
Epochs 80, rate 25075.528152176383, time 3.224958345963387
Epochs 81, rate 25073.501256689524, time 3.2093930801493116
Epochs 82, rate 25078.385680445823, time 3.277119176738779
Epochs 83, rate 25074.27648206954, time 3.221771337382961
Epochs 84, rate 25071.823619800773, time 3.2136322220612783
Epochs 85, rate 25072.57365363001, time 3.2225275871896883
Epochs 86, rate 25074.976843318953, time 3.213680763015873
Epochs 87, rate 25070.538304435067, time 3.253668940044008
Epochs 88, rate 25070.56896811652, time 3.22559772641398
Epochs 89, rate 25075.356876797985, time 3.212969962420175
Epochs 90, rate 25072.464773520223, time 3.2205129822395975
Epochs 91, rate 25071.46454358362, time 3.2308370597020257
Epochs 92, rate 25072.56524014775, time 3.2345329755626153
Epochs 93, rate 25088.941288529735, time 3.227249356204993
Epochs 94, rate 25082.07962214883, time 3.246183118186309
Epochs 95, rate 25071.497261193606, time 3.2369436377484817
Epochs 96, rate 25096.881218035895, time 3.1998521509958664
Epochs 97, rate 25123.062686909343, time 3.2070337415352697
Epochs 98, rate 25121.531906194014, time 3.2256162771082018
Epochs 99, rate 25070.851537176924, time 3.2201803065254353
