Updated best error: 2144.2895074209555. was found in iteration 0, time 3.023508362181019
Epochs 0, rate 2144.2895074209555, time 3.033415049110772
Updated best error: 1931.2849486384898. was found in iteration 1, time 2.9971076382207684
Epochs 1, rate 1931.2849486384898, time 3.0061059596773703
Epochs 2, rate 1963.1132055811945, time 2.988947498786729
Epochs 3, rate 1975.545411049615, time 3.0271143071877304
Epochs 4, rate 1994.5848744840798, time 2.9953069845505524
Epochs 5, rate 1979.9210373854366, time 3.0059761048469227
Epochs 6, rate 1963.2309602003374, time 3.0078704394982196
Epochs 7, rate 1968.2407468518925, time 3.0125798413937446
Epochs 8, rate 1962.0414068138948, time 3.059461145749083
Epochs 9, rate 2000.721611659735, time 3.004927990870783
Epochs 10, rate 1991.8465061984837, time 3.010123729996849
Epochs 11, rate 2016.080100271246, time 3.0281398511724547
Epochs 12, rate 2019.7031000294796, time 3.0004183180572
Epochs 13, rate 2027.4054203128371, time 3.0082476368697826
Epochs 14, rate 2024.0104761585976, time 3.0179524304694496
Epochs 15, rate 2007.1619344532999, time 2.9903660082200076
Epochs 16, rate 1994.4082382980898, time 2.984834192378912
Epochs 17, rate 2012.746005204348, time 2.999554783455096
Epochs 18, rate 1993.5803867478107, time 2.9986869203276
Epochs 19, rate 1993.46800958049, time 3.0146986393956468
Epochs 20, rate 1996.225235117021, time 3.0045798562350683
Epochs 21, rate 2010.0288333339545, time 3.033965077076573
Epochs 22, rate 1987.338342571603, time 2.9990195960272104
Epochs 23, rate 1984.9086625843697, time 3.0128002854180522
Epochs 24, rate 2008.9884547855934, time 3.0174960834847298
Epochs 25, rate 1936.0282312178965, time 2.9972238892223686
Updated best error: 1919.1245585912657. was found in iteration 26, time 3.0148600304091815
Epochs 26, rate 1919.1245585912657, time 3.02369541497319
Epochs 27, rate 1935.7126857033677, time 3.0222351664851885
Epochs 28, rate 1943.7159605623656, time 2.997991578595247
Epochs 29, rate 1993.515703314661, time 3.010520096431719
Epochs 30, rate 1981.3110011792176, time 3.000754703913117
Updated best error: 1866.3455772085617. was found in iteration 31, time 3.0488198514503893
Epochs 31, rate 1866.3455772085617, time 3.0587466349825263
Updated best error: 1826.2479049723995. was found in iteration 32, time 3.1331101685063913
Epochs 32, rate 1826.2479049723995, time 3.1420865383406635
Epochs 33, rate 1988.8098662058298, time 3.0090048142301384
Epochs 34, rate 1972.0418543987125, time 3.0032135978981387
Epochs 35, rate 1979.0694253468143, time 3.0123726920282934
Epochs 36, rate 2006.746095002157, time 3.0020121315610595
Epochs 37, rate 2003.9510665582611, time 3.0022662760165986
Epochs 38, rate 2001.8210813391518, time 3.015081092802575
Epochs 39, rate 1999.7315204932734, time 3.0525924434768967
Epochs 40, rate 1997.6039469786847, time 3.008694090152858
Epochs 41, rate 1995.5748303129951, time 3.002054798125755
Epochs 42, rate 1993.9965676698075, time 3.007927328289952
Epochs 43, rate 1992.172705695496, time 3.025233576365281
Epochs 44, rate 1990.3205756763737, time 3.0159532844263595
Epochs 45, rate 1988.1891515035095, time 3.0164093222119845
Epochs 46, rate 1987.3023319170065, time 3.0208209855481982
Epochs 47, rate 1985.790941705425, time 3.005977341585094
Epochs 48, rate 1984.3488648075906, time 3.0038430846470874
Epochs 49, rate 1982.9681554945369, time 3.0203538172936533
Epochs 50, rate 1981.6204653648551, time 3.027452238922706
Epochs 51, rate 1979.7137650878547, time 3.003865345468512
Epochs 52, rate 1979.3727873249004, time 3.0006032066303305
Epochs 53, rate 1978.2587766423987, time 3.023482082033297
Epochs 54, rate 1977.2203763365944, time 3.014499528653687
Epochs 55, rate 1976.223529283767, time 3.0208064541511703
Epochs 56, rate 1974.8181112103807, time 3.0056585788552184
Epochs 57, rate 1986.6602034208715, time 3.0144305819412693
Epochs 58, rate 2004.7681413954006, time 3.0295642350101843
Epochs 59, rate 2004.0004931520973, time 3.038726730097551
Epochs 60, rate 2003.2803175406193, time 3.022378006775398
Epochs 61, rate 2002.604698537466, time 3.01743332031765
Epochs 62, rate 2001.9710705888913, time 3.037460954656126
Epochs 63, rate 2001.3769438683996, time 3.020278377836803
Epochs 64, rate 2000.8199158201205, time 3.0299435966298915
Epochs 65, rate 2000.2976791575513, time 3.0100053147762083
Epochs 66, rate 1999.8080266525683, time 3.0325224517437164
Epochs 67, rate 1999.348852975852, time 3.0011155148677062
Epochs 68, rate 1998.9181537196341, time 3.036596183315851
Epochs 69, rate 1998.514021505025, time 3.0173176876851358
Epochs 70, rate 1998.134638677553, time 3.028515502664959
Epochs 71, rate 1997.7782653423756, time 3.0014599393180106
Epochs 72, rate 1997.4432199730404, time 3.0040063307387754
Epochs 73, rate 1997.1278464810418, time 3.005030638014432
Epochs 74, rate 1996.830453541267, time 3.0162281437951606
Epochs 75, rate 1996.549190053906, time 3.0307592086319346
Epochs 76, rate 1996.28175220162, time 3.0163341918960214
Epochs 77, rate 1996.0245582906523, time 3.011137525230879
Epochs 78, rate 1995.769715664028, time 3.002002547000302
Epochs 79, rate 1995.4869446261469, time 3.101194942719303
Epochs 80, rate 1994.3882375067, time 3.049346072715707
Epochs 81, rate 1996.6336238098309, time 3.016352742590243
Epochs 82, rate 1995.0096062028026, time 3.0185584196588024
Epochs 83, rate 1994.817118983873, time 3.0090988043812104
Epochs 84, rate 1994.6104817052087, time 3.014732958195964
Epochs 85, rate 1994.3117964632595, time 3.00346650564461
Epochs 86, rate 1992.7053506758768, time 3.018448043061653
Epochs 87, rate 2194.764210143663, time 3.003581210767152
Epochs 88, rate 2076.5443714777293, time 3.0184492797707208
Epochs 89, rate 2087.920416944012, time 3.027834383159643
Epochs 90, rate 2086.6278735156993, time 3.019898707047105
Epochs 91, rate 2049.391629812266, time 3.015519507433055
Epochs 92, rate 2120.1531068701884, time 3.0137986217450816
Epochs 93, rate 2120.1196142060994, time 3.0219664906326216
Epochs 94, rate 2115.588699309414, time 3.0044354700366966
Epochs 95, rate 2148.7414473240738, time 3.0140533845406026
Epochs 96, rate 2093.912272372803, time 3.0061486262711696
Epochs 97, rate 2152.6597033951844, time 3.0055534582934342
Epochs 98, rate 2152.6415417218186, time 3.0108116514456924
Epochs 99, rate 2152.629917562309, time 3.0064881038852036
