Updated best error: 2168.911876430683. was found in iteration 0, time 9.243147606903221
Epochs 0, rate 2168.911876430683, time 9.264242215111153
Updated best error: 1870.8839509386232. was found in iteration 1, time 9.050203114602482
Epochs 1, rate 1870.8839509386232, time 9.068302095518447
Epochs 2, rate 1889.0680462286243, time 9.015825593814952
Epochs 3, rate 1924.6628406834354, time 9.04550793490489
Epochs 4, rate 1961.5220187927473, time 9.405448832403636
Epochs 5, rate 1945.7656551087748, time 9.277153804694535
Epochs 6, rate 1965.3709757883532, time 9.346177212893963
Updated best error: 1855.4344686857846. was found in iteration 7, time 9.121236490056617
Epochs 7, rate 1855.4344686857846, time 9.145862531324383
Epochs 8, rate 1955.6858997969898, time 9.108749092934886
Epochs 9, rate 1932.3409079968567, time 9.272905078280019
Epochs 10, rate 2084.3360671585733, time 9.136188037198735
Epochs 11, rate 2069.975439269078, time 9.108515045081731
Epochs 12, rate 2056.431135612604, time 8.953195062669693
Epochs 13, rate 2072.296700808597, time 9.188547669560649
Epochs 14, rate 2070.472546405837, time 9.271848925651284
Epochs 15, rate 2036.474660767664, time 9.095791435800493
Epochs 16, rate 2029.515214083091, time 8.895263730519218
Epochs 17, rate 2015.0186389084583, time 8.96626371477032
Epochs 18, rate 2023.6897487946521, time 8.975931406981545
Epochs 19, rate 2049.787070795528, time 9.109377961343853
Epochs 20, rate 1936.7909333826742, time 9.095808440615656
Epochs 21, rate 2003.825578827082, time 9.00082705161185
Epochs 22, rate 1930.3044729998385, time 9.155473953142064
Updated best error: 1853.0276135875465. was found in iteration 23, time 8.995425708970288
Epochs 23, rate 1853.0276135875465, time 9.012201098143123
Epochs 24, rate 2074.5202059364406, time 9.230938779335702
Epochs 25, rate 2126.682319285017, time 9.189450160629349
Epochs 26, rate 2015.066833507248, time 9.110940547805512
Epochs 27, rate 2235.839661039964, time 8.993651644617785
Epochs 28, rate 2054.9368433771056, time 9.162938132503768
Epochs 29, rate 1923.7208518779166, time 9.226640275213867
Epochs 30, rate 1925.0454929488865, time 9.033639821660472
Epochs 31, rate 2094.0705161749015, time 9.110081032500602
Epochs 32, rate 2108.7280076787147, time 9.023508980521001
Epochs 33, rate 2093.7713922004195, time 9.110784103686456
Epochs 34, rate 2050.317848342319, time 9.308936702262145
Epochs 35, rate 2023.019145320139, time 9.319279330433346
Epochs 36, rate 2069.4008707700573, time 9.055682060949039
Epochs 37, rate 1994.0751292942123, time 8.905324388178997
Epochs 38, rate 2016.1289357527191, time 9.101751772570424
Epochs 39, rate 2101.4366911617035, time 9.100039543904131
Epochs 40, rate 2184.5585224590413, time 9.166997951077064
Epochs 41, rate 2134.9706793499636, time 8.958143150113756
Epochs 42, rate 2068.0434826853916, time 8.918444673035992
Epochs 43, rate 1936.1367601213728, time 9.09511309894151
Updated best error: 1779.7504660863372. was found in iteration 44, time 9.175788813998224
Epochs 44, rate 1779.7504660863372, time 9.194634769373806
Epochs 45, rate 2025.4969163080186, time 9.214100626995787
Epochs 46, rate 1949.9524033241332, time 8.979840964952018
Epochs 47, rate 1985.3298514714036, time 9.086000690702349
Epochs 48, rate 1970.3232704179989, time 9.029609993391205
Epochs 49, rate 1993.1447574544627, time 9.194314769963967
Epochs 50, rate 1922.8680634768987, time 9.085924942075508
Epochs 51, rate 1893.8601922326673, time 9.03164191232645
Epochs 52, rate 1848.6982806571534, time 8.965243735990953
Epochs 53, rate 1938.5215616444614, time 9.138603027909994
Epochs 54, rate 1952.0913489468728, time 8.993862813338637
Epochs 55, rate 1953.6236272922918, time 8.980948750308016
Epochs 56, rate 1951.0992053741425, time 9.02247261532466
Epochs 57, rate 1931.8894435968286, time 9.04834062527516
Epochs 58, rate 1909.8117465654939, time 9.038588527444517
