Updated best error: 7700.384376782737. was found in iteration 0, time 7.442936067207484
Epochs 0, rate 7700.384376782737, time 7.456599887271295
Updated best error: 5528.264267673446. was found in iteration 1, time 7.488420504574606
Epochs 1, rate 5528.264267673446, time 7.502021870648605
Epochs 2, rate 5602.159459692466, time 7.468834376653831
Epochs 3, rate 5580.58484466466, time 7.461598989109916
Updated best error: 5493.5678127270785. was found in iteration 4, time 7.450858757831156
Epochs 4, rate 5493.5678127270785, time 7.463298541515542
Epochs 5, rate 5648.991796213634, time 7.3852644447251805
Epochs 6, rate 5566.431306729015, time 7.744787024166726
Epochs 7, rate 5533.305732595084, time 7.550850997453381
Epochs 8, rate 5534.845789643345, time 7.500299439059745
Updated best error: 5460.731800622652. was found in iteration 9, time 7.592577374154644
Epochs 9, rate 5460.731800622652, time 7.604853293414635
Epochs 10, rate 5674.362326398289, time 7.483021017003921
Epochs 11, rate 5463.891373132209, time 7.5209973716773675
Epochs 12, rate 5787.794500458066, time 7.499864734556468
Epochs 13, rate 5584.27240664389, time 7.471462700283155
Epochs 14, rate 5540.40483937457, time 7.516664548798872
Epochs 15, rate 5490.981297797055, time 7.526204241243249
Epochs 16, rate 5661.872927346854, time 7.510411729475891
Epochs 17, rate 5575.910446579373, time 7.523412362366798
Epochs 18, rate 5517.370267715635, time 7.514353132792166
Epochs 19, rate 5568.95463606725, time 7.541711690741067
Updated best error: 5429.965049521078. was found in iteration 20, time 7.514252959066653
Epochs 20, rate 5429.965049521078, time 7.527175060698937
Epochs 21, rate 5498.054380102169, time 7.498063771708985
Epochs 22, rate 5471.156580400375, time 7.484145807189634
Epochs 23, rate 5526.816479333076, time 7.476295155087428
Epochs 24, rate 5454.444096571619, time 7.553280210340745
Epochs 25, rate 5467.752459336909, time 7.4869361401724746
Epochs 26, rate 5504.428949838183, time 7.483545074006543
Epochs 27, rate 5474.743995006734, time 7.511171380247106
Epochs 28, rate 5471.579629998419, time 7.517882092433865
Epochs 29, rate 5498.738045296353, time 7.470560209207179
Epochs 30, rate 5523.454969921793, time 7.511778606167354
Epochs 31, rate 5465.544421646098, time 7.521983959217323
Epochs 32, rate 5465.371772870389, time 7.489901158827706
Epochs 33, rate 5475.304594140212, time 7.4764008940182975
Epochs 34, rate 5473.94787119159, time 7.491744169907179
Epochs 35, rate 5480.918160894147, time 7.523322082335653
Epochs 36, rate 5612.8682874812, time 7.519587828392105
Epochs 37, rate 5479.366490226978, time 7.526139932189835
Epochs 38, rate 5508.046720454727, time 7.491576904518297
Epochs 39, rate 5490.143135089436, time 7.5096727936470415
Epochs 40, rate 5531.351313814456, time 7.575524961343035
Epochs 41, rate 5470.452722906695, time 7.506524123164127
Epochs 42, rate 5479.253716015736, time 7.509422977687791
Epochs 43, rate 5668.169568937883, time 7.58981486720586
Epochs 44, rate 5477.11941726033, time 7.556236881187942
Epochs 45, rate 5471.627806494716, time 7.591118362368434
Epochs 46, rate 5471.91211203281, time 7.581135926782736
Epochs 47, rate 5497.505876803026, time 7.613409490099002
Epochs 48, rate 5479.13068378015, time 7.515668685911805
Epochs 49, rate 5468.612955509315, time 7.550530070519017
Epochs 50, rate 5604.552116786686, time 7.518314941866265
Epochs 51, rate 5481.933862108359, time 7.509418030836969
Epochs 52, rate 5505.673594426128, time 7.5698382472546655
Epochs 53, rate 5500.032394628547, time 7.548728180132457
Epochs 54, rate 5643.421317130242, time 7.546489421001752
Updated best error: 5323.922379566652. was found in iteration 55, time 7.55000910529634
Epochs 55, rate 5323.922379566652, time 7.56504289383156
Epochs 56, rate 5607.776144213786, time 7.513672631641384
Epochs 57, rate 5431.917293423656, time 7.550845123070758
Epochs 58, rate 5325.282680376138, time 7.492576477539842
Updated best error: 5271.206721142682. was found in iteration 59, time 7.51014119858155
Epochs 59, rate 5271.206721142682, time 7.543322818186425
Epochs 60, rate 5559.6869251940125, time 7.539893413915706
Epochs 61, rate 5592.7151673046565, time 7.5214503176975995
Epochs 62, rate 5608.543432041973, time 7.541107247416221
Epochs 63, rate 5690.0662778268415, time 7.558208201196976
Updated best error: 5096.935449232351. was found in iteration 64, time 7.528231831689482
Epochs 64, rate 5096.935449232351, time 7.540980793542985
Updated best error: 5084.351964370428. was found in iteration 65, time 7.523953733347298
Epochs 65, rate 5084.351964370428, time 7.536950656096451
Epochs 66, rate 5098.8940222430665, time 7.52941722079413
Epochs 67, rate 5131.9319026480825, time 7.492452497099293
Epochs 68, rate 5159.578557562967, time 7.500543998990906
Epochs 69, rate 5164.276382440038, time 7.497352971091459
Updated best error: 5051.983753385705. was found in iteration 70, time 7.77874128001713
Epochs 70, rate 5051.983753385705, time 7.791664927535749
Epochs 71, rate 5461.138600189519, time 7.537651872182323
Epochs 72, rate 5099.039604193943, time 7.5929490063208505
Epochs 73, rate 5443.257010894337, time 7.515434947214089
Epochs 74, rate 5104.234099426098, time 7.518971945486555
Epochs 75, rate 5129.870931135136, time 7.492631820430688
Epochs 76, rate 5107.418909066713, time 7.538942381863308
Epochs 77, rate 5109.428332680388, time 7.502481000228727
Epochs 78, rate 5112.145883479573, time 7.423486596038856
Epochs 79, rate 5122.690764163556, time 7.817464609142917
Epochs 80, rate 5206.3100414276805, time 7.55593883342226
Epochs 81, rate 5126.388153744482, time 7.551635073294165
Epochs 82, rate 5131.813758817772, time 7.559474594978383
Epochs 83, rate 5134.751581783932, time 7.556879353425757
Epochs 84, rate 5137.424759200163, time 7.543983222756651
Epochs 85, rate 5139.7096802494, time 7.554928439159994
Epochs 86, rate 5141.501418606874, time 7.558569630476995
Epochs 87, rate 5142.187645694327, time 7.549937685136683
Epochs 88, rate 5195.079294177847, time 7.565846447898366
Epochs 89, rate 5146.7332697728, time 7.546103566644888
Epochs 90, rate 5147.968689228119, time 7.515036107375636
Epochs 91, rate 5148.366131590374, time 7.550174206437077
Epochs 92, rate 5159.525772750904, time 7.594917852904473
Epochs 93, rate 5150.644242110674, time 7.557325806701556
Epochs 94, rate 5151.187428637108, time 7.538240547422902
Epochs 95, rate 5151.141795944777, time 7.535561518569011
