Updated best error: 21777.74342314396. was found in iteration 0, time 3.7832818706265243
Epochs 0, rate 21777.74342314396, time 3.801117740920745
Updated best error: 20423.34061411471. was found in iteration 1, time 3.852001047496742
Epochs 1, rate 20423.34061411471, time 3.8620038888439012
Updated best error: 20290.29779487887. was found in iteration 2, time 3.8079558345161786
Epochs 2, rate 20290.29779487887, time 3.818033806161111
Updated best error: 20232.753571059147. was found in iteration 3, time 3.794046526985767
Epochs 3, rate 20232.753571059147, time 3.8037723446905147
Updated best error: 20084.7585982198. was found in iteration 4, time 3.8333232850418426
Epochs 4, rate 20084.7585982198, time 3.8431375277068582
Epochs 5, rate 20201.944446770944, time 3.819184876490908
Epochs 6, rate 20290.410393415073, time 3.8177141159321764
Epochs 7, rate 20200.822509468384, time 3.8028426459350158
Epochs 8, rate 20087.880987277007, time 3.810839230132842
Epochs 9, rate 20092.227544820882, time 3.8212220514506043
Updated best error: 19990.372178512833. was found in iteration 10, time 3.808418983415322
Epochs 10, rate 19990.372178512833, time 3.818367100226169
Updated best error: 19863.565834605324. was found in iteration 11, time 3.821593992794078
Epochs 11, rate 19863.565834605324, time 3.8313392887248483
Epochs 12, rate 19962.172616773158, time 3.7993476958981773
Epochs 13, rate 19900.97110738291, time 3.8039226052860613
Epochs 14, rate 19987.71977836365, time 3.806533924111136
Epochs 15, rate 19974.901422573555, time 3.8011421659975895
Epochs 16, rate 20077.23831014558, time 3.798631948429829
Epochs 17, rate 20142.61617432838, time 3.813967494861572
Epochs 18, rate 20229.02492667381, time 3.810185627480678
Epochs 19, rate 20103.742004986692, time 3.8062108329249895
Epochs 20, rate 19987.977231448425, time 3.9232882582473394
Epochs 21, rate 20034.368811487708, time 3.79860597746665
Updated best error: 19837.1140154485. was found in iteration 22, time 3.800599867485289
Epochs 22, rate 19837.1140154485, time 3.810939403861994
Epochs 23, rate 19843.949248964047, time 3.8238058534225274
Epochs 24, rate 19898.582215196355, time 3.8095434644237685
Epochs 25, rate 20006.845194755955, time 3.8609764897846617
Epochs 26, rate 20057.58344561874, time 3.801298919330293
Updated best error: 19836.73814370325. was found in iteration 27, time 3.817083392463246
Epochs 27, rate 19836.73814370325, time 3.817107508362824
Epochs 28, rate 19921.302448553906, time 3.80853925372503
Epochs 29, rate 19917.41131966077, time 3.8021677099859517
Epochs 30, rate 20120.41412586285, time 3.7999808927888807
Epochs 31, rate 19998.729942388134, time 3.812409855239821
Epochs 32, rate 20032.641006581536, time 3.8191026350941684
Epochs 33, rate 20061.40383383952, time 3.858663837065251
Epochs 34, rate 20080.461316143777, time 3.812184773531044
Epochs 35, rate 19879.469184969497, time 3.8413625358298304
Epochs 36, rate 19945.49760552297, time 3.8141211564143305
Epochs 37, rate 19881.797341433466, time 3.81251466663889
Epochs 38, rate 19872.53435799073, time 3.8160275490117783
Epochs 39, rate 19895.470798671002, time 3.8452068572005373
Epochs 40, rate 19955.808665297256, time 3.801234301092336
Epochs 41, rate 19967.52538564616, time 3.831576428379776
Epochs 42, rate 19926.76930620155, time 3.8272117601482023
Epochs 43, rate 19908.93165906424, time 3.831003521230741
Epochs 44, rate 19998.36366749775, time 3.843640560589847
Epochs 45, rate 20049.32081914062, time 3.8024843084349413
