Updated best error: 16991.305544928022. was found in iteration 0, time 2.401772703975439
Epochs 0, rate 16991.305544928022, time 2.4155490648699924
Updated best error: 16644.39835287693. was found in iteration 1, time 3.1167394935910124
Epochs 1, rate 16644.39835287693, time 3.126569195155753
Epochs 2, rate 16709.491594659587, time 3.41727489742334
Updated best error: 16564.34147992614. was found in iteration 3, time 2.5956150496785995
Epochs 3, rate 16564.34147992614, time 2.608191799285123
Epochs 4, rate 16607.32264362357, time 2.541154242499033
Epochs 5, rate 16781.351026545348, time 2.536462463758653
Epochs 6, rate 16887.31313668901, time 2.4578529863792937
Epochs 7, rate 16739.562671627344, time 2.538164489582414
Epochs 8, rate 16846.019761950516, time 4.175621239410248
Epochs 9, rate 16755.886793648613, time 2.8606843164016027
Epochs 10, rate 16626.422275152814, time 2.474037536070682
Epochs 11, rate 16701.75161863377, time 2.7394419519405346
Epochs 12, rate 16748.782542828616, time 2.795761538291117
Epochs 13, rate 16827.289634242774, time 2.484009150444763
Epochs 14, rate 16748.446385696374, time 2.5192873071937356
Epochs 15, rate 16659.992131260493, time 2.42152547891601
Epochs 16, rate 16683.764649576253, time 2.4062678453628905
Epochs 17, rate 16724.588460366, time 2.3733870561409276
Epochs 18, rate 16736.775760774868, time 2.6006317746650893
Epochs 19, rate 16708.075372897474, time 2.471347686019726
Epochs 20, rate 16732.782970360935, time 2.648748554958729
Epochs 21, rate 16565.221444039937, time 2.7305642099818215
Epochs 22, rate 16819.6753244069, time 2.3126635359367356
Epochs 23, rate 16706.1094317794, time 2.2972918156301603
Epochs 24, rate 16701.78917636011, time 2.3005527178174816
Epochs 25, rate 16766.85139380256, time 2.399960301525425
Epochs 26, rate 16762.44003728993, time 2.275328416755656
Epochs 27, rate 16640.953020471097, time 2.2958609390771016
Epochs 28, rate 16818.902098291113, time 2.3012112673313823
Epochs 29, rate 16727.96771315527, time 2.306369286729023
Epochs 30, rate 16751.63499613794, time 2.370307641569525
Epochs 31, rate 16736.679445304115, time 2.303042220446514
Epochs 32, rate 16724.741728875906, time 2.2905792483943515
Epochs 33, rate 16786.63773167881, time 2.2916604444617406
Epochs 34, rate 16728.005966073302, time 2.3289256893331185
Epochs 35, rate 16660.367745253992, time 2.3560350496845786
Epochs 36, rate 16765.88503864923, time 2.3126592074113432
Epochs 37, rate 16734.973901532394, time 2.3388094971014652
Epochs 38, rate 16879.615586471373, time 2.301765005424386
Epochs 39, rate 16759.962191435712, time 2.326161636505276
Epochs 40, rate 16626.858623181368, time 2.309236295899609
Epochs 41, rate 16618.201303893482, time 2.28180229847203
Epochs 42, rate 16759.86540334729, time 2.285072785191005
Epochs 43, rate 16796.636412937933, time 2.2871356219111476
Epochs 44, rate 16776.916383212276, time 2.3362507385609206
Epochs 45, rate 16584.31053382908, time 2.3030839595012367
Epochs 46, rate 16751.18107598542, time 2.330411290458869
Epochs 47, rate 16634.922085393537, time 2.312051672342932
Epochs 48, rate 16877.591041200103, time 2.3197288754745387
Epochs 49, rate 16717.105371794107, time 2.304951395635726
Epochs 50, rate 16683.238972452215, time 2.3336842505377717
Epochs 51, rate 16790.37171229084, time 2.3043886913801543
Epochs 52, rate 16695.382286493685, time 2.2845926314766984
Epochs 53, rate 16723.034798137207, time 2.2764535161550157
Epochs 54, rate 16741.37106827969, time 2.2701988417538814
Epochs 55, rate 16692.674390818385, time 2.294631646684138
Epochs 56, rate 16841.137326078962, time 2.3979240540938918
Epochs 57, rate 16762.16964600623, time 2.2847261964634527
Epochs 58, rate 16654.218047002738, time 2.326033945893869
Epochs 59, rate 16698.632635873782, time 2.2737469704297837
Epochs 60, rate 16789.784538921613, time 2.3636674220033456
Epochs 61, rate 16678.94013626065, time 2.3008387076260988
Epochs 62, rate 16839.853758552104, time 2.2869195063831285
Epochs 63, rate 16741.161776677203, time 2.352277298195986
Epochs 64, rate 16722.136632085003, time 2.2786734154215083
Epochs 65, rate 16759.460326935383, time 2.316819199710153
Epochs 66, rate 16702.43392735059, time 2.297487525444012
Epochs 67, rate 16584.90341083484, time 2.263731761951931
Epochs 68, rate 16685.93702003137, time 2.2907310548762325
Epochs 69, rate 16698.320514515337, time 2.2733462755277287
Epochs 70, rate 16739.312433429594, time 2.294758409727365
Epochs 71, rate 16695.675521436988, time 2.30894412251655
Epochs 72, rate 16829.181554239654, time 2.2689262644271366
Epochs 73, rate 16794.210208924156, time 2.302854858455248
Epochs 74, rate 16765.78678709447, time 2.287727388931671
Epochs 75, rate 16864.143221634913, time 2.2590467851550784
Epochs 76, rate 16712.422088803472, time 2.301884348213207
Epochs 77, rate 16705.410908176334, time 2.309662961779395
Epochs 78, rate 16836.61807310347, time 2.2931203837506473
Epochs 79, rate 16825.306160559692, time 2.2685799848404713
Epochs 80, rate 16713.461310833474, time 2.2894906320725568
Epochs 81, rate 16927.475809571933, time 2.264569634804502
Epochs 82, rate 16614.259361894077, time 2.301007518894039
Epochs 83, rate 16874.536246129544, time 2.273976689815754
Epochs 84, rate 16743.007200209235, time 2.2652937300736085
Epochs 85, rate 16738.261855054618, time 2.321700504689943
Epochs 86, rate 16829.902176981537, time 2.33480811319896
Epochs 87, rate 16822.89298996167, time 2.2770211672468577
Epochs 88, rate 16772.26653688608, time 2.342277857795125
Epochs 89, rate 16928.495791246085, time 2.3198958316934295
Epochs 90, rate 16667.076705367686, time 2.279244467499666
Epochs 91, rate 16749.921455178217, time 2.289563288912177
Epochs 92, rate 16738.200084250206, time 2.266192201845115
