Updated best error: 4086.554188712817. was found in iteration 0, time 1.074702083644297
Epochs 0, rate 4086.554188712817, time 1.082154514263948
Updated best error: 2884.001707020447. was found in iteration 1, time 1.0735819311330488
Epochs 1, rate 2884.001707020447, time 1.081197917004829
Updated best error: 2883.9631284775023. was found in iteration 2, time 1.0864910472823794
Epochs 2, rate 2883.9631284775023, time 1.0865139264669779
Updated best error: 2883.8532305196663. was found in iteration 3, time 1.0894106167452264
Epochs 3, rate 2883.8532305196663, time 1.0894341142861776
Epochs 4, rate 2887.6341872274043, time 1.0756286906212154
Epochs 5, rate 2884.0811967165446, time 1.0877379628436756
Epochs 6, rate 2884.081232072661, time 1.064963589632498
Epochs 7, rate 2884.0812319885854, time 1.0690076401019724
Epochs 8, rate 2884.0812319044135, time 1.0692840453862118
Epochs 9, rate 2884.0812318201215, time 1.044081386824928
Epochs 10, rate 2884.0812317357218, time 1.0479773409501831
Epochs 11, rate 2884.0812316511856, time 1.0522665697085358
Epochs 12, rate 2884.081231566537, time 1.048400296687305
Epochs 13, rate 2884.0812314817867, time 1.0499406223320875
Epochs 14, rate 2884.081231396866, time 1.0480218626071292
Epochs 15, rate 2884.0812313118986, time 1.0535932532375227
Epochs 16, rate 2884.0812312267517, time 1.0616182818289417
Epochs 17, rate 2884.0812311414834, time 1.0562132290538102
Epochs 18, rate 2884.0812310561614, time 1.0463031411572956
Epochs 19, rate 2884.081230970655, time 1.0454590847521104
Epochs 20, rate 2884.081230885048, time 1.0719414317609335
Epochs 21, rate 2884.081230799324, time 1.0649323626375917
Epochs 22, rate 2884.081230713464, time 1.0518417589023557
Epochs 23, rate 2884.081230627504, time 1.0449965542093196
Epochs 24, rate 2884.0812305414374, time 1.0447476657818697
Epochs 25, rate 2884.0812304552533, time 1.0723124455653306
Epochs 26, rate 2884.0812303689054, time 1.0758404776679527
Epochs 27, rate 2884.081230282489, time 1.0454856740748255
Epochs 28, rate 2884.0812301958836, time 1.0503536843680195
Epochs 29, rate 2884.081230109227, time 1.0585889541152937
Epochs 30, rate 2884.0812300223956, time 1.080894613219698
Epochs 31, rate 2884.0812299354543, time 1.0536733303838446
Epochs 32, rate 2884.0812298483984, time 1.0467100196296997
Epochs 33, rate 2884.0812297612338, time 1.0479356018972794
Epochs 34, rate 2884.0812296738964, time 1.048139041133254
Epochs 35, rate 2884.0812295864644, time 1.0571178843802045
Epochs 36, rate 2884.081229498923, time 1.0461179434332735
Epochs 37, rate 2884.081229411237, time 1.0538053494624364
Epochs 38, rate 2884.081229323422, time 1.0601979173138716
Epochs 39, rate 2884.081229235486, time 1.0471215357747496
Epochs 40, rate 2884.081229147451, time 1.046768454303674
Epochs 41, rate 2884.0812290592803, time 1.0489732038367947
Epochs 42, rate 2884.0812289709793, time 1.0508817606832963
Epochs 43, rate 2884.081228882549, time 1.0479318917591627
Epochs 44, rate 2884.0812287939675, time 1.0464524742137655
Epochs 45, rate 2884.0812287053086, time 1.045521229564656
Epochs 46, rate 2884.081228616477, time 1.0488510784598475
Epochs 47, rate 2884.081228527559, time 1.0808772992418199
Epochs 48, rate 2884.0812284384874, time 1.0515876144463618
Epochs 49, rate 2884.081228349279, time 1.046704763600701
Epochs 50, rate 2884.0812282599773, time 1.0506600799349144
Epochs 51, rate 2884.081228170516, time 1.0477599886967255
Epochs 52, rate 2884.08122808097, time 1.066260901235637
Epochs 53, rate 2884.0812279912407, time 1.1250356714317604
Epochs 54, rate 2884.0812279014294, time 1.0481442971622528
Epochs 55, rate 2884.081227811473, time 1.0504625150838365
Epochs 56, rate 2884.0812277214063, time 1.081675597278263
Epochs 57, rate 2884.0812276311603, time 1.0792349448006462
Epochs 58, rate 2884.081227540798, time 1.073865138337169
