Updated best error: 27964.492614691317. was found in iteration 0, time 3.2459280461989692
Epochs 0, rate 27964.492614691317, time 3.255590173204837
Updated best error: 25359.552190054157. was found in iteration 1, time 3.29868373577483
Epochs 1, rate 25359.552190054157, time 3.308345244426164
Updated best error: 25341.38663377398. was found in iteration 2, time 3.251053292726283
Epochs 2, rate 25341.38663377398, time 3.2613291384041077
Updated best error: 25271.011123009932. was found in iteration 3, time 3.2478832889537443
Epochs 3, rate 25271.011123009932, time 3.2576663046202157
Updated best error: 25197.278947961753. was found in iteration 4, time 3.250625699321972
Epochs 4, rate 25197.278947961753, time 3.2610317090002354
Updated best error: 25123.397340705134. was found in iteration 5, time 3.289659443333221
Epochs 5, rate 25123.397340705134, time 3.30204295659496
Updated best error: 25097.714942605187. was found in iteration 6, time 3.276409303667606
Epochs 6, rate 25097.714942605187, time 3.288107678097731
Updated best error: 25078.8788099598. was found in iteration 7, time 3.2796485633589327
Epochs 7, rate 25078.8788099598, time 3.2898801965493476
Epochs 8, rate 25108.92686913554, time 3.251222722370585
Updated best error: 25075.36457063228. was found in iteration 9, time 3.3176159518552595
Epochs 9, rate 25075.36457063228, time 3.328331139709917
Epochs 10, rate 25086.615970857638, time 3.2620458134042565
Epochs 11, rate 25127.507318726646, time 3.265951970410242
Epochs 12, rate 25086.016086178523, time 3.285947450225649
Epochs 13, rate 25099.739612550748, time 3.258960524442955
Epochs 14, rate 25121.52574799819, time 3.2557058058373514
Epochs 15, rate 25121.614460089797, time 3.308701108493551
Epochs 16, rate 25115.633984426662, time 3.3136427031931817
Epochs 17, rate 25097.277502561406, time 3.278721028844302
Epochs 18, rate 25085.17698615213, time 3.2658517966847285
Epochs 19, rate 25082.520509367416, time 3.27353549257532
Epochs 20, rate 25083.247731873336, time 3.272375146894774
Epochs 21, rate 25078.95761643744, time 3.263882640916563
Epochs 22, rate 25080.136974521498, time 3.283576362831809
Updated best error: 25068.742299713605. was found in iteration 23, time 3.4876852788875112
Epochs 23, rate 25068.742299713605, time 3.501799262361601
Epochs 24, rate 25083.71431873097, time 3.386008018227585
Epochs 25, rate 25070.085752554558, time 3.2802013739274116
Epochs 26, rate 25086.843043686466, time 3.2811759035175783
Epochs 27, rate 25074.35548515041, time 3.336699974432122
Epochs 28, rate 25077.847586883665, time 3.2816684243443888
Epochs 29, rate 25081.402490166012, time 3.305327665475488
Epochs 30, rate 25081.841101206188, time 3.268436835365719
Epochs 31, rate 25071.75642555192, time 3.3052738684782526
Epochs 32, rate 25083.26875737519, time 3.264657750587503
Epochs 33, rate 25087.99273704974, time 3.309858671571419
Epochs 34, rate 25089.16364233278, time 3.280755112027691
Epochs 35, rate 25083.65316473325, time 3.305957152231713
Epochs 36, rate 25072.495193783278, time 3.2740450181954657
Epochs 37, rate 25079.18526739993, time 3.268185782690125
Epochs 38, rate 25084.314132971802, time 3.2914202130195918
Epochs 39, rate 25082.24293148816, time 3.2826244032476097
Epochs 40, rate 25069.979749365437, time 3.272386586490029
Epochs 41, rate 25086.98082844756, time 3.306365885779087
Epochs 42, rate 25076.57267086117, time 3.2730541021664976
Epochs 43, rate 25080.019800706064, time 3.309718613854784
Epochs 44, rate 25069.773529028636, time 3.2668071572261397
Epochs 45, rate 25076.796998448142, time 3.3167796249108505
Epochs 46, rate 25068.82833809194, time 3.294790255073167
Epochs 47, rate 25084.979125205515, time 3.3007314227943425
Epochs 48, rate 25080.827219511124, time 3.2904942243912956
Epochs 49, rate 25076.402611272628, time 3.2754845517556532
Epochs 50, rate 25070.865619802913, time 3.279440177269862
Epochs 51, rate 25069.134885153573, time 3.2918558450619457
Updated best error: 25067.90126223465. was found in iteration 52, time 3.292500790725171
Epochs 52, rate 25067.90126223465, time 3.2925252158020157
Epochs 53, rate 25075.425646350523, time 3.288695116629242
Epochs 54, rate 25084.597146716373, time 3.2808246771164704
