Updated best error: 23758.213618933132. was found in iteration 0, time 5.168693793340935
Epochs 0, rate 23758.213618933132, time 5.180066912333132
Epochs 1, rate 23929.64022232355, time 5.18259846320143
Epochs 2, rate 24182.930005206334, time 5.109524511804921
Epochs 3, rate 24298.417381515315, time 5.098685034317896
Epochs 4, rate 24267.45497521264, time 5.141281129210256
Epochs 5, rate 24223.24152410501, time 5.1923245900834445
Epochs 6, rate 24277.19697473621, time 5.118124302607612
Epochs 7, rate 24271.61425434696, time 5.117018990655197
Epochs 8, rate 24423.273742927908, time 5.12610017186671
Epochs 9, rate 24404.255135333788, time 5.142951309695491
Epochs 10, rate 24472.475072025918, time 5.128067472571274
Epochs 11, rate 24520.671224603193, time 5.131566751093487
Epochs 12, rate 24580.308955843888, time 5.106335338976351
Epochs 13, rate 24605.99449960489, time 5.116685387401958
Epochs 14, rate 24614.15155274506, time 5.13470707378292
Epochs 15, rate 24521.62085152635, time 5.1369646927923895
Epochs 16, rate 24557.251997482315, time 5.166734222089872
Epochs 17, rate 24515.435277796725, time 5.142975734765059
Epochs 18, rate 24537.064426800345, time 5.125688964893925
Epochs 19, rate 24464.11629754508, time 5.129519991605775
Epochs 20, rate 24313.859199240105, time 5.1207325296563795
Epochs 21, rate 24465.424661314377, time 5.1323817447701
Epochs 22, rate 24388.419969188493, time 5.120990075083682
Epochs 23, rate 24463.970544785872, time 5.141724799890653
Epochs 24, rate 24356.892349032387, time 5.105256616341649
Epochs 25, rate 24386.666762034725, time 5.115883688413305
Epochs 26, rate 24437.846409467573, time 5.128474660217762
Epochs 27, rate 24392.64457661752, time 5.118666910289903
Epochs 28, rate 24239.359446293456, time 5.1341789974685526
Epochs 29, rate 24174.375566908773, time 5.144662920050905
Epochs 30, rate 24248.52747130029, time 5.140340300044045
Epochs 31, rate 24053.317794405793, time 5.1215976101811975
Epochs 32, rate 24109.346453632876, time 5.118523760815151
Epochs 33, rate 24083.407392373123, time 5.117171724661603
Epochs 34, rate 24246.517672640883, time 5.175662050940446
Epochs 35, rate 24282.497066007956, time 5.152143176703248
Epochs 36, rate 24334.867380542135, time 5.120461071230238
Epochs 37, rate 24290.662398058703, time 5.124269218751579
Epochs 38, rate 24274.293891538407, time 5.113553412535111
Epochs 39, rate 24283.928586833055, time 5.1186715479707345
Epochs 40, rate 24230.162321654272, time 5.120665437993011
Epochs 41, rate 24258.304556132214, time 5.13511147882673
Epochs 42, rate 24398.94154416908, time 5.128888340623234
Epochs 43, rate 24432.26061898113, time 5.131893861616845
Epochs 44, rate 24435.43835293731, time 5.124691865305067
Epochs 45, rate 24466.09437651737, time 5.1315716979588615
Epochs 46, rate 24494.303528010394, time 5.136794953956269
Epochs 47, rate 24428.30808874043, time 5.137082489658496
Epochs 48, rate 24421.83605449569, time 5.140931139525492
Epochs 49, rate 24369.975923179172, time 5.141576703550527
Epochs 50, rate 24552.205748663186, time 5.1358176417707
Epochs 51, rate 24426.738115897275, time 5.126581562275533
Epochs 52, rate 24377.451768750114, time 5.128486408983008
Epochs 53, rate 24364.266090459365, time 5.22494628802815
Epochs 54, rate 24355.97455876025, time 5.230726373920334
Epochs 55, rate 24344.90557637413, time 5.19719661968702
Epochs 56, rate 24448.89617973426, time 5.112148197760689
Epochs 57, rate 24492.977781405585, time 5.14141036568617
Epochs 58, rate 24435.588402863676, time 5.13093417257187
Epochs 59, rate 24295.002294565307, time 5.151070946812979
Epochs 60, rate 24422.894064704018, time 5.118696282224846
Epochs 61, rate 24347.133272678824, time 5.152684856861015
Epochs 62, rate 24454.79496016298, time 5.137139378435677
Epochs 63, rate 24450.466303252586, time 5.144255732389865
Epochs 64, rate 24365.199829175795, time 5.119166542222956
Epochs 65, rate 24498.629324261936, time 5.124682280787965
Epochs 66, rate 24412.14676070153, time 5.141601746989181
Epochs 67, rate 24436.16792962867, time 5.142650170164416
Epochs 68, rate 24368.20240006309, time 5.128646872457466
Epochs 69, rate 24377.5616965055, time 5.128178158352966
Epochs 70, rate 24368.54734055989, time 5.137354257283732
Epochs 71, rate 24391.50353462821, time 5.1403443193557905
Epochs 72, rate 24393.090041702628, time 5.218756541042239
Epochs 73, rate 24219.681736690545, time 5.195871482064831
Epochs 74, rate 24356.45966275577, time 5.157081370431115
Epochs 75, rate 24374.106304422003, time 5.153242923450307
Epochs 76, rate 24370.587980804834, time 5.134984097414417
Epochs 77, rate 24388.784217584063, time 5.133836428052746
Epochs 78, rate 24370.860195834237, time 5.1270845951657975
Epochs 79, rate 24330.29538621265, time 5.138729790953221
Epochs 80, rate 24313.613036456743, time 5.1292386394925416
Epochs 81, rate 24348.98150399024, time 5.112257337648771
Epochs 82, rate 24312.19936439237, time 5.136065293481806
Epochs 83, rate 24346.45647061769, time 5.138782969603199
Epochs 84, rate 24338.397645146404, time 5.144597992635681
Epochs 85, rate 24329.87490350734, time 5.129840609384701
Epochs 86, rate 24335.73725736557, time 5.144512968632625
Epochs 87, rate 24347.064705754026, time 5.146758220507763
Epochs 88, rate 24417.562472985588, time 5.142505165582406
Epochs 89, rate 24352.04165044082, time 5.143644177966053
Epochs 90, rate 24304.674305808298, time 5.118297442371841
Epochs 91, rate 24251.589687399664, time 5.146543032504269
Epochs 92, rate 24388.22299277277, time 5.130148241660208
Epochs 93, rate 24512.75125073415, time 5.128000690077897
Epochs 94, rate 24562.578325245486, time 5.202226948531461
Epochs 95, rate 24628.588547462394, time 5.13813833311724
Epochs 96, rate 24599.02803394381, time 5.158034566731658
Epochs 97, rate 24609.63462598241, time 5.136705292301485
Epochs 98, rate 24600.108261325782, time 5.1734115430299425
Epochs 99, rate 24619.579858821995, time 5.135615439241519
