Updated best error: 25597.059495066595. was found in iteration 0, time 5.905372310808161
Epochs 0, rate 25597.059495066595, time 5.917975031392416
Updated best error: 24852.213924997704. was found in iteration 1, time 5.935602824785747
Epochs 1, rate 24852.213924997704, time 5.9498039965110365
Epochs 2, rate 24951.796516824725, time 5.945059657475213
Epochs 3, rate 24967.1724448153, time 5.9275743952021
Epochs 4, rate 24988.0834223175, time 5.948595728201326
Epochs 5, rate 24986.336856002654, time 5.972523645177716
Epochs 6, rate 24998.94657141428, time 5.968271517805988
Epochs 7, rate 25018.46045196927, time 5.987750670086825
Epochs 8, rate 25012.599884085907, time 6.255115275533171
Epochs 9, rate 25025.46529079036, time 6.018942728143884
Epochs 10, rate 25040.345016167197, time 5.867341231612954
Epochs 11, rate 25029.889130318465, time 5.989123111969093
Epochs 12, rate 25022.527518894516, time 6.0797259197279345
Epochs 13, rate 25047.068477851317, time 6.032938296382781
Epochs 14, rate 25021.93840325829, time 6.013537366205128
Epochs 15, rate 25040.47337172075, time 6.058843098580837
Epochs 16, rate 25042.83308174872, time 5.981367686734302
Epochs 17, rate 25031.703425116204, time 6.035688745381776
Epochs 18, rate 25038.636273729997, time 6.023609463445609
Epochs 19, rate 25036.245318938585, time 6.030051499808906
Epochs 20, rate 25039.252893306875, time 6.067640454217326
Epochs 21, rate 25050.83731077856, time 6.055138525727671
Epochs 22, rate 25048.997426392023, time 6.058921939024003
Epochs 23, rate 25043.37270891113, time 6.1785534851951525
Epochs 24, rate 25048.230624768545, time 6.0243752977694385
Epochs 25, rate 25049.568075949213, time 6.005726288887672
Epochs 26, rate 25054.934761698627, time 6.016948838136159
Epochs 27, rate 25049.251894534624, time 5.941681267606327
Epochs 28, rate 25039.08961624251, time 5.952869498054497
Epochs 29, rate 25047.67513668371, time 6.022062335890951
Epochs 30, rate 25046.749072732342, time 5.994813536177389
Epochs 31, rate 25050.951139517238, time 5.993322679045377
Epochs 32, rate 25047.27836501845, time 5.959217544266721
Epochs 33, rate 25049.522948456713, time 5.9758030980301555
Epochs 34, rate 25044.3912303429, time 7.008126439031912
Epochs 35, rate 25048.68259294181, time 6.604304192966083
Epochs 36, rate 25052.048996511643, time 5.972443258855492
Epochs 37, rate 25048.427033219436, time 5.979080695804441
Epochs 38, rate 25027.009841174055, time 5.860264761635335
Epochs 39, rate 25061.79175046826, time 6.027383292210288
Epochs 40, rate 25063.460527599786, time 6.026402269868413
Epochs 41, rate 25052.935321124573, time 5.9641458442783915
Epochs 42, rate 25054.354104142076, time 6.002941521117464
Epochs 43, rate 25051.931607813207, time 6.00195153261302
Epochs 44, rate 25047.051564358444, time 6.132313725567656
Epochs 45, rate 25035.4377868106, time 6.039303656580159
Epochs 46, rate 25044.695678381482, time 6.103627247357508
Epochs 47, rate 25046.4952912378, time 6.069770073459949
Epochs 48, rate 25052.22605961528, time 6.069627233140636
Epochs 49, rate 25054.34262422981, time 6.066302021936281
Epochs 50, rate 25047.823955057775, time 6.069402460649144
Epochs 51, rate 25056.227033381998, time 6.045314080198295
Epochs 52, rate 25053.449789824645, time 6.134673682536231
Epochs 53, rate 25052.60477308681, time 6.066721885901643
Epochs 54, rate 25052.66697686527, time 6.062156561034499
Epochs 55, rate 25050.760892314513, time 6.043179514090298
Epochs 56, rate 25051.172038478257, time 6.1555973152280785
Epochs 57, rate 25047.2724357487, time 6.065953578130575
