Updated best error: 26013.996547679657. was found in iteration 0, time 3.907000752231397
Epochs 0, rate 26013.996547679657, time 3.917419747394888
Updated best error: 25101.6955996743. was found in iteration 1, time 3.9938708519475767
Epochs 1, rate 25101.6955996743, time 4.003884823709086
Updated best error: 25081.420177370466. was found in iteration 2, time 3.9420692862113356
Epochs 2, rate 25081.420177370466, time 3.9519240312147303
Epochs 3, rate 25097.52246762823, time 3.927025603974471
Epochs 4, rate 25120.035176935016, time 3.928451842872164
Updated best error: 25072.589771162704. was found in iteration 5, time 3.9192711062823946
Epochs 5, rate 25072.589771162704, time 3.9289261221856577
Updated best error: 25037.947669731562. was found in iteration 6, time 3.922629090389819
Epochs 6, rate 25037.947669731562, time 3.932442405519396
Updated best error: 25034.529732780105. was found in iteration 7, time 3.9662269225518685
Epochs 7, rate 25034.529732780105, time 3.97580464391649
Epochs 8, rate 25040.23349913092, time 3.941912842052261
Epochs 9, rate 25044.59162838026, time 3.9453107101471687
Epochs 10, rate 25054.73992065649, time 3.9216564158632536
Epochs 11, rate 25056.91086009336, time 3.9354831728232966
Epochs 12, rate 25058.84337438336, time 3.949870160624414
Epochs 13, rate 25060.845302601025, time 3.923871368275286
Epochs 14, rate 25056.505836430286, time 3.931524455529143
Epochs 15, rate 25040.029438664023, time 3.9551626725515234
Epochs 16, rate 25046.56402873997, time 3.9451508650345204
Epochs 17, rate 25052.17929264612, time 3.920345500424446
Epochs 18, rate 25048.007530364604, time 3.9444230596200214
Epochs 19, rate 25056.92087444738, time 3.927741969793715
Epochs 20, rate 25061.161025489666, time 3.9453549226273026
Epochs 21, rate 25052.760658576353, time 3.937495613532519
Epochs 22, rate 25051.453574618816, time 3.9255511332776223
Epochs 23, rate 25055.880592903275, time 3.933368084959511
Epochs 24, rate 25048.129226131798, time 3.9677023207841557
Epochs 25, rate 25051.290572704387, time 3.9418247262765362
Epochs 26, rate 25070.463747324477, time 3.935049705029087
Epochs 27, rate 25045.231235178366, time 3.949580151504051
Epochs 28, rate 25050.650044728205, time 3.9289876486436697
Epochs 29, rate 25058.50946201786, time 3.9320754110303824
Epochs 30, rate 25050.512920143057, time 3.945730574101617
Epochs 31, rate 25060.669754146846, time 3.9350429031110252
Epochs 32, rate 25070.536078151523, time 3.9307045150235354
Epochs 33, rate 25050.749300919284, time 3.93596425405849
Epochs 34, rate 25048.2941881585, time 3.943310945742269
Epochs 35, rate 25055.473461838486, time 3.9317566483368864
Epochs 36, rate 25059.479032879844, time 3.9437410125756287
Epochs 37, rate 25062.31123089894, time 3.9512456943084544
Epochs 38, rate 25064.05398344484, time 3.9329135930493067
Epochs 39, rate 25065.61815697124, time 3.9289969239871425
Epochs 40, rate 25061.54770241006, time 3.952772416112566
Epochs 41, rate 25064.536594499787, time 3.947411575813021
Epochs 42, rate 25054.061042254136, time 3.9438934374156815
Epochs 43, rate 25059.82843028079, time 3.9253025540274393
Epochs 44, rate 25056.672877065594, time 3.935791423460614
Epochs 45, rate 25058.235749278676, time 3.9656005275792268
Epochs 46, rate 25067.341226875873, time 4.017103427209804
Epochs 47, rate 25059.518867061677, time 3.9543674662927515
Epochs 48, rate 25061.967601767545, time 3.9452142465597717
Epochs 49, rate 25061.127333738834, time 3.976514826175844
Epochs 50, rate 25062.75003746869, time 3.966830747522181
Epochs 51, rate 25062.882297885546, time 3.978070610726718
Epochs 52, rate 25063.133650727857, time 3.9548491658861167
Epochs 53, rate 25062.91771501101, time 3.935236139466724
Epochs 54, rate 25066.42952847685, time 3.983650967526046
