Updated best error: 23219.891098930915. was found in iteration 0, time 4.911055314762052
Epochs 0, rate 23219.891098930915, time 4.922426269506104
Epochs 1, rate 23805.663871347628, time 4.9739906955946935
Epochs 2, rate 23961.951888971416, time 4.943834693549434
Epochs 3, rate 23854.84160735299, time 4.946078708730056
Epochs 4, rate 23850.285059847654, time 4.914148023992311
Epochs 5, rate 23874.86272927193, time 4.931263509148266
Epochs 6, rate 23952.38979482557, time 4.911780646740226
Epochs 7, rate 24126.30675917857, time 4.9297541013220325
Epochs 8, rate 24157.876931481245, time 4.931144166388549
Epochs 9, rate 24165.641570768938, time 4.945091502828291
Epochs 10, rate 24128.2680632833, time 4.917945968642016
Epochs 11, rate 24143.08725428145, time 4.916745429800358
Epochs 12, rate 24225.244404040353, time 4.990236153375008
Epochs 13, rate 24210.83408884145, time 4.965312373533379
Epochs 14, rate 24181.682165250593, time 4.919383956308593
Epochs 15, rate 24177.691940333872, time 4.959259901661426
Epochs 16, rate 24274.445727468254, time 4.974748182110488
Epochs 17, rate 24096.443126384474, time 4.938747166772373
Epochs 18, rate 24132.45487252765, time 4.9343466338614235
Epochs 19, rate 24295.873431986554, time 4.928670741021051
Epochs 20, rate 24116.829262908275, time 4.925572775755427
Epochs 21, rate 24027.28014755962, time 4.920194621474366
Epochs 22, rate 24106.260272818672, time 4.929204073370784
Epochs 23, rate 24254.356327980036, time 4.945840641536051
Epochs 24, rate 24043.62972814332, time 4.934668179164873
Epochs 25, rate 23778.763935476527, time 4.948990548728034
Epochs 26, rate 23806.5822218576, time 4.988519596168771
Epochs 27, rate 24226.33232727946, time 4.949258606196963
Epochs 28, rate 24305.92507689045, time 4.927712288685143
Epochs 29, rate 24226.972227816867, time 4.926559363288106
Epochs 30, rate 24192.196804797877, time 4.93396912731987
Epochs 31, rate 24186.69790241923, time 4.9252843125286745
Epochs 32, rate 24257.07426498476, time 4.9428852073906455
Epochs 33, rate 24279.718107502125, time 4.9575594217312755
Epochs 34, rate 24319.69882458134, time 4.938778393770917
Epochs 35, rate 24299.93910061138, time 4.965926401375327
