Updated best error: 4256.770393838615. was found in iteration 0, time 1.133771191458436
Epochs 0, rate 4256.770393838615, time 1.1417186163289443
Updated best error: 3004.4428038016754. was found in iteration 1, time 1.1305483182095486
Epochs 1, rate 3004.4428038016754, time 1.1386793949136518
Updated best error: 3004.4192101546255. was found in iteration 2, time 1.144314476247473
Epochs 2, rate 3004.4192101546255, time 1.144340138035659
Updated best error: 3004.3862764913433. was found in iteration 3, time 1.1193464839179796
Epochs 3, rate 3004.3862764913433, time 1.1193699814589309
Updated best error: 3004.338225351522. was found in iteration 4, time 1.1168699667728106
Epochs 4, rate 3004.338225351522, time 1.1168950102046438
Updated best error: 3004.265323726079. was found in iteration 5, time 1.1157222974038632
Epochs 5, rate 3004.265323726079, time 1.1157467224793436
Updated best error: 3004.1559519085095. was found in iteration 6, time 1.1303600287042173
Epochs 6, rate 3004.1559519085095, time 1.130384453779243
Updated best error: 3004.0247135620084. was found in iteration 7, time 1.119017518344208
Epochs 7, rate 3004.0247135620084, time 1.1190425617760411
Updated best error: 3003.9263969225176. was found in iteration 8, time 1.121217939383314
Epochs 8, rate 3003.9263969225176, time 1.1212414369242651
Updated best error: 3003.5874489279167. was found in iteration 9, time 1.1269603055420703
Epochs 9, rate 3003.5874489279167, time 1.1269847306175507
Epochs 10, rate 3004.360095825997, time 1.1412004337148574
Epochs 11, rate 3004.1007433866457, time 1.1296384068546104
Epochs 12, rate 3169.3343758031738, time 1.1317995622653143
Epochs 13, rate 3004.5702334389216, time 1.121914826979264
Epochs 14, rate 3004.570233328452, time 1.1275632029746703
Epochs 15, rate 3004.5702332425735, time 1.1347076921365442
Epochs 16, rate 3004.570233156566, time 1.1223581884755731
Epochs 17, rate 3004.570233070481, time 1.130882539812319
Epochs 18, rate 3004.570232984315, time 1.1273984110093807
Epochs 19, rate 3004.570232898065, time 1.1430514834214591
Epochs 20, rate 3004.5702328116936, time 1.1298993532304848
Epochs 21, rate 3004.5702327252584, time 1.1369130600260178
Epochs 22, rate 3004.5702326387286, time 1.1515594483148561
Epochs 23, rate 3004.570232552113, time 1.1697601488504006
