Updated best error: 2137.957952710539. was found in iteration 0, time 3.1255523081636056
Epochs 0, rate 2137.957952710539, time 3.1435477143968455
Updated best error: 2048.8570986612385. was found in iteration 1, time 3.1649072883010376
Epochs 1, rate 2048.8570986612385, time 3.1749871150241233
Epochs 2, rate 2110.069149982821, time 3.1198788887122646
Epochs 3, rate 2104.2601338342406, time 3.1156317082059104
Epochs 4, rate 2109.713854134698, time 3.1358569074072875
Epochs 5, rate 2107.294009402917, time 3.1371835909376387
Epochs 6, rate 2106.9910211210236, time 3.177683148649521
Epochs 7, rate 2137.9574140972218, time 3.1419631762837525
Epochs 8, rate 2146.1168827239785, time 3.1203720279154368
Epochs 9, rate 2146.10216119716, time 3.133955461642472
Epochs 10, rate 2144.981217388394, time 3.125764713564422
Epochs 11, rate 2146.3304788217492, time 3.130865535000339
Epochs 12, rate 2146.1551731494483, time 3.1406658646592405
Epochs 13, rate 2146.1237479837355, time 3.1383154921932146
Epochs 14, rate 2146.05231893309, time 3.132867772859754
Epochs 15, rate 2143.4919571885707, time 3.1563173911708873
Epochs 16, rate 2183.6014735988856, time 3.1359790327842347
Epochs 17, rate 2184.973953799654, time 3.1373861026077066
Epochs 18, rate 2183.6800312467653, time 3.1348492957185954
Epochs 19, rate 2187.23404826927, time 3.1407038935867604
Epochs 20, rate 2185.0857983615065, time 3.143783308158163
Epochs 21, rate 2184.838717252493, time 3.1420741712208837
Epochs 22, rate 2184.8577672649676, time 3.1526013787370175
Epochs 23, rate 2217.571085661865, time 3.1248888117843308
Epochs 24, rate 2224.491010460996, time 3.1473249440896325
Epochs 25, rate 2235.823890536839, time 3.1403675077308435
Epochs 26, rate 2264.1641333653433, time 3.197174977220129
Epochs 27, rate 2265.094864098448, time 3.13440284243552
Epochs 28, rate 2264.45426763555, time 3.160623624717118
Epochs 29, rate 2264.443790879152, time 3.1367686738085467
Epochs 30, rate 2264.4244418405865, time 3.1477435713168234
Epochs 31, rate 2257.1404416545265, time 3.1501811320486013
Epochs 32, rate 2224.5027020251887, time 3.1545748630014714
Epochs 33, rate 2224.1158355601074, time 3.1371498905064072
Epochs 34, rate 2248.034234453992, time 3.1298403002147097
Epochs 35, rate 2265.519906747256, time 3.2111943521886133
Epochs 36, rate 2264.337137142756, time 3.1726336507417727
Epochs 37, rate 2264.488575057138, time 3.138600245292764
Epochs 38, rate 2268.881747281916, time 3.135990163194947
Epochs 39, rate 2220.775721492948, time 3.1214547698618844
Epochs 40, rate 2216.708767130988, time 3.1484379855100997
Epochs 41, rate 2211.0410060448908, time 3.1407502703077625
Epochs 42, rate 2170.9518274642, time 3.131585301773157
Epochs 43, rate 2215.7814678435175, time 3.1603067170944996
Epochs 44, rate 2214.3451167819367, time 3.1317272145824973
Epochs 45, rate 2256.894164586106, time 3.1752641386410687
Epochs 46, rate 2203.2623891932217, time 3.1376074742001947
Epochs 47, rate 2133.161263510294, time 3.1979463767493144
Epochs 48, rate 2118.919445973548, time 3.1327969710400794
Epochs 49, rate 2107.499557989742, time 3.2007023909827694
Epochs 50, rate 2098.6934892135937, time 3.1498008428607136
Epochs 51, rate 2091.834713239668, time 3.142895657598274
Epochs 52, rate 2085.0294671758775, time 3.1509107925230637
Epochs 53, rate 2087.5537222876974, time 3.159913442475954
Epochs 54, rate 2114.6816354585126, time 3.13531831902219
Epochs 55, rate 2112.713573797024, time 3.1355820480093826
Epochs 56, rate 2112.8563889351803, time 3.144824001850793
Epochs 57, rate 2113.7725678550028, time 3.1253961731563322
Epochs 58, rate 2107.5194876385576, time 3.1488862938422244
Epochs 59, rate 2105.614209405387, time 3.1551558087812737
Epochs 60, rate 2105.082763891877, time 3.1315627317817416
Epochs 61, rate 2102.690191311638, time 3.152359292260371
Epochs 62, rate 2099.6952684538787, time 3.1654044468014035
Epochs 63, rate 2084.7586579548465, time 3.128845983213978
Epochs 64, rate 2061.2299944053734, time 3.171161653503077
Epochs 65, rate 2351.71169968634, time 3.1463139314728323
Epochs 66, rate 2264.525919386705, time 3.1686551460588817
Epochs 67, rate 2255.5900574309176, time 3.1940083744120784
Epochs 68, rate 2167.079128803328, time 3.1317064996401314
Epochs 69, rate 2269.929314622935, time 3.1456553819589317
Epochs 70, rate 2327.3980105578703, time 3.150118059682427
Epochs 71, rate 2327.540462177136, time 3.1552470163733233
Epochs 72, rate 2324.637733216612, time 3.153231483855052
Epochs 73, rate 2344.82407916058, time 3.1465186074201483
Epochs 74, rate 2336.7092160903403, time 3.148046256741509
Epochs 75, rate 2320.7720624920867, time 3.143259869510075
Epochs 76, rate 2319.5733403909217, time 3.1469480558880605
Epochs 77, rate 2318.4097172671363, time 3.14341847790638
Epochs 78, rate 2317.1239732374456, time 3.129889150353847
Epochs 79, rate 2284.322014157049, time 3.15192458772799
Epochs 80, rate 2284.3120226370097, time 3.1317120648454875
Epochs 81, rate 2314.3173386385483, time 3.1685212719312403
Epochs 82, rate 2270.2474137048885, time 3.159206351992907
Epochs 83, rate 2284.0580110675737, time 3.1307239314191975
Epochs 84, rate 2264.2996721583595, time 3.1492517424339894
Epochs 85, rate 2264.174396421352, time 3.182241053233156
Epochs 86, rate 2240.680743730859, time 3.1493679934355896
Epochs 87, rate 2224.630636045593, time 3.162874441826716
Epochs 88, rate 2224.625729964004, time 3.168829213391291
Epochs 89, rate 2224.617839899037, time 3.1582547015859745
Epochs 90, rate 2224.5977192443565, time 3.1452580880140886
Epochs 91, rate 2214.0788195885375, time 3.1614435652445536
Epochs 92, rate 2209.71117360763, time 3.1416546164255124
Epochs 93, rate 2152.4707637838987, time 3.152479871729156
Epochs 94, rate 2161.211801745777, time 3.146422762190923
Epochs 95, rate 2224.574155310935, time 3.1487895211030263
Epochs 96, rate 2177.196302778663, time 3.5578204917837866
Epochs 97, rate 2103.6408285176663, time 3.161856627295492
Epochs 98, rate 2184.4495374995377, time 3.24812382957316
Epochs 99, rate 2185.1189326869344, time 3.230313002713956
