Updated best error: 2139.0575775208913. was found in iteration 0, time 4.118628572206944
Epochs 0, rate 2139.0575775208913, time 4.129992415866582
Updated best error: 1906.5218824634621. was found in iteration 1, time 4.156356656807475
Epochs 1, rate 1906.5218824634621, time 4.166613024252001
Updated best error: 1904.8122409926516. was found in iteration 2, time 4.079549688176485
Epochs 2, rate 1904.8122409926516, time 4.089795543564833
Epochs 3, rate 1923.9427160623115, time 4.096597772499081
Epochs 4, rate 1958.196607311415, time 4.099261960785952
Epochs 5, rate 1947.8492140199105, time 4.096818834892474
Epochs 6, rate 1923.4045988551268, time 4.08803817484295
Epochs 7, rate 1917.4390560822467, time 4.080373338831123
Updated best error: 1821.1377412457407. was found in iteration 8, time 4.093048097915016
Epochs 8, rate 1821.1377412457407, time 4.103495846648002
Updated best error: 1775.9031656905906. was found in iteration 9, time 4.106781173904892
Epochs 9, rate 1775.9031656905906, time 4.118951354219462
Epochs 10, rate 2036.946758124474, time 4.098018137010513
Epochs 11, rate 2018.5193188766289, time 4.089840683576767
Epochs 12, rate 2049.5114524983387, time 4.107474660529988
Epochs 13, rate 2020.6447442724555, time 4.12094555341173
Epochs 14, rate 2003.9012054177351, time 4.089852741541108
Epochs 15, rate 2016.6693245331096, time 4.09776059158321
Epochs 16, rate 2034.8717223532394, time 4.073180308696465
Epochs 17, rate 2026.2296333764918, time 4.095033640129259
Epochs 18, rate 2030.0831292927874, time 4.0961101985303685
Epochs 19, rate 2027.1476011164682, time 4.113737064370071
Epochs 20, rate 1999.1970744821726, time 4.078481786782504
Epochs 21, rate 2022.75068691684, time 4.097488514802535
Epochs 22, rate 2058.7494272582317, time 4.111911367275752
Epochs 23, rate 2052.9208613716983, time 4.109868008745252
Epochs 24, rate 2026.7978951006698, time 4.105476751195965
Epochs 25, rate 2025.7183330660716, time 4.079142500529997
Epochs 26, rate 2024.1806114146261, time 4.1207003751333104
Epochs 27, rate 2020.3707565406023, time 4.10935137202614
Epochs 28, rate 1989.1706663906282, time 4.103049393364927
Epochs 29, rate 1985.6153902140372, time 4.11582185277075
Epochs 30, rate 1995.8862949492645, time 4.139141925465083
Epochs 31, rate 1954.9729703908336, time 4.100003370040213
Epochs 32, rate 1978.0736632130058, time 4.114242570678471
Epochs 33, rate 1972.4036774873664, time 4.096690216771094
Epochs 34, rate 1971.5246824125045, time 4.17304145678645
Epochs 35, rate 1951.6427107988475, time 4.158708265968016
Epochs 36, rate 2023.2825721130037, time 4.113198166829534
Epochs 37, rate 2024.2185913463086, time 4.1087212669081055
Epochs 38, rate 2023.3746277396112, time 4.105951339690364
Epochs 39, rate 2039.1858967754265, time 4.087295219709631
Epochs 40, rate 2023.0903333696226, time 4.406592482453561
Epochs 41, rate 2053.8169419253363, time 4.205498981100391
Epochs 42, rate 2024.7119346115808, time 4.13110298383981
Epochs 43, rate 2024.478260325744, time 4.0955376005586
Epochs 44, rate 2024.4527262011432, time 4.8398453985428205
Epochs 45, rate 2024.3814174158072, time 4.125897350982996
Epochs 46, rate 2023.759715460363, time 4.125434202098404
Epochs 47, rate 2024.4980562256505, time 4.105065235053189
Epochs 48, rate 2024.4933402451152, time 4.105606606026413
Epochs 49, rate 2024.4858571711095, time 4.115346336737275
Epochs 50, rate 2024.4758680494542, time 4.188838297035545
Epochs 51, rate 2024.4609542909004, time 4.230208191307611
Epochs 52, rate 2024.4341975781958, time 4.115868538676295
Epochs 53, rate 2024.3644494222135, time 4.106863106106175
Epochs 54, rate 2023.5391752966664, time 4.1512682024767855
Epochs 55, rate 2022.2481415804996, time 4.114962646635831
Epochs 56, rate 2024.4851599832807, time 4.114001720881788
Epochs 57, rate 2024.4810852329565, time 4.112912486190908
Epochs 58, rate 2024.4728818195279, time 4.102855847842875
Epochs 59, rate 2024.4614349840037, time 4.127683473285288
Epochs 60, rate 2024.4431716890015, time 4.110255409003003
Epochs 61, rate 2024.4047028689358, time 4.11972924649308
Epochs 62, rate 2024.182070154786, time 4.142198770015966
Epochs 63, rate 2024.0098165514635, time 4.143175773046096
Epochs 64, rate 2026.1581266105509, time 4.120476530122687
Epochs 65, rate 2024.4039321879982, time 4.109963853989029
Epochs 66, rate 2024.2953451227863, time 4.124437411679537
Epochs 67, rate 2023.7876313609324, time 4.102602012571879
Epochs 68, rate 2006.8759849907076, time 4.10335269717325
Epochs 69, rate 2003.5753559621999, time 4.109585110723856
Epochs 70, rate 1972.3383036257737, time 4.106778082117671
Epochs 71, rate 2005.5687476164808, time 4.153259928250918
Epochs 72, rate 1975.9316103232316, time 4.11371542190318
Epochs 73, rate 1964.4878380049886, time 4.115965311444597
Epochs 74, rate 1933.0525252564837, time 4.123629838286433
Epochs 75, rate 1918.1242189613479, time 4.108850503384019
Epochs 76, rate 2019.4307213905413, time 4.114838357025292
Epochs 77, rate 2002.6892932194578, time 4.112892698787618
Epochs 78, rate 1921.3644081217813, time 4.139251374523155
Epochs 79, rate 1950.3403460699226, time 4.105917639259133
Epochs 80, rate 1920.3339471375893, time 4.095999512734124
Epochs 81, rate 1906.7243285439536, time 4.124558300332865
Epochs 82, rate 2054.246327824623, time 4.132146150994231
Epochs 83, rate 2055.9177713846807, time 4.112896408914821
Epochs 84, rate 2055.348736496806, time 4.142698092779028
Epochs 85, rate 2058.1194764465677, time 4.121575658529764
Epochs 86, rate 2055.7067896634208, time 4.11518896506459
Epochs 87, rate 2055.7032488363225, time 4.098180146378581
Epochs 88, rate 2055.004728912729, time 4.138943433077657
Epochs 89, rate 2066.2080492507334, time 4.140042252285639
Epochs 90, rate 2062.3302860738527, time 4.114203614226426
Epochs 91, rate 2051.811477931962, time 4.119562908643275
Epochs 92, rate 2088.0131330694044, time 4.091452120206668
Epochs 93, rate 2087.976199267673, time 4.126539204880828
Epochs 94, rate 2087.8906047885757, time 4.121638112512301
Epochs 95, rate 2086.313615050672, time 4.137428460031515
Epochs 96, rate 2072.5162774027813, time 4.127086450229399
Epochs 97, rate 2095.07076673204, time 4.099154366776929
Epochs 98, rate 2036.0197356014812, time 4.13566769035242
Epochs 99, rate 2060.8088330610303, time 4.147196944322786
