Updated best error: 6419.811573705535. was found in iteration 0, time 1.9370061844965676
Epochs 0, rate 6419.811573705535, time 1.9454683910153108
Updated best error: 5783.1238100020255. was found in iteration 1, time 1.9511714915424818
Epochs 1, rate 5783.1238100020255, time 1.9597552050909144
Epochs 2, rate 5783.761624650243, time 1.9243802755518118
Epochs 3, rate 5783.749353663099, time 1.925557626025693
Epochs 4, rate 5783.733481795915, time 1.9208772868805681
Epochs 5, rate 5783.712106172577, time 1.918971821811283
Epochs 6, rate 5783.681435298316, time 1.9651243931948557
Epochs 7, rate 5783.632991442404, time 1.9263342815829674
Epochs 8, rate 5783.54286881623, time 1.9336877751920838
Epochs 9, rate 5783.304114351392, time 1.9301368638989516
Updated best error: 5780.341251995806. was found in iteration 10, time 1.9237112139890087
Epochs 10, rate 5780.341251995806, time 1.9330196411683573
Updated best error: 5734.600807772064. was found in iteration 11, time 1.9180897364931297
Epochs 11, rate 5734.600807772064, time 1.9264966001210269
Epochs 12, rate 5783.775955939285, time 1.9229407419843483
Epochs 13, rate 5783.837771454029, time 1.9512685734953266
Epochs 14, rate 5783.835363383802, time 1.9248452795072808
Epochs 15, rate 5783.832587590563, time 1.928355379284767
Epochs 16, rate 5783.829449634078, time 1.9252076363263768
Epochs 17, rate 5783.8258690136345, time 1.930033289216226
Epochs 18, rate 5783.821738505824, time 1.928758547619509
Epochs 19, rate 5783.816912459883, time 1.9300969799151062
Epochs 20, rate 5783.811187782607, time 1.9261493930389406
Epochs 21, rate 5783.804272364047, time 1.9605494838106097
Epochs 22, rate 5783.79573007486, time 1.923543948600127
Epochs 23, rate 5783.784879178621, time 1.9255029014821048
Epochs 24, rate 5783.770590534417, time 1.9303947184962453
Epochs 25, rate 5783.750847455031, time 1.966047290035931
Epochs 26, rate 5783.721657687256, time 1.9288120354394778
Epochs 27, rate 5783.673838412219, time 1.924148701094964
Epochs 28, rate 5783.580415355472, time 1.9297871833914542
Epochs 29, rate 5783.30980505473, time 1.9273063377477229
Epochs 30, rate 5821.597603630513, time 1.9197098301010556
Epochs 31, rate 5796.616539570962, time 1.8949149775507976
Epochs 32, rate 5783.862807761653, time 1.893195019387349
Epochs 33, rate 5783.8618111751175, time 1.9003376534819836
Epochs 34, rate 5783.8608612578655, time 1.9032241408785922
Epochs 35, rate 5783.859838312008, time 1.96958397913113
Epochs 36, rate 5783.858732368763, time 2.063099863618845
Epochs 37, rate 5783.857532758806, time 1.9561362746098894
Epochs 38, rate 5783.856226901999, time 1.9685250438997173
Epochs 39, rate 5783.854799853095, time 1.964532935358875
Epochs 40, rate 5783.853233718351, time 1.949127514664724
Epochs 41, rate 5783.851506889184, time 1.974877727763669
Epochs 42, rate 5783.849593024577, time 1.9648142874939367
Epochs 43, rate 5783.847459678015, time 1.9437045295489952
Epochs 44, rate 5783.845066418057, time 1.9356992883622297
Epochs 45, rate 5783.84236220703, time 1.932424164006079
Epochs 46, rate 5783.839281674614, time 1.9648619009312824
Epochs 47, rate 5783.835739699946, time 1.9330629261021386
Epochs 48, rate 5783.831623333744, time 1.9437880076584406
Epochs 49, rate 5783.826779397483, time 1.939928227380733
Epochs 50, rate 5783.820994799874, time 1.930053385796782
Epochs 51, rate 5783.8139640315485, time 1.925335326915956
Epochs 52, rate 5783.805232902847, time 1.9612049415300135
Epochs 53, rate 5783.794095446171, time 1.92814761155023
Epochs 54, rate 5783.779391128234, time 1.949802759787417
Epochs 55, rate 5783.759068182547, time 1.9347797924856422
Epochs 56, rate 5783.72912292741, time 1.9373076332121855
Epochs 57, rate 5783.680545957423, time 1.9638756225685938
Epochs 58, rate 5783.587875143236, time 1.9434021533015766
Epochs 59, rate 5783.338552400414, time 1.9335637947442592
Epochs 60, rate 5784.263908540232, time 1.9586879220441915
Epochs 61, rate 5785.014871292005, time 1.9441942677731276
Epochs 62, rate 5783.886999444154, time 1.9716366130014649
Epochs 63, rate 5783.886692622135, time 1.949963532431866
Epochs 64, rate 5783.886679962806, time 1.9719145641793148
Epochs 65, rate 5783.886669604654, time 1.993574968444591
Epochs 66, rate 5783.886659202807, time 2.0355239534255816
Epochs 67, rate 5783.886648754081, time 1.988222785126709
Epochs 68, rate 5783.886638257929, time 1.9457655112346401
Epochs 69, rate 5783.886627714062, time 1.9356436362941167
Epochs 70, rate 5783.886617122029, time 1.9395637063207687
Epochs 71, rate 5783.886606481686, time 1.9383640950109111
Epochs 72, rate 5783.886595792568, time 1.9549669627667754
Epochs 73, rate 5783.886585054378, time 1.9753022293953109
Epochs 74, rate 5783.886574266698, time 1.9375274588892353
Epochs 75, rate 5783.8865634291315, time 1.9527498461029609
Epochs 76, rate 5783.886552541445, time 1.9478626667696517
Epochs 77, rate 5783.886541603316, time 1.9314799338681041
Epochs 78, rate 5783.886530614137, time 1.949489871476544
Epochs 79, rate 5783.886519573867, time 1.9310090555154602
Epochs 80, rate 5783.886508481803, time 1.9361958285080618
Epochs 81, rate 5783.8864973376985, time 1.9384274765470764
Epochs 82, rate 5783.886486141251, time 1.9360412394235027
Epochs 83, rate 5783.88647489205, time 1.9429928014069446
Epochs 84, rate 5783.886463589686, time 1.9356229213590268
Epochs 85, rate 5783.8864522335725, time 1.9368800397933228
Epochs 86, rate 5783.886440823621, time 1.9342736678154324
Epochs 87, rate 5783.886429359229, time 1.9324405504448805
Epochs 88, rate 5783.886417840026, time 1.9411630849936046
Epochs 89, rate 5783.886406265731, time 1.9366088905444485
Epochs 90, rate 5783.886394635853, time 1.9330548874713713
Epochs 91, rate 5783.886382949841, time 1.9663345165608916
Epochs 92, rate 5783.886371207478, time 1.9509442455964745
Epochs 93, rate 5783.886359408199, time 1.9400701401609695
Epochs 94, rate 5783.886347551589, time 1.9371787059135386
Epochs 95, rate 5783.886335637293, time 1.9428345021806308
Epochs 96, rate 5783.886323664725, time 1.9375571399868932
Epochs 97, rate 5783.886311633633, time 1.9339072916918667
Epochs 98, rate 5783.886299543477, time 1.932307603834488
Epochs 99, rate 5783.886287393706, time 1.9321724929759512
