Updated best error: 24299.83428962937. was found in iteration 0, time 4.681430233482388
Epochs 0, rate 24299.83428962937, time 4.692564976110589
Epochs 1, rate 24564.207024288346, time 4.761772036130424
Epochs 2, rate 24697.41344525132, time 4.690882737690117
Epochs 3, rate 24603.473338319363, time 4.676637971846503
Epochs 4, rate 24673.00018016007, time 4.711954157522996
Epochs 5, rate 24764.239298168624, time 4.704680431896122
Epochs 6, rate 24732.823312584078, time 4.683196568366839
Epochs 7, rate 24712.176999056937, time 4.704758653984754
Epochs 8, rate 24722.614838512698, time 4.70498311733536
Epochs 9, rate 24760.054389156867, time 4.700255783100147
Epochs 10, rate 24776.841395652213, time 4.779115385608748
Epochs 11, rate 24748.41948418067, time 4.701799200527603
Epochs 12, rate 24842.738389734677, time 4.716303676032112
Epochs 13, rate 24774.595729589044, time 4.706346283870516
Epochs 14, rate 24778.31201949146, time 4.709706432229723
Epochs 15, rate 24769.990532978118, time 4.687256077755592
Epochs 16, rate 24818.366305087824, time 4.700080169903231
Epochs 17, rate 24811.121790719048, time 4.7208213874691864
Epochs 18, rate 24808.791967981306, time 4.784102120305761
Epochs 19, rate 24876.19571954613, time 4.752130005712388
Epochs 20, rate 24827.090413964124, time 4.711023531242972
Epochs 21, rate 24832.030884021708, time 4.800080448156223
Epochs 22, rate 24842.088778411497, time 4.700641637464287
Epochs 23, rate 24844.796754344592, time 4.714550326636527
Epochs 24, rate 24864.450842521008, time 4.710978082046495
Epochs 25, rate 24896.623471025443, time 4.704188529431121
Epochs 26, rate 24883.09529351831, time 4.708642550147488
Epochs 27, rate 24866.01486721137, time 4.697235112369526
Epochs 28, rate 24853.826964120002, time 4.698671554157045
Epochs 29, rate 24854.525212942703, time 4.701119936085888
Epochs 30, rate 24813.428958597397, time 4.714175293498556
Epochs 31, rate 24824.07281990003, time 4.707905160219525
Epochs 32, rate 24806.626068121284, time 4.701713558170013
Epochs 33, rate 24775.299836360628, time 4.71406522608595
Epochs 34, rate 24798.76818003091, time 4.762245387901203
Epochs 35, rate 24817.838739425322, time 4.717410224708146
Epochs 36, rate 24841.884020997633, time 4.704705475320225
Epochs 37, rate 24856.74902791351, time 4.743351200741017
Epochs 38, rate 24877.72396609564, time 4.697923033803818
Epochs 39, rate 24873.637075969214, time 4.761815011894214
Epochs 40, rate 24883.57060431962, time 4.708912153510028
Epochs 41, rate 24859.02687479897, time 4.7033961057750275
Epochs 42, rate 24860.895056607114, time 4.727112854045117
Epochs 43, rate 24890.71817136953, time 4.730472693234333
Epochs 44, rate 24911.294834156113, time 4.744524841065868
Epochs 45, rate 24867.689505416634, time 4.708390260770102
Epochs 46, rate 24867.31865712625, time 4.692666077375179
Epochs 47, rate 24868.857841522953, time 4.705990110625862
Epochs 48, rate 24879.563732633123, time 4.715231446141843
Epochs 49, rate 24913.263717496982, time 4.718417218013201
Epochs 50, rate 24896.47560219061, time 4.70910538987664
Epochs 51, rate 24913.10075447427, time 4.711392380791949
