Updated best error: 28845.366322543494. was found in iteration 0, time 4.789626515856071
Epochs 0, rate 28845.366322543494, time 4.801922840873885
Updated best error: 26074.127910859734. was found in iteration 1, time 4.749046262637421
Epochs 1, rate 26074.127910859734, time 4.759918822179316
Updated best error: 25634.16756713631. was found in iteration 2, time 4.748173452659103
Epochs 2, rate 25634.16756713631, time 4.758746727733524
Updated best error: 25343.691585292974. was found in iteration 3, time 4.743583393545123
Epochs 3, rate 25343.691585292974, time 4.754049074617797
Updated best error: 25270.360104481013. was found in iteration 4, time 4.717690958481398
Epochs 4, rate 25270.360104481013, time 4.729049236928404
Updated best error: 25269.88807968315. was found in iteration 5, time 4.7671276204055175
Epochs 5, rate 25269.88807968315, time 4.767151427120552
Updated best error: 25152.21374267033. was found in iteration 6, time 4.735223524992762
Epochs 6, rate 25152.21374267033, time 4.7456833316755365
Epochs 7, rate 25229.646984612737, time 4.729113545989094
Epochs 8, rate 25176.1772307801, time 4.773855337385612
Epochs 9, rate 25233.683613842913, time 4.76180048052629
Epochs 10, rate 25213.028121209987, time 4.764071703364607
Updated best error: 25097.07087872554. was found in iteration 11, time 4.751721581349557
Epochs 11, rate 25097.07087872554, time 4.763322255479579
Updated best error: 25075.190447670266. was found in iteration 12, time 4.7622840351832565
Epochs 12, rate 25075.190447670266, time 4.77284710737149
Epochs 13, rate 25086.401919210613, time 4.802158743819746
Epochs 14, rate 25119.265555064147, time 4.722451374778757
Epochs 15, rate 25129.56848237746, time 4.719262820304721
Epochs 16, rate 25124.35830800852, time 4.736819502708386
Epochs 17, rate 25153.078211179592, time 4.7227154129359405
Epochs 18, rate 25145.29181048681, time 4.772935841509025
Epochs 19, rate 25109.693820676977, time 4.744931101187831
Epochs 20, rate 25100.86867282383, time 4.735502712886955
Epochs 21, rate 25156.10120548112, time 4.732512650800345
Epochs 22, rate 25096.265160398085, time 4.7161385748913744
Epochs 23, rate 25094.51533278666, time 4.7408685000336845
Epochs 24, rate 25091.802197831235, time 4.7356770893748035
Epochs 25, rate 25214.361144283783, time 4.725603137048893
Updated best error: 25070.548639484557. was found in iteration 26, time 4.744471353245899
Epochs 26, rate 25070.548639484557, time 4.755192106305913
Epochs 27, rate 25070.666551141403, time 4.734592801534745
Epochs 28, rate 25104.35995949667, time 4.724721670085273
Epochs 29, rate 25204.404528652278, time 4.7222157810101635
Epochs 30, rate 25073.874144290927, time 4.784294738310564
Epochs 31, rate 25094.755396254153, time 4.771210008962953
Epochs 32, rate 25077.948487988415, time 4.7202249827678315
Epochs 33, rate 25101.65822028417, time 4.782247978822852
Epochs 34, rate 25080.440000619874, time 4.718372078001266
Epochs 35, rate 25074.34107518125, time 4.7227215964958305
Epochs 36, rate 25070.89394349458, time 4.726310536701931
Epochs 37, rate 25071.152476471532, time 4.713249614069355
Epochs 38, rate 25074.15521110331, time 4.645872579632851
Epochs 39, rate 25081.851088955136, time 4.682695390554727
Epochs 40, rate 25075.399979584803, time 4.91221627878258
Epochs 41, rate 25077.25136930604, time 4.791743458794372
Epochs 42, rate 25070.649661245, time 4.8306897053844295
Epochs 43, rate 25075.605833502956, time 4.879302407476644
Epochs 44, rate 25073.885971541367, time 4.866840053786291
Epochs 45, rate 25085.91122405667, time 4.853887034340005
Epochs 46, rate 25071.328808485792, time 4.871403214398015
Epochs 47, rate 25079.864221210813, time 4.892762788302207
