Updated best error: 2162.3217183674165. was found in iteration 0, time 0.5243120708328206
Epochs 0, rate 2162.3217183674165, time 0.532113254419528
Updated best error: 1880.8118482358384. was found in iteration 1, time 0.5545110486273188
Epochs 1, rate 1880.8118482358384, time 0.5618970059440471
Epochs 2, rate 1882.7967977520616, time 0.5214453708613291
Epochs 3, rate 1882.7796081580955, time 0.5256106191372965
Epochs 4, rate 1886.183029932781, time 0.5267459214082919
Epochs 5, rate 1883.4643972382744, time 0.5217177568119951
Epochs 6, rate 1883.4793901454327, time 0.5174316198390443
Epochs 7, rate 1883.4765076149533, time 0.5144050747330766
Epochs 8, rate 1883.4735091216112, time 0.5148737888375763
Epochs 9, rate 1883.470766426641, time 0.5264713711803779
Epochs 10, rate 1883.468107536935, time 0.5168973599502351
Epochs 11, rate 1883.465359646726, time 0.5424447521800175
Epochs 12, rate 1883.4623283275546, time 0.5586190989997704
Epochs 13, rate 1883.4587469411235, time 0.5262265020573977
Epochs 14, rate 1883.4541819956205, time 0.5263903664890677
Epochs 15, rate 1883.447809910489, time 0.5502910757786594
Epochs 16, rate 1883.4377619698103, time 0.5317227623891085
Epochs 17, rate 1883.4185345234737, time 0.5145340020244475
Epochs 18, rate 1883.3627388249809, time 0.5219119207176846
Epochs 19, rate 1882.514530596419, time 0.5526695834414568
Epochs 20, rate 1883.0467986607691, time 0.5285666716517881
Epochs 21, rate 1905.3312296905303, time 0.5489993293886073
Epochs 22, rate 1909.734806649266, time 0.5449605349567719
Epochs 23, rate 1909.3679600414, time 0.5363564156577922
Epochs 24, rate 1909.3639002946695, time 0.5331802283180878
Epochs 25, rate 1909.361410364165, time 0.5820786110125482
Epochs 26, rate 1909.3591356552238, time 0.5382872333284467
Epochs 27, rate 1909.3571672302307, time 0.5323401912173722
Epochs 28, rate 1909.3554944124876, time 0.5377563743968494
Epochs 29, rate 1909.3540757928815, time 0.5332337161235046
Epochs 30, rate 1909.3528671290126, time 0.5620166579028592
Epochs 31, rate 1909.351829713415, time 0.5322672251786571
Epochs 32, rate 1909.3509318872643, time 0.5263705790857784
Epochs 33, rate 1909.3501483921152, time 0.5280197354441043
Epochs 34, rate 1909.3494592193892, time 0.5192869980237447
Epochs 35, rate 1909.348848501753, time 0.5272452441276982
Epochs 36, rate 1909.3483035910197, time 0.5404418959806208
Epochs 37, rate 1909.347814334266, time 0.5274811470881104
Epochs 38, rate 1909.3473725166225, time 0.5218163846584503
Epochs 39, rate 1909.3469714374876, time 0.5242020034056623
Epochs 40, rate 1909.3466055869892, time 0.5222393403819297
Epochs 41, rate 1909.346270398949, time 0.5461731317336671
Epochs 42, rate 1909.3459620609901, time 0.5196110167598817
Epochs 43, rate 1909.345677367451, time 0.5262827724800445
Epochs 44, rate 1909.3454136046132, time 0.5212323470914271
Epochs 45, rate 1909.3451684607978, time 0.5376472345087677
Epochs 46, rate 1909.3449399549143, time 0.5287330095015932
Epochs 47, rate 1909.3447263798091, time 0.5226050981436856
Epochs 48, rate 1909.344526256587, time 0.5200995182676706
Epochs 49, rate 1909.3443382977214, time 0.5206622225232422
Epochs 50, rate 1909.344161377097, time 0.5233118794858456
Epochs 51, rate 1909.3439945053929, time 0.527818151313113
Epochs 52, rate 1909.3438368099287, time 0.5219511863542721
Epochs 53, rate 1909.3436875178238, time 0.5293334335146938
Epochs 54, rate 1909.343545942135, time 0.5464291312673595
Epochs 55, rate 1909.3434114701583, time 0.5239982549974229
Epochs 56, rate 1909.3432835534857, time 0.5254965324129444
Epochs 57, rate 1909.34316169987, time 0.5247993356315419
Epochs 58, rate 1909.3430454661034, time 0.5293427088763565
Epochs 59, rate 1909.3429344519568, time 0.5145831613335758
Epochs 60, rate 1909.342828295113, time 0.521741563512478
Epochs 61, rate 1909.3427266666833, time 0.5200763299071696
Epochs 62, rate 1909.3426292674294, time 0.5268179599079303
Epochs 63, rate 1909.342535824501, time 0.5428609059890732
Epochs 64, rate 1909.3424460884285, time 0.5194149978051428
Epochs 65, rate 1909.342359830785, time 0.5268865974503569
Epochs 66, rate 1909.3422768418473, time 0.5263229656557087
Epochs 67, rate 1909.3421969288474, time 0.5238115114043467
Epochs 68, rate 1909.3421199141853, time 0.5195210459060036
Epochs 69, rate 1909.342045633931, time 0.5256968798639718
Epochs 70, rate 1909.341973936491, time 0.5340994150028564
Epochs 71, rate 1909.3419046816032, time 0.5320501821115613
Epochs 72, rate 1909.3418377390728, time 0.534439820155967
Epochs 73, rate 1909.3417729881162, time 0.5372765298816375
Epochs 74, rate 1909.341710316247, time 0.5326128863380291
Epochs 75, rate 1909.3416496187585, time 0.5312673429725692
Epochs 76, rate 1909.3415907980216, time 0.531654124846682
Epochs 77, rate 1909.3415337627728, time 0.5302077893575188
Epochs 78, rate 1909.3414784277318, time 0.5282822277222294
Epochs 79, rate 1909.3414247130725, time 0.5322607324051205
Epochs 80, rate 1909.341372543951, time 0.5180892418138683
Epochs 81, rate 1909.341321850101, time 0.5513963877747301
Epochs 82, rate 1909.3412725656922, time 0.5305166583566461
Epochs 83, rate 1909.3412246285377, time 0.5211318641668186
Epochs 84, rate 1909.3411779803512, time 0.5217647519020829
Epochs 85, rate 1909.3411325661166, time 0.5279155424213968
Epochs 86, rate 1909.3410883339416, time 0.526453129685251
Epochs 87, rate 1909.3410452348623, time 0.5257188315154053
Epochs 88, rate 1909.3410032226104, time 0.5448526317777578
Epochs 89, rate 1909.3409622534548, time 0.5329959581140429
Epochs 90, rate 1909.3409222859786, time 0.5385726047679782
Epochs 91, rate 1909.340883280927, time 0.5154890533885919
Epochs 92, rate 1909.3408452011752, time 0.5230376384279225
Epochs 93, rate 1909.3408080114227, time 0.5199582238274161
Epochs 94, rate 1909.3407716782178, time 0.5293352885928471
Epochs 95, rate 1909.3407361697323, time 0.5279535713489167
Epochs 96, rate 1909.3407014557145, time 0.530753179686144
Epochs 97, rate 1909.3406675073988, time 0.5276666540012229
Epochs 98, rate 1909.3406342973947, time 0.5429471667157486
Epochs 99, rate 1909.3406017995778, time 0.5507767946983222
