Updated best error: 4501.933263932468. was found in iteration 0, time 4.404613432991027
Epochs 0, rate 4501.933263932468, time 4.415371287424932
Updated best error: 3113.490917531667. was found in iteration 1, time 4.491868459524994
Epochs 1, rate 3113.490917531667, time 4.510256212859531
Epochs 2, rate 3197.2857059415305, time 4.446638166620687
Epochs 3, rate 3119.372801832157, time 4.435810747090727
Epochs 4, rate 3117.2565743819487, time 4.457878957364301
Epochs 5, rate 3121.8971015439342, time 4.419820361297752
Epochs 6, rate 3164.7192873454987, time 4.458092599481461
Updated best error: 3107.1539360853044. was found in iteration 7, time 4.414411907564499
Epochs 7, rate 3107.1539360853044, time 4.425215520372149
Updated best error: 3105.5176383772678. was found in iteration 8, time 4.468624444678426
Epochs 8, rate 3105.5176383772678, time 4.479668598105491
Updated best error: 3103.14119450944. was found in iteration 9, time 4.491576595333754
Epochs 9, rate 3103.14119450944, time 4.503295375528978
Epochs 10, rate 3128.716514062644, time 4.430195762339281
Updated best error: 3100.5509289278802. was found in iteration 11, time 4.445929221081315
Epochs 11, rate 3100.5509289278802, time 4.456356254879211
Epochs 12, rate 3101.094789229891, time 4.4661871931602946
Epochs 13, rate 3105.992662402526, time 4.443447447905783
Epochs 14, rate 3101.9841937497517, time 4.388116304173309
Updated best error: 3099.856112266624. was found in iteration 15, time 4.473292725873762
Epochs 15, rate 3099.856112266624, time 4.47331776930514
Epochs 16, rate 3100.021893195545, time 4.483204359661613
Epochs 17, rate 3162.026519531914, time 4.507899966025434
Epochs 18, rate 3101.37005763186, time 4.485352529591182
Updated best error: 3099.006213808182. was found in iteration 19, time 4.3694471987037105
Epochs 19, rate 3099.006213808182, time 4.369470696248754
Epochs 20, rate 3116.62892660066, time 4.426624136118335
Epochs 21, rate 3133.981788787987, time 4.453045575020951
Epochs 22, rate 3132.4337434403838, time 4.462891663039045
Epochs 23, rate 3102.3186828940748, time 4.629473460299778
Epochs 24, rate 3101.250671351484, time 4.851626632735133
Epochs 25, rate 3125.564666410878, time 4.683168123978248
Epochs 26, rate 3137.2858442839592, time 4.799466111137008
Epochs 27, rate 3129.546625865247, time 4.843079093028791
Epochs 28, rate 3202.20649119669, time 4.78603726647998
Epochs 29, rate 3123.390545214661, time 4.528732391147059
Epochs 30, rate 3104.749136172944, time 4.632754768223094
Epochs 31, rate 3105.57149132004, time 5.095179572228517
Epochs 32, rate 3101.5045644741876, time 4.780476078733045
Epochs 33, rate 3141.3366570129656, time 4.8342910127175855
Epochs 34, rate 3116.378712005401, time 4.9742964728066
Epochs 35, rate 3101.6490703195204, time 4.975460528614349
Epochs 36, rate 3129.411384732269, time 4.513174236424675
Epochs 37, rate 3103.4435214548453, time 4.765839584142668
Epochs 38, rate 3103.370389356777, time 4.958678646704357
Epochs 39, rate 3103.256421591587, time 4.749522706195421
Epochs 40, rate 3103.0307013216, time 6.222636108730512
Epochs 41, rate 3102.198754151911, time 5.178251727302268
Epochs 42, rate 3113.9787146698623, time 4.89380719215842
Epochs 43, rate 3103.519609394251, time 4.66518353898573
Epochs 44, rate 3103.48850950348, time 4.638381810924329
