Updated best error: 3888.766622682647. was found in iteration 0, time 2.416852250863485
Epochs 0, rate 3888.766622682647, time 2.425615287747405
Updated best error: 3275.4788462187435. was found in iteration 1, time 2.427860848799355
Epochs 1, rate 3275.4788462187435, time 2.4376964247564956
Updated best error: 3237.204185084021. was found in iteration 2, time 2.410195954032588
Epochs 2, rate 3237.204185084021, time 2.4251938779011653
Epochs 3, rate 3266.8102247181464, time 2.4067461440072293
Epochs 4, rate 3265.82749076292, time 2.415060254187665
Epochs 5, rate 3297.8531698422157, time 2.4309622150265113
Updated best error: 3212.068353290287. was found in iteration 6, time 2.4192505459313907
Epochs 6, rate 3212.068353290287, time 2.4280052350047754
Updated best error: 3209.627118465188. was found in iteration 7, time 2.4503884978300903
Epochs 7, rate 3209.627118465188, time 2.4587919605019124
Epochs 8, rate 3285.402802503165, time 2.418886334046647
Epochs 9, rate 3221.480342347784, time 2.430463819815941
Epochs 10, rate 3211.500895633925, time 2.417432269111032
Epochs 11, rate 3211.4909549431086, time 2.4405538494072516
Epochs 12, rate 3211.479924437722, time 2.417683940141842
Epochs 13, rate 3211.4671621913194, time 2.4344209912189854
Epochs 14, rate 3211.4516413139922, time 2.4212574214354845
Epochs 15, rate 3211.431539544994, time 2.429830932100913
Epochs 16, rate 3211.4031892595085, time 2.4395697352911156
Epochs 17, rate 3211.3578020555988, time 2.4288372334613086
Epochs 18, rate 3211.26748397252, time 2.455868062544141
Epochs 19, rate 3210.9746589242786, time 2.441308553321278
Epochs 20, rate 3210.6255400625805, time 2.4478467440910663
Epochs 21, rate 3212.3694457962665, time 2.4467921373518493
Epochs 22, rate 3211.469924122786, time 2.4561803324963876
Epochs 23, rate 3211.458859736445, time 2.443156202067712
Epochs 24, rate 3211.44497590526, time 2.417198221236049
Epochs 25, rate 3211.4266356560306, time 2.429310585240273
Epochs 26, rate 3211.400633913181, time 2.425423597281906
Epochs 27, rate 3211.359664625122, time 2.420100785900104
Epochs 28, rate 3211.282496619084, time 2.433467485741403
Epochs 29, rate 3211.069317375853, time 2.4279288679965703
Epochs 30, rate 3244.02407451534, time 2.427431709498478
Epochs 31, rate 3211.4829261467003, time 2.4460170276786357
Epochs 32, rate 3211.4733085846915, time 2.4406864868424236
Epochs 33, rate 3211.4595339531616, time 2.427069661860969
Epochs 34, rate 3211.4400543069205, time 2.4410887276421818
Epochs 35, rate 3211.4099692548793, time 2.437577081982681
Epochs 36, rate 3211.356575489655, time 2.4371247543192567
Epochs 37, rate 3211.233202162966, time 2.440175106148672
Epochs 38, rate 3210.5383924663925, time 2.4431259026071075
Epochs 39, rate 3246.911951188514, time 2.4544442970695854
Epochs 40, rate 3211.5384036289815, time 2.4234349632895373
Epochs 41, rate 3211.5379711175183, time 2.4221126082547926
Epochs 42, rate 3211.5375548032985, time 2.438149679954222
Epochs 43, rate 3211.5371543833808, time 2.436947286049417
Epochs 44, rate 3211.536769648266, time 2.4558696084352505
Epochs 45, rate 3211.536400484593, time 2.4405785836609084
Epochs 46, rate 3211.536046878937, time 2.450130024879627
Epochs 47, rate 3211.535708923709, time 2.425702785169733
Epochs 48, rate 3211.5353868249317, time 2.4212011510085176
Epochs 49, rate 3211.535080911866, time 2.4257936835520013
Epochs 50, rate 3211.534791649822, time 2.4478968309545053
Epochs 51, rate 3211.534519655497, time 2.420918252982574
Epochs 52, rate 3211.534265716036, time 2.4267209088848176
Epochs 53, rate 3211.5340308132577, time 2.4282698915187666
Epochs 54, rate 3211.5338161523646, time 2.4368233056029567
Epochs 55, rate 3211.5336231981782, time 2.4240146723593625
Epochs 56, rate 3211.5334537194976, time 2.446991557271758
Epochs 57, rate 3211.533309844135, time 2.421111489338955
Epochs 58, rate 3211.533194127477, time 2.4355068249535634
Epochs 59, rate 3211.533109638157, time 2.4167567148087983
Epochs 60, rate 3211.533060066259, time 2.438953543197158
Epochs 61, rate 3211.5330498601534, time 2.436580909917666
Epochs 62, rate 3211.5330844016107, time 2.4253595974005293
Epochs 63, rate 3211.5331702315825, time 2.427225487658916
Epochs 64, rate 3211.53331534433, time 2.41561553818201
Epochs 65, rate 3211.533529574028, time 2.429676652193848
Epochs 66, rate 3211.5338251091007, time 2.418969502974278
Epochs 67, rate 3211.5342171860652, time 2.446195732661181
Epochs 68, rate 3211.534725036714, time 2.447108117441985
Epochs 69, rate 3211.5353732030344, time 2.4247418594161445
Epochs 70, rate 3211.536193392253, time 2.434495503158132
Epochs 71, rate 3211.537227145647, time 2.4341557163488687
Epochs 72, rate 3211.53852975866, time 2.4232262680247914
Epochs 73, rate 3211.5401761800135, time 2.4283988188155945
Epochs 74, rate 3211.5422701333323, time 2.425705567773093
Epochs 75, rate 3211.544958669884, time 2.4276802887477515
Epochs 76, rate 3211.548456241815, time 2.435702225557179
Epochs 77, rate 3211.5530862536275, time 2.437057662656116
Epochs 78, rate 3211.5593564982173, time 2.4240894934764583
Epochs 79, rate 3211.5681047342114, time 2.4248120428608217
Epochs 80, rate 3211.580801605144, time 2.4341606631994637
Epochs 81, rate 3211.6002438981864, time 2.4322490145718803
Epochs 82, rate 3211.6323505923788, time 2.420180244689618
Epochs 83, rate 3211.6916662739204, time 2.42482379163107
Epochs 84, rate 3211.8227422604105, time 2.4262778565664576
Epochs 85, rate 3212.2158544023873, time 2.4266188800884265
Epochs 86, rate 3213.854592416873, time 2.4373315945151717
Epochs 87, rate 3213.969195162359, time 2.4199140422851997
Epochs 88, rate 3215.831010438094, time 2.4294976380333537
Epochs 89, rate 3211.4942449405594, time 2.4361956739171546
Epochs 90, rate 3211.6684878854735, time 2.4466267270306616
Epochs 91, rate 3215.285874522853, time 2.428766740838455
Epochs 92, rate 3219.983981801939, time 2.4523183879698536
Epochs 93, rate 3271.7035011787752, time 2.4308886306218938
Epochs 94, rate 3211.4873962007555, time 2.4301438204097394
Epochs 95, rate 3211.4872100691955, time 2.436008621124074
Epochs 96, rate 3211.4860016635694, time 2.4340728565991867
Epochs 97, rate 3211.484676242727, time 2.437428985638917
Epochs 98, rate 3211.4832118520712, time 2.4280268774766682
Epochs 99, rate 3211.481580393362, time 2.420563625621071
