Updated best error: 22943.77240256633. was found in iteration 0, time 3.254780744755408
Epochs 0, rate 22943.77240256633, time 3.265449246711796
Epochs 1, rate 23475.4094972834, time 3.2557846462877933
Epochs 2, rate 23709.360702477345, time 3.237348661146825
Epochs 3, rate 23734.55182485509, time 3.2505224338092376
Epochs 4, rate 23651.788170275104, time 3.2499996135302354
Epochs 5, rate 23788.46180954284, time 3.230027012905339
Epochs 6, rate 23755.30159586062, time 3.2641194713651203
Epochs 7, rate 23873.637296922454, time 3.2720597851730417
Epochs 8, rate 23908.004594684844, time 3.2538776353176218
Epochs 9, rate 23975.827994814474, time 3.2600955175003037
Epochs 10, rate 23958.562386934605, time 3.2751855764654465
Epochs 11, rate 23928.9170903696, time 3.259971846244298
Epochs 12, rate 23966.6078899211, time 3.2480282935139257
Epochs 13, rate 23978.126295597034, time 3.2945252893841825
Epochs 14, rate 23995.587682266534, time 3.282962334982585
Epochs 15, rate 23864.487959552254, time 3.2501007147948258
Epochs 16, rate 23760.74182329399, time 3.2829839774640277
Epochs 17, rate 23852.024052554807, time 3.261678509734338
Epochs 18, rate 23789.581588770583, time 3.255391371640144
Epochs 19, rate 23917.40131161218, time 3.2653104256896768
Epochs 20, rate 23936.589463566896, time 3.277782982302597
Epochs 21, rate 23956.658881635958, time 3.2775412049377337
Epochs 22, rate 23983.288153601, time 3.24973217441584
Epochs 23, rate 23919.923796591018, time 3.2642119156662375
Epochs 24, rate 23924.2858308461, time 3.296383140987018
Epochs 25, rate 23903.410579167692, time 3.2412653302017134
Epochs 26, rate 24023.985291624907, time 3.2787930673512165
Epochs 27, rate 23901.93696403968, time 3.2527550093946047
Epochs 28, rate 23928.02091738211, time 3.272841696772957
Epochs 29, rate 24015.8035955178, time 3.302226917585358
Epochs 30, rate 23970.583951835524, time 3.292547785822535
Epochs 31, rate 23960.011327364882, time 3.271935804717941
Epochs 32, rate 24015.67358498418, time 3.2905705914017744
Epochs 33, rate 23978.098069635194, time 3.2662728973664343
Epochs 34, rate 23982.498028255548, time 3.246265359572135
Epochs 35, rate 24073.636643228987, time 3.2633007675758563
