Updated best error: 25407.448539071156. was found in iteration 0, time 5.563617891646572
Epochs 0, rate 25407.448539071156, time 5.575749733875455
Updated best error: 24479.3526064219. was found in iteration 1, time 5.514555953674062
Epochs 1, rate 24479.3526064219, time 5.525683585206025
Epochs 2, rate 24577.192055636162, time 5.499112504061486
Epochs 3, rate 24553.90363873335, time 5.50656338879071
Epochs 4, rate 24748.71002900467, time 5.51370045767635
Epochs 5, rate 24778.373602889133, time 5.499983458968018
Epochs 6, rate 24763.565706806898, time 5.501898508555314
Epochs 7, rate 24782.99656872481, time 5.487878515239572
Epochs 8, rate 24582.39314660484, time 5.493043336576193
Epochs 9, rate 24544.0767873954, time 5.498945238670785
Epochs 10, rate 24676.193102491477, time 5.513204845069595
Epochs 11, rate 24624.815155625336, time 5.506709320887239
Epochs 12, rate 24646.732131893914, time 5.523967955537046
Epochs 13, rate 24668.185542995983, time 5.523729269990326
Epochs 14, rate 24700.84831498555, time 5.520286261884394
Epochs 15, rate 24692.257904423594, time 5.500114859690257
Epochs 16, rate 24639.358489992024, time 5.516247776622549
Epochs 17, rate 24715.04895662638, time 5.508250574066551
Epochs 18, rate 24677.75215646711, time 5.497153860352228
Epochs 19, rate 24767.360854651153, time 5.511962876358666
Epochs 20, rate 24652.983774512246, time 5.5125286724105536
Epochs 21, rate 24516.109462695582, time 5.508851925607814
Updated best error: 24435.74947300889. was found in iteration 22, time 5.507727753781182
Epochs 22, rate 24435.74947300889, time 5.518381724355095
Epochs 23, rate 24594.179945248095, time 5.519901644240235
Epochs 24, rate 24619.21495356472, time 5.537709688500399
Epochs 25, rate 24586.53131174689, time 5.503275588125689
Epochs 26, rate 24604.31406863866, time 5.508656215824885
Epochs 27, rate 24546.07071837368, time 5.525605363127397
Epochs 28, rate 24581.268689772918, time 5.526769109761517
Epochs 29, rate 24651.694459630315, time 5.503896108713889
Epochs 30, rate 24720.22680907138, time 5.501634779577216
Epochs 31, rate 24754.192541490225, time 5.503408225560634
Epochs 32, rate 24683.5239562753, time 5.507843386414606
Epochs 33, rate 24693.469546474324, time 5.494748454186265
Epochs 34, rate 24759.34919468993, time 5.506485475892987
Epochs 35, rate 24705.659168321337, time 5.524374834008995
Epochs 36, rate 24714.63785736061, time 5.536266444800276
Epochs 37, rate 24703.836456111185, time 5.504136030975133
Epochs 38, rate 24706.17648937684, time 5.509239944211004
Epochs 39, rate 24662.506324277154, time 5.51539722747475
Epochs 40, rate 24730.028849915307, time 5.494846772844539
Epochs 41, rate 24755.303508397163, time 5.535170408187696
Epochs 42, rate 24748.480028338705, time 5.505258656910883
Epochs 43, rate 24757.579876229498, time 5.523126372558181
Epochs 44, rate 24710.23213043838, time 5.508761336404859
Epochs 45, rate 24619.391957514323, time 5.526447255286257
Epochs 46, rate 24604.161477475514, time 5.523873965372331
Epochs 47, rate 24597.408102510908, time 5.5259581354202965
Epochs 48, rate 24528.198202926185, time 5.51724240279691
Epochs 49, rate 24570.533913977448, time 5.498533413348923
Epochs 50, rate 24756.352592070303, time 5.506019853566613
Epochs 51, rate 24737.106276741997, time 5.50074620151463
Epochs 52, rate 24672.856280504868, time 5.541789294458795
Epochs 53, rate 24694.32448691049, time 5.518623192507221
Epochs 54, rate 24694.227971440578, time 5.5089888915372285
Epochs 55, rate 24773.14568456182, time 5.510243845730656
Epochs 56, rate 24746.318700879696, time 5.507561725102278
Epochs 57, rate 24808.38550360087, time 5.5207370436583005
Epochs 58, rate 24739.06024620137, time 5.512912362519273
Epochs 59, rate 24847.33194133554, time 5.521407651109257
Epochs 60, rate 24806.591663495416, time 5.512384904561259
Epochs 61, rate 24800.293803407403, time 5.512910198272948
Epochs 62, rate 24811.51939445966, time 5.505109323854413
Epochs 63, rate 24828.155264676046, time 5.5350374615718465
Epochs 64, rate 24831.755303783302, time 5.524106467357342
Epochs 65, rate 24790.47897662393, time 5.518425318476147
Epochs 66, rate 24821.40037784, time 5.525777884548006
Epochs 67, rate 24805.67941147323, time 5.511594026800594
Epochs 68, rate 24824.325134774335, time 5.508110825534459
Epochs 69, rate 24825.868211042885, time 5.522399803856388
Epochs 70, rate 24817.91109102184, time 5.525646174646681
Epochs 71, rate 24753.494650086785, time 5.53801948502587
Epochs 72, rate 24819.235880394786, time 5.531292077215767
Epochs 73, rate 24814.330002078063, time 5.5393857433628
Epochs 74, rate 24827.07687288742, time 5.51572588387171
Epochs 75, rate 24806.07570291455, time 5.5349147178403655
Epochs 76, rate 24809.824673777854, time 5.505976259444651
Epochs 77, rate 24795.620013983218, time 5.5070506535885215
Epochs 78, rate 24804.25634868503, time 5.534876998102845
Epochs 79, rate 24845.88578953962, time 5.563198027692124
Epochs 80, rate 24825.622757780806, time 5.532484577419382
Epochs 81, rate 24799.823896554542, time 5.541182686889442
Epochs 82, rate 24822.882662095275, time 5.527193611389521
Epochs 83, rate 24815.47535965412, time 5.52594669582686
Epochs 84, rate 24835.196696630224, time 5.554626062916213
Epochs 85, rate 24842.816211037403, time 5.532600828411887
Epochs 86, rate 24855.45187638903, time 5.53210459744696
Epochs 87, rate 24875.297130029885, time 5.517037108491422
Epochs 88, rate 24816.635128315123, time 5.5305883877008455
Epochs 89, rate 24835.59610230713, time 5.550236969607795
Epochs 90, rate 24823.767239459306, time 5.544079995523134
Epochs 91, rate 24816.55190748939, time 5.535483605672198
Epochs 92, rate 24820.57863834482, time 5.553674103330195
Epochs 93, rate 24809.997594673045, time 5.526847641018321
Epochs 94, rate 24820.61633417504, time 5.521757949976745
Epochs 95, rate 24778.86542135721, time 5.536803796459935
Epochs 96, rate 24808.653189414592, time 5.527595543011557
Epochs 97, rate 24811.36336793438, time 5.541116831936961
Epochs 98, rate 24798.840755513498, time 5.5477446843779035
Epochs 99, rate 24828.554651609902, time 5.538764295239162
