Updated best error: 4550.548136557242. was found in iteration 0, time 1.5029231250155135
Epochs 0, rate 4550.548136557242, time 1.5122368082229514
Updated best error: 3945.115391188491. was found in iteration 1, time 1.5131869127362734
Epochs 1, rate 3945.115391188491, time 1.5454889204484061
Updated best error: 3864.9685556105464. was found in iteration 2, time 1.5426194378451328
Epochs 2, rate 3864.9685556105464, time 1.5507767946983222
Epochs 3, rate 3864.989648158604, time 1.4905640368306194
Epochs 4, rate 3864.9868802481287, time 1.4812531362258596
Epochs 5, rate 3864.9835016673305, time 1.4800161143721198
Epochs 6, rate 3864.979282379491, time 1.4988422823444125
Epochs 7, rate 3864.9738604498716, time 1.487911288124451
Updated best error: 3864.966631985094. was found in iteration 8, time 1.5344793949770974
Epochs 8, rate 3864.966631985094, time 1.5345044384084758
Updated best error: 3864.9565091155173. was found in iteration 9, time 1.5834689852563315
Epochs 9, rate 3864.9565091155173, time 1.5834924827940995
Updated best error: 3864.9413158173215. was found in iteration 10, time 1.5021724404141423
Epochs 10, rate 3864.9413158173215, time 1.502196865483711
Updated best error: 3864.91598067019. was found in iteration 11, time 1.4916084406868322
Epochs 11, rate 3864.91598067019, time 1.49163255658641
Updated best error: 3864.865341055436. was found in iteration 12, time 1.655734744919755
Epochs 12, rate 3864.865341055436, time 1.6557579332802561
Updated best error: 3864.7135107220993. was found in iteration 13, time 1.5122151657415088
Epochs 13, rate 3864.7135107220993, time 1.5122414458892308
Epochs 14, rate 3914.86549920701, time 1.551929101733549
Epochs 15, rate 3865.0383132721654, time 1.5230295997898793
Epochs 16, rate 3865.0160055790716, time 1.5433772335381946
Epochs 17, rate 3865.0159502195443, time 1.5008562689399696
Epochs 18, rate 3865.0158938320897, time 1.5442342754322453
Epochs 19, rate 3865.0158363873265, time 1.5043722431000788
Epochs 20, rate 3865.0157778550256, time 1.5421677285412443
Epochs 21, rate 3865.015718203603, time 1.5506416838325094
Epochs 22, rate 3865.0156574003204, time 1.5845078239071881
Epochs 23, rate 3865.0155954110423, time 1.5259015558112878
Epochs 24, rate 3865.0155322006144, time 1.5235941591308801
Epochs 25, rate 3865.015467732009, time 1.5488883344296482
Epochs 26, rate 3865.0154019669735, time 1.5038141764962347
Epochs 27, rate 3865.0153348655845, time 1.5487522960393107
Epochs 28, rate 3865.015266386317, time 1.508355694648344
Epochs 29, rate 3865.0151964859165, time 1.5130879757198272
Epochs 30, rate 3865.0151251192106, time 1.5177438897881075
Epochs 31, rate 3865.0150522391696, time 1.5300275384943234
Epochs 32, rate 3865.014977796689, time 1.5123654263370554
Epochs 33, rate 3865.01490174057, time 1.517043910411303
Epochs 34, rate 3865.0148240173166, time 1.5251836441020714
Epochs 35, rate 3865.0147445709, time 1.5094690452315263
Epochs 36, rate 3865.01466334298, time 1.5760137720353669
Epochs 37, rate 3865.014580272457, time 1.5223790889212978
Epochs 38, rate 3865.014495295451, time 1.5177624404750532
Epochs 39, rate 3865.0144083449222, time 1.5108575644044322
Epochs 40, rate 3865.0143193508356, time 1.5391798306955025
Epochs 41, rate 3865.014228239673, time 1.51868935663515
Epochs 42, rate 3865.014134934502, time 1.532828692725161
Epochs 43, rate 3865.0140393544834, time 1.5248645722313086
Epochs 44, rate 3865.013941414715, time 1.5307383391118492
Epochs 45, rate 3865.013841026164, time 1.5174925279425224
Epochs 46, rate 3865.013738095169, time 1.5242122062918497
Epochs 47, rate 3865.013632523172, time 1.5647828749933979
Epochs 48, rate 3865.0135242066776, time 1.5089907466099248
Epochs 49, rate 3865.013413036397, time 1.5309321938257199
Epochs 50, rate 3865.013298897406, time 1.5282231746969046
Epochs 51, rate 3865.013181668451, time 1.5132589512504637
Epochs 52, rate 3865.0130612214425, time 1.5850798035244225
Epochs 53, rate 3865.012937421345, time 1.5425239017931744
Epochs 54, rate 3865.012810125331, time 1.5300816446833778
Epochs 55, rate 3865.012679182294, time 1.5554240517740254
Epochs 56, rate 3865.0125444323517, time 1.521057352241769
Epochs 57, rate 3865.0124057062226, time 1.5570305415458279
Epochs 58, rate 3865.0122628243284, time 1.5785898445465136
Epochs 59, rate 3865.012115595956, time 1.5289750960073434
Epochs 60, rate 3865.0119638189144, time 1.5135245353012579
Epochs 61, rate 3865.0118072780565, time 1.5435240931765293
Epochs 62, rate 3865.0116457443837, time 1.5223818715239759
Epochs 63, rate 3865.0114789740564, time 1.521013448946178
Epochs 64, rate 3865.0113067071666, time 1.5760289217578247
Epochs 65, rate 3865.01112866615, time 1.5197581855682074
Epochs 66, rate 3865.010944554521, time 1.540520118069253
Epochs 67, rate 3865.0107540552276, time 1.5162626171731972
Epochs 68, rate 3865.010556828643, time 1.582654919133347
Epochs 69, rate 3865.010352510624, time 1.5232188168301946
Epochs 70, rate 3865.010140710306, time 1.5407745717093349
Epochs 71, rate 3865.0099210075496, time 1.5222430505236844
Epochs 72, rate 3865.009692950082, time 1.5117922100107535
Epochs 73, rate 3865.009456050622, time 1.487981162390497
Epochs 74, rate 3865.009209783082, time 1.4872428449234576
Epochs 75, rate 3865.0089535789443, time 1.4814055610695505
Epochs 76, rate 3865.0086868226335, time 1.477577316960378
Epochs 77, rate 3865.008408846659, time 1.5377950216789031
Epochs 78, rate 3865.0081189260354, time 1.4774672495332197
Epochs 79, rate 3865.0078162720674, time 1.482283627068682
Epochs 80, rate 3865.0075000249594, time 1.5173982285923557
Epochs 81, rate 3865.007169245715, time 1.4830986207234673
Epochs 82, rate 3865.006822906948, time 1.4871779175009578
Epochs 83, rate 3865.0064598819363, time 1.481369387212908
Epochs 84, rate 3865.0060789327413, time 1.4887510160333477
Epochs 85, rate 3865.005678695678, time 1.4854740366063197
