Updated best error: 9045.097187399842. was found in iteration 0, time 3.0084758103621425
Epochs 0, rate 9045.097187399842, time 3.0243984861372155
Updated best error: 8294.594760468137. was found in iteration 1, time 3.0279620737346704
Epochs 1, rate 8294.594760468137, time 3.0370448008470703
Updated best error: 8249.991684374803. was found in iteration 2, time 3.002060363323835
Epochs 2, rate 8249.991684374803, time 3.0115273988994886
Epochs 3, rate 8316.403733856276, time 3.008559597648855
Epochs 4, rate 8267.931068911425, time 3.0146609196599456
Epochs 5, rate 8357.73051983733, time 3.024411780796072
Updated best error: 8236.13598519802. was found in iteration 6, time 2.9960134566717898
Epochs 6, rate 8236.13598519802, time 3.0055611877542106
Epochs 7, rate 8239.415325049544, time 3.0127999762553372
Epochs 8, rate 8256.039613381394, time 3.0023463531324524
Epochs 9, rate 8249.63118287421, time 3.0021620829502353
Epochs 10, rate 8255.972171424015, time 2.999348561592342
Epochs 11, rate 8261.566140678204, time 3.0221776593389222
Epochs 12, rate 8255.55938328648, time 3.0229490588753833
Epochs 13, rate 8273.59916640585, time 2.975003563275095
Epochs 14, rate 8239.68046306732, time 2.9898397869619657
Epochs 15, rate 8246.52438062861, time 2.9832224465862964
Epochs 16, rate 8247.870178408952, time 3.011312520080537
Epochs 17, rate 8236.727184271891, time 3.0066052824331564
Epochs 18, rate 8237.930215175938, time 3.0790478920025635
Epochs 19, rate 8244.94287531371, time 2.9772324287114316
Epochs 20, rate 8237.920220062502, time 2.966797974637302
Epochs 21, rate 8241.696835826384, time 2.968420850847906
Epochs 22, rate 8306.462323524676, time 3.06743175896554
Updated best error: 8211.054236885426. was found in iteration 23, time 3.249763401407108
Epochs 23, rate 8211.054236885426, time 3.2597517113754293
Epochs 24, rate 8234.110133665808, time 2.9857308090795414
Epochs 25, rate 8256.031448716267, time 2.976248932944145
Epochs 26, rate 8232.968159250226, time 3.2151437941283803
Epochs 27, rate 8239.938528174811, time 3.16385639168584
Epochs 28, rate 8245.517231732401, time 3.1430422080738936
Epochs 29, rate 8325.101472583221, time 3.2791510956813
Epochs 30, rate 8227.315931018109, time 3.1837192340681213
Epochs 31, rate 8237.222697536547, time 3.306406697294733
Epochs 32, rate 8253.502402296543, time 3.248717451650009
Epochs 33, rate 8240.741872007648, time 3.445325396111002
Epochs 34, rate 8243.266575364121, time 3.3547751486257766
Epochs 35, rate 8271.582578883452, time 3.252450778061757
Epochs 36, rate 8234.3040526591, time 3.0868147568253335
