Updated best error: 23755.855211747188. was found in iteration 0, time 2.755282077157972
Epochs 0, rate 23755.855211747188, time 2.7648483589282478
Epochs 1, rate 23957.107188496975, time 2.7603767150494605
Epochs 2, rate 24231.030126327634, time 2.752526990480874
Epochs 3, rate 24249.030870878356, time 2.7433403795030245
Epochs 4, rate 24328.026257168316, time 2.7474413187565006
Epochs 5, rate 24345.222124565917, time 2.7490586297653863
Epochs 6, rate 24371.735732761932, time 2.7497514980450433
Epochs 7, rate 24418.07938154376, time 2.7859976916761298
Epochs 8, rate 24449.518976724383, time 2.8098520242356244
Epochs 9, rate 24401.576929142488, time 2.784778911327521
Epochs 10, rate 24442.496003733653, time 2.758437549565315
Epochs 11, rate 24470.182042249697, time 2.8106166218512953
Epochs 12, rate 24490.002342262793, time 2.800460118953197
Epochs 13, rate 24485.78142591476, time 2.8256998788947385
Epochs 14, rate 24461.096927802588, time 2.828901418849455
Epochs 15, rate 24400.124921442573, time 2.8087021906194423
Epochs 16, rate 24497.67522673516, time 2.8169696148970615
Epochs 17, rate 24527.16978455886, time 2.801728676986386
Epochs 18, rate 24526.654286941564, time 2.81303563185611
Epochs 19, rate 24479.387282236745, time 2.807014386987248
Epochs 20, rate 24571.02360767433, time 2.804003609963729
Epochs 21, rate 24575.491726824017, time 2.8168465619846756
Epochs 22, rate 24488.945484882504, time 2.9033116383006927
Epochs 23, rate 24468.64744679666, time 2.8890916067093713
Epochs 24, rate 24446.273074025452, time 2.8157811340097396
Epochs 25, rate 24426.956158786536, time 2.820106536613821
Epochs 26, rate 24518.592346624428, time 2.830189764285933
Epochs 27, rate 24565.712227128875, time 2.811947633874297
Epochs 28, rate 24527.290422321745, time 2.8483057500034192
Epochs 29, rate 24566.315851461186, time 2.7934974265554047
Epochs 30, rate 24546.04936989574, time 2.837926020465602
Epochs 31, rate 24580.703989335285, time 2.811660098176617
Epochs 32, rate 24575.531221976005, time 2.8043681310273314
Epochs 33, rate 24535.152360512882, time 2.8110420510138283
Epochs 34, rate 24559.87601586156, time 2.7597459915823492
Epochs 35, rate 24524.92957456598, time 2.782062162744296
Epochs 36, rate 24558.67131383318, time 2.826742427685531
Epochs 37, rate 24560.113917226554, time 2.8155127673580864
Epochs 38, rate 24498.70634857829, time 2.8146313003935575
Epochs 39, rate 24528.024947250604, time 2.828000164482546
Epochs 40, rate 24506.421274528093, time 2.8118041752031786
Epochs 41, rate 24550.48264783518, time 2.818108008920717
Epochs 42, rate 24508.820900612467, time 2.8182295159413115
Epochs 43, rate 24498.37718643065, time 2.8049923617527384
Epochs 44, rate 24553.009025664578, time 2.8240272249931877
Epochs 45, rate 24545.13685333444, time 2.8259898880187393
Epochs 46, rate 24545.896737904633, time 2.811025664571389
Epochs 47, rate 24508.33703141504, time 2.8190002971205104
Epochs 48, rate 24572.26590329096, time 2.8103819556199596
Epochs 49, rate 24523.708962467495, time 2.8259543325293635
Epochs 50, rate 24539.80765441286, time 2.828975003254527
Epochs 51, rate 24500.893163435525, time 2.801356117291107
Epochs 52, rate 24510.776586063534, time 2.845046084551541
Epochs 53, rate 24542.735394015664, time 2.80984213053398
Epochs 54, rate 24539.967467603576, time 2.8442351102112298
Epochs 55, rate 24373.19425940331, time 2.8168326489676474
Epochs 56, rate 24372.171643181107, time 2.8436300485318498
Epochs 57, rate 24393.40932195614, time 2.8290315828589883
Epochs 58, rate 24424.93079277407, time 2.805640399198637
Epochs 59, rate 24540.525574569154, time 2.7883734167371585
Epochs 60, rate 24499.403688493556, time 2.7470446431643722
Epochs 61, rate 24428.438633757138, time 2.7458716211849605
Epochs 62, rate 24510.547434689986, time 2.752338082618735
Epochs 63, rate 24483.366538599068, time 2.7708906279121948
Epochs 64, rate 24507.372238836855, time 2.7502653521651155
Epochs 65, rate 24488.02460588142, time 2.7613317664181523
Epochs 66, rate 24470.94841207067, time 2.747667018820721
Epochs 67, rate 24451.821861174616, time 2.758480525330924
Epochs 68, rate 24486.5449627199, time 2.7535380030985834
Epochs 69, rate 24540.004822708328, time 2.7601927540390534
Epochs 70, rate 24552.099479948614, time 2.7495381651078787
Epochs 71, rate 24532.73974985108, time 2.751982836901334
Epochs 72, rate 24580.48990311926, time 2.770941023954947
Epochs 73, rate 24576.28654672825, time 2.755448415013234
Epochs 74, rate 24521.58994071292, time 2.748381838750902
Epochs 75, rate 24526.450476171733, time 2.7669405676078895
Epochs 76, rate 24556.613867229335, time 2.752300053703948
Epochs 77, rate 24525.118084298338, time 2.766832664426147
Epochs 78, rate 24524.81099196151, time 2.747584777427619
Epochs 79, rate 24474.914973027153, time 2.75821741470736
Epochs 80, rate 24573.62408094175, time 2.7605742799005384
Epochs 81, rate 24520.746816576066, time 2.759612117434699
Epochs 82, rate 24506.441609898473, time 2.7511867031125803
Epochs 83, rate 24523.512623702052, time 2.747163985937732
Epochs 84, rate 24531.226193352155, time 2.7656729371092297
Epochs 85, rate 24476.713277342136, time 2.771490742741662
Epochs 86, rate 24464.32379524866, time 2.762334122046923
Epochs 87, rate 24484.91918603203, time 2.7559792739320983
Epochs 88, rate 24552.41545025634, time 2.7491770450051263
Epochs 89, rate 24487.476723891592, time 2.7526512801050558
Epochs 90, rate 24557.543121849067, time 2.7694801570996788
Epochs 91, rate 24587.623268672094, time 2.7526426231170262
Epochs 92, rate 24572.31692265948, time 2.755158715068319
Epochs 93, rate 24516.065275140016, time 2.7523207686417663
Epochs 94, rate 24499.618399043167, time 2.754458735690605
Epochs 95, rate 24498.143494184784, time 2.752724555332861
Epochs 96, rate 24577.07001252068, time 2.7533515686618557
Epochs 97, rate 24505.21003729611, time 2.760663323213521
Epochs 98, rate 24589.067862159733, time 2.75577057866667
Epochs 99, rate 24542.766925793083, time 2.7954050558664676
