Updated best error: 27178.060613048947. was found in iteration 0, time 7.698880867777916
Epochs 0, rate 27178.060613048947, time 7.713328145320702
Updated best error: 25380.62730819257. was found in iteration 1, time 7.669947356233024
Epochs 1, rate 25380.62730819257, time 7.683308181687607
Updated best error: 25309.937592692153. was found in iteration 2, time 7.666267208471254
Epochs 2, rate 25309.937592692153, time 7.678847668226808
Updated best error: 25295.917507563143. was found in iteration 3, time 7.687824038046529
Epochs 3, rate 25295.917507563143, time 7.700343280521338
Epochs 4, rate 25326.963729831874, time 7.682853998958308
Epochs 5, rate 25321.37172855311, time 7.666982337577792
Epochs 6, rate 25313.784058976085, time 7.65992349076987
Epochs 7, rate 25327.804850030534, time 7.7516173883050214
Epochs 8, rate 25325.95050755859, time 7.665548987584771
Epochs 9, rate 25309.608229266767, time 7.68543470914301
Updated best error: 25198.789987269043. was found in iteration 10, time 7.674633878938039
Epochs 10, rate 25198.789987269043, time 7.687935033012764
Updated best error: 25119.779645035673. was found in iteration 11, time 7.666148484058795
Epochs 11, rate 25119.779645035673, time 7.679040286224335
Epochs 12, rate 25157.925725239194, time 7.6543567378103035
Epochs 13, rate 25126.379189752846, time 7.76565067627962
Epochs 14, rate 25125.198594427624, time 7.705666091904277
Epochs 15, rate 25145.20159271089, time 7.730129814641259
Updated best error: 25114.58538369429. was found in iteration 16, time 7.711035280008218
Epochs 16, rate 25114.58538369429, time 7.72362532428815
Epochs 17, rate 25140.363001739654, time 7.691379277828673
Epochs 18, rate 25155.053388090695, time 7.725118964030116
Updated best error: 25037.42110141417. was found in iteration 19, time 7.7079796721518505
Epochs 19, rate 25037.42110141417, time 7.720443262558547
Epochs 20, rate 25070.360216949164, time 7.757772507320624
Epochs 21, rate 25041.068121627774, time 7.667583689115418
Epochs 22, rate 25066.530883854663, time 7.6911214232386556
Epochs 23, rate 25054.06610417251, time 7.717408369644545
Epochs 24, rate 25054.61849080903, time 7.668642933531373
Epochs 25, rate 25049.461529451, time 7.68809766072809
Epochs 26, rate 25050.787092792358, time 7.673684083594708
Epochs 27, rate 25052.858129543627, time 7.682552550235414
Epochs 28, rate 25047.61812024344, time 7.71572273025231
Epochs 29, rate 25042.168036316652, time 7.704089901591942
Epochs 30, rate 25062.673066474814, time 7.653419927955838
Epochs 31, rate 25043.488129987145, time 7.675174631556729
Epochs 32, rate 25062.20961905811, time 7.7545493248908315
Epochs 33, rate 25056.446731414522, time 7.6639446620538365
Epochs 34, rate 25046.616056545405, time 7.7198159400504665
Epochs 35, rate 25054.971275219697, time 7.653260701197723
Epochs 36, rate 25038.371163027354, time 7.6518864042300265
Epochs 37, rate 25056.405252394965, time 7.5678122027093195
Epochs 38, rate 25038.935472850233, time 7.872477917720971
